NUTS_ID,regione,soddisfatti_8_10
ITH1,Provincia Autonoma di Bolzano/Bozen,69.4
ITC2,Valle d’Aosta/Vallée d’Aoste,55.3
ITH2,Provincia Autonoma di Trento,54.8
ITI2,Umbria,52.099999999999994
ITC3,Liguria,49.300000000000004
ITH4,Friuli-Venezia Giulia,49.3
ITF1,Abruzzo,49
ITF2,Molise,48.5
ITC4,Lombardia,48.2
ITF5,Basilicata,48.1
ITG2,Sardegna,47.8
ITF6,Calabria,47.7
ITH3,Veneto,47.5
ITH5,Emilia-Romagna,47
ITI3,Marche,46.9
ITC1,Piemonte,46.8
ITI1,Toscana,46.3
ITG1,Sicilia,45.1
ITI4,Lazio,44.6
ITF4,Puglia,44.3
ITF3,Campania,37.599999999999994
