"funzione","cofog99","Germania","Spagna","Media UE","Francia","Italia"
"Servizi generali","GF01",6.4,5.8,6.1,6.2,7.7
"Difesa","GF02",1.4,0.9,1.5,1.9,1.3
"Ordine pubblico e sicurezza","GF03",1.6,1.8,1.7,1.8,1.8
"Affari economici","GF04",5.4,5.1,5.3,5.7,5.1
"Protezione ambiente","GF05",0.6,1,0.8,1,0.9
"Abitazioni e assetto territoriale","GF06",0.5,0.5,0.7,1.4,0.8
"Sanità","GF07",7.6,6.5,7.4,8.9,6.6
"Cultura, sport e religione","GF08",1.1,1.2,1.2,1.5,0.9
"Istruzione","GF09",4.5,4.1,4.8,5.1,4
"Protezione sociale","GF10",20.4,18.7,19.6,23.7,21.3
