"funzione","cofog99","Germania","Spagna","Media UE","Francia","Italia"
"Servizi generali","GF01",13,12.8,12.4,10.8,15.4
"Difesa","GF02",2.7,2,3,3.2,2.6
"Ordine pubblico e sicurezza","GF03",3.3,3.9,3.5,3.1,3.5
"Affari economici","GF04",11,11.2,10.8,9.9,10.1
"Protezione ambiente","GF05",1.1,2.1,1.7,1.8,1.8
"Abitazioni e assetto territoriale","GF06",1,1.1,1.5,2.5,1.5
"Sanità","GF07",15.4,14.2,15,15.6,13.2
"Cultura, sport e religione","GF08",2.1,2.6,2.4,2.6,1.7
"Istruzione","GF09",9.1,9.1,9.7,8.9,8
"Protezione sociale","GF10",41.3,41,40,41.5,42.2
