"funzione","Italia","Media UE","IT-UE","IT-FR","IT-DE","IT-ES"
"Servizi generali",7.7,6.1,1.6,1.5,1.3,1.9
"Difesa",1.3,1.5,-0.2,-0.6,-0.0999999999999999,0.4
"Ordine pubblico e sicurezza",1.8,1.7,0.1,0,0.2,0
"Affari economici",5.1,5.3,-0.2,-0.6,-0.300000000000001,0
"Protezione ambiente",0.9,0.8,0.1,-0.1,0.3,-0.1
"Abitazioni e assetto territoriale",0.8,0.7,0.1,-0.6,0.3,0.3
"Sanità",6.6,7.4,-0.800000000000001,-2.3,-1,0.0999999999999996
"Cultura, sport e religione",0.9,1.2,-0.3,-0.6,-0.2,-0.3
"Istruzione",4,4.8,-0.8,-1.1,-0.5,-0.0999999999999996
"Protezione sociale",21.3,19.6,1.7,-2.4,0.900000000000002,2.6
