"voce","cofog99","Germania","Spagna","Media UE","Francia","Italia"
"Interessi sul debito","GF0107",1.1,2.5,1.9,2,4
"Prodotti e app. medici (farmaci ecc.)","GF0701",1.8,0.9,1.1,1.5,0.9
"Servizi ambulatoriali","GF0702",2.3,2.3,2.3,3.1,2.4
"Servizi ospedalieri","GF0703",2.9,2.7,3.3,3.7,2.7
"Pensioni di vecchiaia","GF1002",9.9,10.4,10.7,13.4,13.9
"Superstiti (reversibilita)","GF1003",1.9,2.2,1.5,1.4,2.4
"Famiglia e infanzia","GF1004",1.9,1,2,2.3,1.5
"Disoccupazione","GF1005",1.7,1.5,1.2,1.7,0.9
"Edilizia sociale","GF1006",0.4,0,0.4,0.7,0
"Esclusione sociale","GF1007",0.6,0.7,0.9,1.2,0.7
