"voce","livello","pc_pil","pc_tot","pps_pc","mio_eur"
"SPESA TOTALE","tot",50.4,100,19666.2370915137,1109154
"Servizi generali","f",7.74361864988992,15.3643227180355,3021.58413323418,170414
"Difesa","f",1.28599851778923,2.55158436069292,501.800629963855,28301
"Ordine pubblico e sicurezza","f",1.77643284881991,3.52466835083316,693.169634564395,39094
"Affari economici","f",5.10658783180694,10.1321187139027,1992.60648866973,112380.8
"Protezione dell'ambiente","f",0.900985075111301,1.78766879982401,351.567184584408,19828
"Abitazioni e territorio","f",0.771240134372684,1.53023836185056,300.940304306827,16972.7
"Sanità","f",6.63765356298584,13.1699475456068,2590.03310914703,146075
"Cultura, sport e culto","f",0.853073098956502,1.69260535507242,332.871782152201,18773.6
"Istruzione","f",4.05233805224522,8.04035327826433,1581.23493869876,89179.9
"Protezione sociale","f",21.2720722280224,42.2064925159175,8300.42888619234,468135
"  · di cui Interessi sul debito","s",3.98913550327547,7.91495139538784,1556.57310709505,87789
"  · Servizi gen. netto interessi","s",3.75448314661445,7.44937132264771,1465.01102613913,82625
"  · Malattia e invalidità","s",1.71681551885491,3.406379997728,669.906766591088,37782
"  · Pensioni di vecchiaia","s",13.9209646270942,27.6209615616948,5432.00378767876,306359
"  · Superstiti (reversibilità)","s",2.41800074651491,4.79762052879943,943.51142794483,53213
"  · Famiglia e infanzia","s",1.46616826878864,2.90906402537429,572.103428374042,32266
"  · Disoccupazione","s",0.920478851448942,1.82634692747806,359.173716871411,20257
"  · Edilizia sociale","s",0.0358521900475498,0.0711352977133924,13.9896363040699,789
"  · Esclusione sociale n.e.c.","s",0.680782650560698,1.35075922730297,265.643512176901,14982
">> Spesa ipotecata (pensioni vecch.+superstiti+interessi)","agg",20.3281008768845,40.333533485882,7932.08832271864,447361
">> Sanità + Istruzione","agg",10.6899916152311,21.2103008238712,4171.26804784579,235254.9
