entity,code,year,expenditure,expenditure__annotations
France,FRA,1950,24.1176,Break in 1978 is due to changes in series definition
France,FRA,1951,23.592,Break in 1978 is due to changes in series definition
France,FRA,1952,25.3061,Break in 1978 is due to changes in series definition
France,FRA,1953,25.1634,Break in 1978 is due to changes in series definition
France,FRA,1954,22.1605,Break in 1978 is due to changes in series definition
France,FRA,1955,19.8902,Break in 1978 is due to changes in series definition
France,FRA,1956,21.4404,Break in 1978 is due to changes in series definition
France,FRA,1957,21.1111,Break in 1978 is due to changes in series definition
France,FRA,1958,19.5984,Break in 1978 is due to changes in series definition
France,FRA,1959,19.9251,Break in 1978 is due to changes in series definition
France,FRA,1960,22.1784,Break in 1978 is due to changes in series definition
France,FRA,1961,21.9068,Break in 1978 is due to changes in series definition
France,FRA,1962,21.6803,Break in 1978 is due to changes in series definition
France,FRA,1963,22.5916,Break in 1978 is due to changes in series definition
France,FRA,1964,21.0281,Break in 1978 is due to changes in series definition
France,FRA,1965,21.0555,Break in 1978 is due to changes in series definition
France,FRA,1966,21.3881,Break in 1978 is due to changes in series definition
France,FRA,1967,21.3894,Break in 1978 is due to changes in series definition
France,FRA,1968,22.7285,Break in 1978 is due to changes in series definition
France,FRA,1969,21.4616,Break in 1978 is due to changes in series definition
France,FRA,1970,20.4982,Break in 1978 is due to changes in series definition
France,FRA,1971,20.039,Break in 1978 is due to changes in series definition
France,FRA,1972,19.7757,Break in 1978 is due to changes in series definition
France,FRA,1973,19.7486,Break in 1978 is due to changes in series definition
France,FRA,1974,19.8748,Break in 1978 is due to changes in series definition
France,FRA,1975,22.0386,Break in 1978 is due to changes in series definition
France,FRA,1976,21.6925,Break in 1978 is due to changes in series definition
France,FRA,1977,21.4324,Break in 1978 is due to changes in series definition
France,FRA,1978,44.7102,Break in 1978 is due to changes in series definition
France,FRA,1979,44.9223,Break in 1978 is due to changes in series definition
France,FRA,1980,45.961,Break in 1978 is due to changes in series definition
France,FRA,1981,48.5316,Break in 1978 is due to changes in series definition
France,FRA,1982,49.8704,Break in 1978 is due to changes in series definition
France,FRA,1983,50.2373,Break in 1978 is due to changes in series definition
France,FRA,1984,51.2211,Break in 1978 is due to changes in series definition
France,FRA,1985,51.884,Break in 1978 is due to changes in series definition
France,FRA,1986,51.2825,Break in 1978 is due to changes in series definition
France,FRA,1987,50.711,Break in 1978 is due to changes in series definition
France,FRA,1988,50.0564,Break in 1978 is due to changes in series definition
France,FRA,1989,48.927,Break in 1978 is due to changes in series definition
France,FRA,1990,49.5835,Break in 1978 is due to changes in series definition
France,FRA,1991,50.6918,Break in 1978 is due to changes in series definition
France,FRA,1992,52.0006,Break in 1978 is due to changes in series definition
France,FRA,1993,55.07,Break in 1978 is due to changes in series definition
France,FRA,1994,54.0662,Break in 1978 is due to changes in series definition
France,FRA,1995,54.3906,Break in 1978 is due to changes in series definition
France,FRA,1996,54.5003,Break in 1978 is due to changes in series definition
France,FRA,1997,54.1831,Break in 1978 is due to changes in series definition
France,FRA,1998,52.7594,Break in 1978 is due to changes in series definition
France,FRA,1999,52.5997,Break in 1978 is due to changes in series definition
France,FRA,2000,51.6889,Break in 1978 is due to changes in series definition
France,FRA,2001,51.6628,Break in 1978 is due to changes in series definition
France,FRA,2002,52.8738,Break in 1978 is due to changes in series definition
France,FRA,2003,53.4009,Break in 1978 is due to changes in series definition
France,FRA,2004,53.2605,Break in 1978 is due to changes in series definition
France,FRA,2005,53.5694,Break in 1978 is due to changes in series definition
France,FRA,2006,52.9758,Break in 1978 is due to changes in series definition
France,FRA,2007,52.6088,Break in 1978 is due to changes in series definition
France,FRA,2008,53.2809,Break in 1978 is due to changes in series definition
France,FRA,2009,56.7377,Break in 1978 is due to changes in series definition
France,FRA,2010,56.6271,Break in 1978 is due to changes in series definition
France,FRA,2011,57.00871,Break in 1978 is due to changes in series definition
France,FRA,2012,57.889553,Break in 1978 is due to changes in series definition
France,FRA,2013,58.58933,Break in 1978 is due to changes in series definition
France,FRA,2014,58.39164,Break in 1978 is due to changes in series definition
France,FRA,2015,57.595116,Break in 1978 is due to changes in series definition
France,FRA,2016,57.379204,Break in 1978 is due to changes in series definition
France,FRA,2017,57.665092,Break in 1978 is due to changes in series definition
France,FRA,2018,56.369232,Break in 1978 is due to changes in series definition
France,FRA,2019,55.344795,Break in 1978 is due to changes in series definition
France,FRA,2020,61.69671,Break in 1978 is due to changes in series definition
France,FRA,2021,59.46329,Break in 1978 is due to changes in series definition
France,FRA,2022,58.397213,Break in 1978 is due to changes in series definition
France,FRA,2023,56.989395,Break in 1978 is due to changes in series definition
Germany,DEU,1950,27.1684,
Germany,DEU,1951,30.1639,
Germany,DEU,1952,30.3943,
Germany,DEU,1953,30.4325,
Germany,DEU,1954,30.7176,
Germany,DEU,1955,29.9271,
Germany,DEU,1956,29.5334,
Germany,DEU,1957,28.6308,
Germany,DEU,1958,29.0038,
Germany,DEU,1959,29.3147,
Germany,DEU,1960,22.9389,
Germany,DEU,1961,28.8326,
Germany,DEU,1962,29.2204,
Germany,DEU,1963,29.1049,
Germany,DEU,1964,28.9997,
Germany,DEU,1965,28.3682,
Germany,DEU,1966,28.2819,
Germany,DEU,1967,28.802,
Germany,DEU,1968,28.4604,
Germany,DEU,1969,29.6835,
Germany,DEU,1970,39.4616,
Germany,DEU,1971,40.9206,
Germany,DEU,1972,41.7953,
Germany,DEU,1973,42.3752,
Germany,DEU,1974,46.0171,
Germany,DEU,1975,50.3214,
Germany,DEU,1976,49.445,
Germany,DEU,1977,49.0409,
Germany,DEU,1978,47.7468,
Germany,DEU,1979,47.445,
Germany,DEU,1980,48.2272,
Germany,DEU,1981,49.0252,
Germany,DEU,1982,49.1236,
Germany,DEU,1983,47.9191,
Germany,DEU,1984,47.1596,
Germany,DEU,1985,46.5613,
Germany,DEU,1986,45.6761,
Germany,DEU,1987,45.982,
Germany,DEU,1988,45.5794,
Germany,DEU,1989,44.2883,
Germany,DEU,1990,44.7298,
Germany,DEU,1991,46.2505,
Germany,DEU,1992,47.1767,
Germany,DEU,1993,48.1466,
Germany,DEU,1994,47.8207,
Germany,DEU,1995,54.858,
Germany,DEU,1996,49.0581,
Germany,DEU,1997,48.2244,
Germany,DEU,1998,48.0023,
Germany,DEU,1999,48.2222,
Germany,DEU,2000,45.097,
Germany,DEU,2001,47.6131,
Germany,DEU,2002,47.9472,
Germany,DEU,2003,48.4619,
Germany,DEU,2004,47.0738,
Germany,DEU,2005,46.9093,
Germany,DEU,2006,45.3473,
Germany,DEU,2007,43.5149,
Germany,DEU,2008,44.0452,
Germany,DEU,2009,48.0981,
Germany,DEU,2010,47.8743,
Germany,DEU,2011,45.274708,
Germany,DEU,2012,45.083416,
Germany,DEU,2013,45.150806,
Germany,DEU,2014,44.4977,
Germany,DEU,2015,44.505795,
Germany,DEU,2016,44.718613,
Germany,DEU,2017,44.566284,
Germany,DEU,2018,44.688717,
Germany,DEU,2019,45.5635,
Germany,DEU,2020,51.129807,
Germany,DEU,2021,50.70916,
Germany,DEU,2022,49.001984,
Germany,DEU,2023,48.38002,
Italy,ITA,1950,17.2769,
Italy,ITA,1951,18.9974,
Italy,ITA,1952,20.079,
Italy,ITA,1953,16.6868,
Italy,ITA,1954,16.5823,
Italy,ITA,1955,17.1891,
Italy,ITA,1956,16.301,
Italy,ITA,1957,16.218,
Italy,ITA,1958,16.6033,
Italy,ITA,1959,18.2515,
Italy,ITA,1960,16.4946,
Italy,ITA,1961,17.2626,
Italy,ITA,1962,17.5199,
Italy,ITA,1963,16.6727,
Italy,ITA,1964,18.2205,
Italy,ITA,1965,18.5974,
Italy,ITA,1966,19.094,
Italy,ITA,1967,17.9275,
Italy,ITA,1968,32.6145,
Italy,ITA,1969,32.0591,
Italy,ITA,1970,32.3249,
Italy,ITA,1971,34.3815,
Italy,ITA,1972,36.3588,
Italy,ITA,1973,35.262,
Italy,ITA,1974,34.7776,
Italy,ITA,1975,39.1154,
Italy,ITA,1976,38.1147,
Italy,ITA,1977,38.4937,
Italy,ITA,1978,40.888,
Italy,ITA,1979,40.138,
Italy,ITA,1980,40.7861,
Italy,ITA,1981,44.602,
Italy,ITA,1982,46.7066,
Italy,ITA,1983,48.9307,
Italy,ITA,1984,49.1316,
Italy,ITA,1985,49.8382,
Italy,ITA,1986,50.4538,
Italy,ITA,1987,49.7709,
Italy,ITA,1988,50.3819,
Italy,ITA,1989,51.5934,
Italy,ITA,1990,52.8606,
Italy,ITA,1991,53.9434,
Italy,ITA,1992,55.2947,
Italy,ITA,1993,56.2682,
Italy,ITA,1994,53.4819,
Italy,ITA,1995,52.4899,
Italy,ITA,1996,52.4544,
Italy,ITA,1997,50.2251,
Italy,ITA,1998,49.2044,
Italy,ITA,1999,48.144,
Italy,ITA,2000,45.8634,
Italy,ITA,2001,47.7104,
Italy,ITA,2002,47.117,
Italy,ITA,2003,48.0772,
Italy,ITA,2004,47.527,
Italy,ITA,2005,47.9157,
Italy,ITA,2006,48.4501,
Italy,ITA,2007,47.6303,
Italy,ITA,2008,48.6021,
Italy,ITA,2009,51.6145,
Italy,ITA,2010,50.2755,
Italy,ITA,2011,49.039135,
Italy,ITA,2012,50.492405,
Italy,ITA,2013,50.919285,
Italy,ITA,2014,50.738964,
Italy,ITA,2015,50.272625,
Italy,ITA,2016,49.01182,
Italy,ITA,2017,48.816963,
Italy,ITA,2018,48.366695,
Italy,ITA,2019,48.455463,
Italy,ITA,2020,56.783783,
Italy,ITA,2021,56.02923,
Italy,ITA,2022,54.908203,
Italy,ITA,2023,53.799015,
Norway,NOR,1950,18.05,
Norway,NOR,1951,13.8049,
Norway,NOR,1952,14.2942,
Norway,NOR,1953,17.2293,
Norway,NOR,1954,17.5101,
Norway,NOR,1955,17.8145,
Norway,NOR,1956,16.6751,
Norway,NOR,1957,17.2176,
Norway,NOR,1958,17.6426,
Norway,NOR,1959,16.8798,
Norway,NOR,1960,17.97,
Norway,NOR,1961,20.3531,
Norway,NOR,1962,30.5719,
Norway,NOR,1963,31.923,
Norway,NOR,1964,31.954,
Norway,NOR,1965,32.9459,
Norway,NOR,1966,33.4544,
Norway,NOR,1967,34.901,
Norway,NOR,1968,36.2056,
Norway,NOR,1969,38.0037,
Norway,NOR,1970,38.9092,
Norway,NOR,1971,40.7425,
Norway,NOR,1972,42.2452,
Norway,NOR,1973,42.2645,
Norway,NOR,1974,42.2032,
Norway,NOR,1975,43.5398,
Norway,NOR,1976,45.2487,
Norway,NOR,1977,46.5343,
Norway,NOR,1978,47.9298,
Norway,NOR,1979,47.176,
Norway,NOR,1980,46.1285,
Norway,NOR,1981,46.0774,
Norway,NOR,1982,46.595,
Norway,NOR,1983,46.3623,
Norway,NOR,1984,44.4617,
Norway,NOR,1985,44.0013,
Norway,NOR,1986,48.1301,
Norway,NOR,1987,50.4737,
Norway,NOR,1988,52.6146,
Norway,NOR,1989,52.163,
Norway,NOR,1990,53.3108,
Norway,NOR,1991,54.5185,
Norway,NOR,1992,55.7824,
Norway,NOR,1993,54.6077,
Norway,NOR,1994,53.7387,
Norway,NOR,1995,50.9389,
Norway,NOR,1996,48.504,
Norway,NOR,1997,46.8317,
Norway,NOR,1998,49.0824,
Norway,NOR,1999,47.6907,
Norway,NOR,2000,42.3005,
Norway,NOR,2001,44.1098,
Norway,NOR,2002,47.0558,
Norway,NOR,2003,48.1754,
Norway,NOR,2004,45.4323,
Norway,NOR,2005,42.1141,
Norway,NOR,2006,40.4676,
Norway,NOR,2007,41.1326,
Norway,NOR,2008,40.5875,
Norway,NOR,2009,46.316,
Norway,NOR,2010,45.9206,
Norway,NOR,2011,43.265575,
Norway,NOR,2012,42.400364,
Norway,NOR,2013,43.454414,
Norway,NOR,2014,45.22536,
Norway,NOR,2015,48.20319,
Norway,NOR,2016,50.404602,
Norway,NOR,2017,49.222954,
Norway,NOR,2018,47.694122,
Norway,NOR,2019,50.20298,
Norway,NOR,2020,56.710022,
