paese,anno,valore,valore_ma
Francia,1950,24.1176,24.1176
Francia,1951,23.592,24.338566666666665
Francia,1952,25.3061,24.687166666666666
Francia,1953,25.1634,24.209999999999997
Francia,1954,22.1605,22.404700000000002
Francia,1955,19.8902,21.163700000000002
Francia,1956,21.4404,20.8139
Francia,1957,21.1111,20.716633333333334
Francia,1958,19.5984,20.211533333333335
Francia,1959,19.9251,20.5673
Francia,1960,22.1784,21.336766666666666
Francia,1961,21.9068,21.921833333333336
Francia,1962,21.6803,22.059566666666665
Francia,1963,22.5916,21.766666666666666
Francia,1964,21.0281,21.558399999999995
Francia,1965,21.0555,21.157233333333334
Francia,1966,21.3881,21.277666666666665
Francia,1967,21.3894,21.835333333333335
Francia,1968,22.7285,21.85983333333333
Francia,1969,21.4616,21.562766666666665
Francia,1970,20.4982,20.66626666666667
Francia,1971,20.039,20.1043
Francia,1972,19.7757,19.854433333333333
Francia,1973,19.7486,19.799699999999998
Francia,1974,19.8748,20.554000000000002
Francia,1975,22.0386,21.201966666666664
Francia,1976,21.6925,21.721166666666665
Francia,1977,21.4324,29.278366666666667
Francia,1978,44.7102,37.021633333333334
Francia,1979,44.9223,45.197833333333335
Francia,1980,45.961,46.47163333333333
Francia,1981,48.5316,48.121
Francia,1982,49.8704,49.54643333333333
Francia,1983,50.2373,50.442933333333336
Francia,1984,51.2211,51.114133333333335
Francia,1985,51.884,51.46253333333333
Francia,1986,51.2825,51.2925
Francia,1987,50.711,50.683299999999996
Francia,1988,50.0564,49.898133333333334
Francia,1989,48.927,49.522299999999994
Francia,1990,49.5835,49.734100000000005
Francia,1991,50.6918,50.758633333333336
Francia,1992,52.0006,52.587466666666664
Francia,1993,55.07,53.712266666666665
Francia,1994,54.0662,54.50893333333334
Francia,1995,54.3906,54.31903333333333
Francia,1996,54.5003,54.358000000000004
Francia,1997,54.1831,53.81426666666667
Francia,1998,52.7594,53.18073333333333
Francia,1999,52.5997,52.349333333333334
Francia,2000,51.6889,51.9838
Francia,2001,51.6628,52.07516666666667
Francia,2002,52.8738,52.645833333333336
Francia,2003,53.4009,53.1784
Francia,2004,53.2605,53.410266666666665
Francia,2005,53.5694,53.268566666666665
Francia,2006,52.9758,53.05133333333333
Francia,2007,52.6088,52.95516666666666
Francia,2008,53.2809,54.209133333333334
Francia,2009,56.7377,55.54856666666666
Francia,2010,56.6271,56.79117
Francia,2011,57.00871,57.175121
Francia,2012,57.889553,57.829197666666666
Francia,2013,58.58933,58.29017433333333
Francia,2014,58.39164,58.192028666666666
Francia,2015,57.595116,57.788653333333336
Francia,2016,57.379204,57.546470666666664
Francia,2017,57.665092,57.137842666666664
Francia,2018,56.369232,56.45970633333334
Francia,2019,55.344795,57.80357899999999
Francia,2020,61.69671,58.83493166666667
Francia,2021,59.46329,59.85240433333333
Francia,2022,58.397213,58.28329933333333
Francia,2023,56.989395,56.989395
Germania,1950,27.1684,27.1684
Germania,1951,30.1639,29.2422
Germania,1952,30.3943,30.330233333333336
Germania,1953,30.4325,30.514800000000005
Germania,1954,30.7176,30.359066666666667
Germania,1955,29.9271,30.059366666666666
Germania,1956,29.5334,29.363766666666663
Germania,1957,28.6308,29.056
Germania,1958,29.0038,28.983099999999997
Germania,1959,29.3147,27.085800000000003
Germania,1960,22.9389,27.02873333333333
Germania,1961,28.8326,26.9973
Germania,1962,29.2204,29.052633333333333
Germania,1963,29.1049,29.108333333333334
Germania,1964,28.9997,28.82426666666667
Germania,1965,28.3682,28.549933333333332
Germania,1966,28.2819,28.484033333333333
Germania,1967,28.802,28.514766666666663
Germania,1968,28.4604,28.981966666666665
Germania,1969,29.6835,32.53516666666667
Germania,1970,39.4616,36.68856666666667
Germania,1971,40.9206,40.725833333333334
Germania,1972,41.7953,41.69703333333334
Germania,1973,42.3752,43.39586666666667
Germania,1974,46.0171,46.2379
Germania,1975,50.3214,48.594500000000004
Germania,1976,49.445,49.60243333333333
Germania,1977,49.0409,48.744233333333334
Germania,1978,47.7468,48.07756666666666
Germania,1979,47.445,47.806333333333335
Germania,1980,48.2272,48.232466666666674
Germania,1981,49.0252,48.792
Germania,1982,49.1236,48.6893
Germania,1983,47.9191,48.06743333333333
Germania,1984,47.1596,47.21333333333333
Germania,1985,46.5613,46.465666666666664
Germania,1986,45.6761,46.07313333333334
Germania,1987,45.982,45.74583333333333
Germania,1988,45.5794,45.28323333333333
Germania,1989,44.2883,44.865833333333335
Germania,1990,44.7298,45.08953333333333
Germania,1991,46.2505,46.05233333333333
