FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,BRKDW_INDUSTRY_NACE_REV2,Branca di attività economica (ATECO 2007),TYPE_EMPLOYMENT,Tipologia di occupazione,EMPLOYMENT_STATUS,Posizione nella professione,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregato (NOTE_DATA_TYPE_AGGR),NOTE_BRKDW_INDUSTRY_NACE_REV2,Branca di attività economica (ATECO 2007) (NOTE_BRKDW_INDUSTRY_NACE_REV2),NOTE_TYPE_EMPLOYMENT,Tipologia di occupazione (NOTE_TYPE_EMPLOYMENT),NOTE_EMPLOYMENT_STATUS,Posizione nella professione (NOTE_EMPLOYMENT_STATUS),NOTE_ADJUSTMENT,Correzione (NOTE_ADJUSTMENT),NOTE_EDITION,Edizione (NOTE_EDITION),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2014,24145.4,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2015,24303.2,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2016,24650.9,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2017,24940.8,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2018,25194,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2019,25349,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2020,24830.1,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2021,25069.4,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2022,25550.4,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2023,26077.7,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
