"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Presenza tempo parziale nell'anno";"Sesso";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno "
"2014";"No";"Maschi";"";"648.222 ";"22.526.369 ";"1.837.270.715 ";"6.126.464 ";"6.126.464 ";"459.154 ";"54.641.511 ";"4.519.776.163 ";"12.380.779 ";"12.380.779 ";"1.484.129 ";"367.538.018 ";"32.088.539.722 ";"70.671.137 ";"70.671.137 ";"4.071.892 ";"1.266.023.375 ";"147.633.608.460 ";"211.735.384 ";"211.735.384 ";"6.663.397 ";"1.710.729.273 ";"186.079.195.060 ";"300.913.764 ";"300.913.764 "
" ";" ";"Femmine";"";"377.117 ";"12.713.569 ";"901.078.760 ";"3.862.356 ";"3.862.356 ";"280.501 ";"33.879.830 ";"2.404.344.988 ";"7.651.435 ";"7.651.435 ";"718.040 ";"173.654.363 ";"13.452.490.446 ";"32.844.389 ";"32.844.389 ";"1.755.278 ";"546.009.789 ";"53.398.684.757 ";"91.273.811 ";"91.273.811 ";"3.130.936 ";"766.257.551 ";"70.156.598.951 ";"135.631.991 ";"135.631.991 "
