"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Classe di età";"Sesso";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero giornate retribuite nell'anno "
"2014";"Fino a 19";"Maschi";"";"48.225 ";"424.712 ";"309.612 ";"79.204.544 ";"1.636.323 ";"15.204 ";"363.850 ";"286.099 ";"82.706.333 ";"1.690.750 ";"10.877 ";"473.311 ";"381.397 ";"115.157.134 ";"2.450.676 ";"5.699 ";"296.345 ";"266.094 ";"84.672.335 ";"1.767.060 ";"80.005 ";"1.558.218 ";"1.243.202 ";"361.740.346 ";"7.544.809 "
" ";" ";"Femmine";"";"35.423 ";"302.576 ";"201.778 ";"45.255.524 ";"1.078.368 ";"7.612 ";"187.282 ";"127.824 ";"33.683.710 ";"839.442 ";"4.798 ";"206.078 ";"141.119 ";"39.202.051 ";"1.058.629 ";"2.018 ";"104.935 ";"82.998 ";"23.779.567 ";"625.965 ";"49.851 ";"800.871 ";"553.718 ";"141.920.852 ";"3.602.404 "
" ";"Fino a 19";"Totale";"";"83.648 ";"727.288 ";"511.389 ";"124.460.068 ";"2.714.691 ";"22.816 ";"551.132 ";"413.922 ";"116.390.043 ";"2.530.192 ";"15.675 ";"679.389 ";"522.516 ";"154.359.185 ";"3.509.305 ";"7.717 ";"401.280 ";"349.093 ";"108.451.902 ";"2.393.025 ";"129.856 ";"2.359.089 ";"1.796.920 ";"503.661.198 ";"11.147.213 "
