"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anno 2024 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Attivita' economica ATECO 2007";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno "
"2024";"Estrazione di minerali da cave e miniere";"";"1.046 ";"11.099 ";"5.938.744 ";"9.796 ";"45.948 ";"1.060 ";"28.018 ";"17.533.708 ";"25.548 ";"129.686 ";"6.485 ";"315.185 ";"216.363.983 ";"305.935 ";"1.670.374 ";"29.624 ";"1.540.448 ";"1.729.377.991 ";"1.523.470 ";"9.215.050 ";"38.215 ";"1.894.750 ";"1.969.214.426 ";"1.864.749 ";"11.061.058 "
" ";"Attivita' manifatturiere";"";"192.153 ";"2.015.305 ";"693.828.969 ";"1.668.487 ";"7.982.804 ";"176.150 ";"4.761.535 ";"1.776.495.549 ";"4.002.647 ";"21.193.812 ";"936.536 ";"45.627.832 ";"22.932.978.394 ";"42.230.638 ";"240.241.872 ";"2.698.557 ";"140.324.907 ";"104.654.934.715 ";"135.800.617 ";"838.350.123 ";"4.003.396 ";"192.729.579 ";"130.058.237.627 ";"183.702.389 ";"1.107.768.611 "
