"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"
"Tipologia contrattuale:Tempo indeterminato"

"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";"Anno";"2014";" ";" ";" ";" ";"2015";" ";" ";" ";" ";"2016";" ";" ";" ";" ";"2017";" ";" ";" ";" ";"2018";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Attivita' economica ATECO 2007";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno "
"Estrazione di minerali da cave e miniere";"";"43.378 ";"12.468.227 ";"2.156.677 ";"2.122.452 ";"1.874.449.531 ";"42.897 ";"12.302.523 ";"2.121.360 ";"2.086.469 ";"1.907.025.355 ";"41.141 ";"11.927.863 ";"2.056.222 ";"2.021.668 ";"1.853.038.563 ";"38.510 ";"11.223.175 ";"1.930.746 ";"1.897.505 ";"1.758.345.058 ";"38.122 ";"11.119.503 ";"1.908.888 ";"1.876.384 ";"1.817.741.783 "
"Attivita' manifatturiere";"";"3.318.108 ";"922.218.303 ";"161.344.734 ";"153.803.121 ";"93.142.733.179 ";"3.416.215 ";"946.234.966 ";"164.795.290 ";"156.895.188 ";"97.166.194.911 ";"3.382.670 ";"962.202.807 ";"166.599.498 ";"158.453.448 ";"99.203.925.549 ";"3.342.786 ";"960.013.891 ";"165.472.803 ";"157.372.436 ";"100.233.017.728 ";"3.387.016 ";"974.437.216 ";"167.771.328 ";"159.710.865 ";"103.062.476.385 "
