"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";"Anno";"2019";" ";" ";" ";" ";"2020";" ";" ";" ";" ";"2021";" ";" ";" ";" ";"2022";" ";" ";" ";" ";"2023";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Attivita' economica ATECO 2007";"Tipologia contrattuale";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno "
"Estrazione di minerali da cave e miniere";"Tempo determinato";"";"2.576 ";"503.162 ";"48.672.565 ";"89.060 ";"93.275 ";"2.224 ";"408.094 ";"38.567.818 ";"74.298 ";"78.593 ";"2.329 ";"443.791 ";"39.948.561 ";"78.610 ";"83.525 ";"2.036 ";"396.707 ";"37.577.060 ";"71.727 ";"75.315 ";"2.305 ";"447.647 ";"44.156.057 ";"81.118 ";"84.916 "
" ";"Tempo indeterminato";"";"38.818 ";"11.339.428 ";"1.894.066.956 ";"1.908.718 ";"1.940.071 ";"38.503 ";"10.885.786 ";"1.810.259.475 ";"1.878.487 ";"1.910.266 ";"37.798 ";"11.050.381 ";"1.841.017.702 ";"1.863.441 ";"1.892.827 ";"36.156 ";"10.643.326 ";"1.840.047.022 ";"1.789.520 ";"1.816.697 ";"35.129 ";"10.335.167 ";"1.834.015.692 ";"1.737.821 ";"1.764.623 "
" ";"Stagionale";"";"113 ";"14.006 ";"1.136.153 ";"2.622 ";"2.775 ";"124 ";"15.203 ";"1.273.918 ";"2.930 ";"3.061 ";"104 ";"14.716 ";"1.213.892 ";"2.665 ";"2.822 ";"136 ";"20.687 ";"1.856.884 ";"3.784 ";"3.929 ";"124 ";"19.702 ";"2.194.267 ";"3.605 ";"3.695 "
