"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anno 2024 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";"Anno";"2024";" ";" ";" ";" ";"  ";" ";" ";" "
"Attivita' economica ATECO 2007";"Tipologia contrattuale";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno "
"Estrazione di minerali da cave e miniere";"Tempo determinato";"";"2.195 ";"79.309 ";"42.534.433 ";"75.624 ";"419.629 "
" ";"Tempo indeterminato";"";"35.899 ";"1.811.257 ";"1.923.925.793 ";"1.785.061 ";"10.618.619 "
" ";"Stagionale";"";"121 ";"4.184 ";"2.754.200 ";"4.064 ";"22.810 "
"Estrazione di minerali da cave e miniere";"Totale";"";"38.215 ";"1.894.750 ";"1.969.214.426 ";"1.864.749 ";"11.061.058 "
"Attivita' manifatturiere";"Tempo determinato";"";"354.608 ";"11.688.021 ";"4.758.347.631 ";"10.372.414 ";"61.211.131 "
" ";"Tempo indeterminato";"";"3.609.369 ";"180.072.300 ";"124.903.576.370 ";"172.466.686 ";"1.041.727.904 "
" ";"Stagionale";"";"39.419 ";"969.258 ";"396.313.626 ";"863.289 ";"4.829.576 "
"Attivita' manifatturiere";"Totale";"";"4.003.396 ";"192.729.579 ";"130.058.237.627 ";"183.702.389 ";"1.107.768.611 "
"Fornitura di energia elettrica, gas, vapore e aria condizionata";"Tempo determinato";"";"2.361 ";"82.824 ";"42.252.259 ";"72.250 ";"454.772 "
" ";"Tempo indeterminato";"";"85.731 ";"4.334.222 ";"4.365.169.225 ";"4.277.453 ";"25.636.583 "
" ";"Stagionale";"";"38 ";"1.148 ";"387.608 ";"990 ";"6.135 "
"Fornitura di energia elettrica, gas, vapore e aria condizionata";"Totale";"";"88.130 ";"4.418.194 ";"4.407.809.092 ";"4.350.692 ";"26.097.490 "
"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento";"Tempo determinato";"";"20.523 ";"702.581 ";"286.130.487 ";"629.422 ";"3.804.319 "
" ";"Tempo indeterminato";"";"183.379 ";"9.219.531 ";"5.976.056.130 ";"8.945.579 ";"54.098.113 "
" ";"Stagionale";"";"1.789 ";"45.946 ";"16.551.190 ";"39.616 ";"243.868 "
"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento";"Totale";"";"205.691 ";"9.968.058 ";"6.278.737.807 ";"9.614.617 ";"58.146.300 "
"Costruzioni";"Tempo determinato";"";"332.070 ";"9.519.286 ";"3.892.881.541 ";"8.984.753 ";"47.439.129 "
" ";"Tempo indeterminato";"";"976.491 ";"46.095.401 ";"25.048.464.371 ";"44.257.012 ";"257.327.524 "
" ";"Stagionale";"";"1.034 ";"24.697 ";"8.805.883 ";"22.296 ";"122.659 "
