"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Attivita' economica ATECO 2007";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno "
"2019";"Estrazione di minerali da cave e miniere";"";"1.440 ";"59.753 ";"6.343.693 ";"13.300 ";"14.603 ";"1.388 ";"170.456 ";"20.591.699 ";"33.773 ";"37.027 ";"7.225 ";"1.843.502 ";"216.521.348 ";"337.495 ";"348.883 ";"31.454 ";"9.782.885 ";"1.700.418.934 ";"1.615.831 ";"1.635.608 ";"41.507 ";"11.856.596 ";"1.943.875.674 ";"2.000.400 ";"2.036.121 "
" ";"Attivita' manifatturiere";"";"209.475 ";"8.612.493 ";"645.028.196 ";"1.730.716 ";"2.152.925 ";"189.472 ";"22.852.173 ";"1.704.637.671 ";"4.175.741 ";"5.079.745 ";"774.221 ";"193.798.937 ";"15.709.226.581 ";"33.496.162 ";"37.037.005 ";"2.694.124 ";"837.541.076 ";"93.360.104.956 ";"135.293.060 ";"140.094.420 ";"3.867.292 ";"1.062.804.679 ";"111.418.997.404 ";"174.695.679 ";"184.364.095 "
