"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anno 2024 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Classe di età";"Sesso";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno "
"2024";"Fino a 19";"Maschi";"";"141.288 ";"1.380.508 ";"282.180.008 ";"1.023.531 ";"5.317.450 ";"50.551 ";"1.231.076 ";"309.232.636 ";"976.652 ";"5.589.758 ";"30.833 ";"1.352.122 ";"387.926.214 ";"1.112.642 ";"6.906.523 ";"12.099 ";"629.140 ";"227.854.315 ";"555.341 ";"3.745.910 ";"234.771 ";"4.592.846 ";"1.207.193.173 ";"3.668.166 ";"21.559.641 "
" ";" ";"Femmine";"";"105.733 ";"1.047.744 ";"172.330.695 ";"744.892 ";"3.670.753 ";"25.947 ";"667.287 ";"128.385.534 ";"476.090 ";"2.811.797 ";"11.711 ";"503.532 ";"109.088.580 ";"345.527 ";"2.557.501 ";"4.048 ";"210.492 ";"54.780.462 ";"156.567 ";"1.254.432 ";"147.439 ";"2.429.055 ";"464.585.271 ";"1.723.076 ";"10.294.483 "
" ";"Fino a 19";"Totale";"";"247.021 ";"2.428.252 ";"454.510.703 ";"1.768.423 ";"8.988.203 ";"76.498 ";"1.898.363 ";"437.618.170 ";"1.452.742 ";"8.401.555 ";"42.544 ";"1.855.654 ";"497.014.794 ";"1.458.169 ";"9.464.024 ";"16.147 ";"839.632 ";"282.634.777 ";"711.908 ";"5.000.342 ";"382.210 ";"7.021.901 ";"1.671.778.444 ";"5.391.242 ";"31.854.124 "
