"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anno 2024 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Classe di età";"Tipologia contrattuale";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno "
"2024";"Fino a 19";"Tempo determinato";"";"153.512 ";"1.466.477 ";"254.958.420 ";"1.087.569 ";"5.004.248 ";"39.489 ";"1.023.141 ";"229.784.296 ";"767.457 ";"4.352.432 ";"17.735 ";"754.083 ";"204.467.089 ";"566.319 ";"3.795.278 ";"2.070 ";"107.637 ";"46.909.969 ";"86.414 ";"639.082 ";"212.806 ";"3.351.338 ";"736.119.774 ";"2.507.759 ";"13.791.040 "
" ";" ";"Tempo indeterminato";"";"28.126 ";"307.757 ";"57.618.483 ";"236.675 ";"1.234.246 ";"22.486 ";"560.906 ";"129.509.729 ";"450.668 ";"2.606.740 ";"22.530 ";"1.010.143 ";"264.600.891 ";"816.874 ";"5.208.174 ";"14.006 ";"728.303 ";"234.348.726 ";"622.421 ";"4.339.374 ";"87.148 ";"2.607.109 ";"686.077.829 ";"2.126.638 ";"13.388.534 "
" ";" ";"Stagionale";"";"65.383 ";"654.018 ";"141.933.800 ";"444.178 ";"2.749.709 ";"14.523 ";"314.316 ";"78.324.145 ";"234.617 ";"1.442.383 ";"2.279 ";"91.428 ";"27.946.814 ";"74.976 ";"460.572 ";"71 ";"3.692 ";"1.376.082 ";"3.074 ";"21.886 ";"82.256 ";"1.063.454 ";"249.580.841 ";"756.845 ";"4.674.550 "
