"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";"Anno";"2014";" ";" ";" ";" ";"2015";" ";" ";" ";" ";"2016";" ";" ";" ";" ";"2017";" ";" ";" ";" ";"2018";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Attivita' economica ATECO 2007";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno "
"Estrazione di minerali da cave e miniere";"";"46.609 ";"13.107.474 ";"1.947.082.283 ";"2.237.209 ";"2.274.778 ";"45.381 ";"12.788.275 ";"1.963.666.025 ";"2.173.042 ";"2.210.342 ";"43.406 ";"12.325.782 ";"1.897.568.171 ";"2.092.854 ";"2.130.789 ";"41.034 ";"11.690.221 ";"1.803.989.045 ";"1.981.130 ";"2.018.226 ";"41.048 ";"11.682.491 ";"1.869.714.736 ";"1.975.871 ";"2.013.620 "
"Attivita' manifatturiere";"";"3.671.847 ";"981.047.075 ";"97.476.617.033 ";"163.992.749 ";"172.504.130 ";"3.716.067 ";"993.237.694 ";"100.740.294.714 ";"165.066.404 ";"173.743.453 ";"3.715.743 ";"1.016.085.062 ";"103.251.998.550 ";"167.755.983 ";"176.844.444 ";"3.769.695 ";"1.032.967.070 ";"105.550.101.011 ";"169.787.395 ";"179.271.317 ";"3.836.652 ";"1.053.714.143 ";"108.780.571.623 ";"173.070.281 ";"182.698.959 "
"Fornitura di energia elettrica, gas, vapore e aria condizionata";"";"83.381 ";"24.918.426 ";"3.795.141.744 ";"4.155.440 ";"4.200.684 ";"80.939 ";"24.271.207 ";"3.755.423.660 ";"4.036.483 ";"4.086.291 ";"80.576 ";"24.065.473 ";"3.769.944.591 ";"4.002.604 ";"4.055.219 ";"80.590 ";"24.202.938 ";"3.789.785.759 ";"4.021.517 ";"4.078.370 ";"81.117 ";"24.165.011 ";"3.803.839.871 ";"4.017.364 ";"4.075.512 "
