"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anno 2024 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Presenza tempo parziale nell'anno";"Sesso";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero settimane retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero giornate retribuite nell'anno "
"2024";"No";"Maschi";"";"653.715 ";"6.148.076 ";"2.165.016.624 ";"6.148.076 ";"23.681.260 ";"484.865 ";"12.548.694 ";"5.438.704.242 ";"12.548.694 ";"58.080.322 ";"1.860.330 ";"88.647.600 ";"47.448.944.777 ";"88.647.600 ";"467.805.786 ";"5.007.988 ";"260.415.284 ";"203.754.540.889 ";"260.415.284 ";"1.556.038.089 ";"8.006.898 ";"367.759.654 ";"258.807.206.532 ";"367.759.654 ";"2.105.605.457 "
" ";" ";"Femmine";"";"435.290 ";"4.369.995 ";"1.169.766.117 ";"4.369.995 ";"14.626.480 ";"315.225 ";"8.488.547 ";"3.054.673.126 ";"8.488.547 ";"38.482.089 ";"880.155 ";"39.957.609 ";"19.157.466.854 ";"39.957.609 ";"214.540.889 ";"2.235.953 ";"116.269.513 ";"80.313.148.833 ";"116.269.513 ";"695.454.756 ";"3.866.623 ";"169.085.664 ";"103.695.054.930 ";"169.085.664 ";"963.104.214 "
