anno,classe_di_eta,tipologia_contrattuale,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2014,20  - 24,Stagionale,Fino a 3 mesi,33752,349257,253355,1362879,71440479
2014,20  - 24,Stagionale,Oltre 3 e fino a 6 mesi,20958,488981,400545,2264455,129030461
2014,20  - 24,Stagionale,Oltre 6 e meno di 12 mesi,9998,399849,354428,2036923,132257648
2014,20  - 24,Stagionale,Anno intero,318,16536,14569,98186,5814656
2014,20  - 24,Tempo determinato,Fino a 3 mesi,168809,1538667,1090908,5385754,274616315
2014,20  - 24,Tempo determinato,Oltre 3 e fino a 6 mesi,78180,2023506,1513909,9008145,474066112
2014,20  - 24,Tempo determinato,Oltre 6 e meno di 12 mesi,91124,3985388,3201036,20704010,1168765254
2014,20  - 24,Tempo determinato,Anno intero,22947,1193218,1041288,7096876,435368354
2014,20  - 24,Tempo indeterminato,Fino a 3 mesi,89682,1029936,753203,3474323,162459468
2014,20  - 24,Tempo indeterminato,Oltre 3 e fino a 6 mesi,68366,1922760,1410345,8043567,373219855
2014,20  - 24,Tempo indeterminato,Oltre 6 e meno di 12 mesi,162975,7531816,5951097,38816136,1919186654
2014,20  - 24,Tempo indeterminato,Anno intero,226871,11797123,10407103,70471852,4024078843
2014,25  - 29,Stagionale,Fino a 3 mesi,20951,220304,165884,839577,47645492
2014,25  - 29,Stagionale,Oltre 3 e fino a 6 mesi,21133,508988,430793,2384529,146219894
2014,25  - 29,Stagionale,Oltre 6 e meno di 12 mesi,14686,581875,522634,2976879,205185654
2014,25  - 29,Stagionale,Anno intero,425,22100,19778,131240,8614084
2014,25  - 29,Tempo determinato,Fino a 3 mesi,147097,1353471,976095,4992298,278895116
2014,25  - 29,Tempo determinato,Oltre 3 e fino a 6 mesi,90491,2321302,1784138,10665683,616332938
2014,25  - 29,Tempo determinato,Oltre 6 e meno di 12 mesi,135912,5957112,4974821,31334162,1935342202
2014,25  - 29,Tempo determinato,Anno intero,44878,2333627,2107057,13889643,942081873
2014,25  - 29,Tempo indeterminato,Fino a 3 mesi,99967,1152569,834903,3928786,219205307
2014,25  - 29,Tempo indeterminato,Oltre 3 e fino a 6 mesi,88317,2510324,1856811,10520025,561682144
2014,25  - 29,Tempo indeterminato,Oltre 6 e meno di 12 mesi,277310,13062714,10644370,67312901,3846652386
2014,25  - 29,Tempo indeterminato,Anno intero,592431,30805988,28140496,184168539,12930725016
2014,30  - 34,Stagionale,Fino a 3 mesi,14325,152227,116242,581075,34472813
2014,30  - 34,Stagionale,Oltre 3 e fino a 6 mesi,17430,427005,365304,2012691,130037197
2014,30  - 34,Stagionale,Oltre 6 e meno di 12 mesi,14334,561911,509319,2884094,209509895
2014,30  - 34,Stagionale,Anno intero,360,18719,17064,111114,7761230
2014,30  - 34,Tempo determinato,Fino a 3 mesi,120916,1108162,825720,4239212,247680413
2014,30  - 34,Tempo determinato,Oltre 3 e fino a 6 mesi,85271,2185164,1738677,10206442,616251759
2014,30  - 34,Tempo determinato,Oltre 6 e meno di 12 mesi,140147,6100454,5221472,32269616,2069113339
2014,30  - 34,Tempo determinato,Anno intero,47751,2483037,2253444,14785975,1056539106
2014,30  - 34,Tempo indeterminato,Fino a 3 mesi,93423,1131611,826713,3647960,230567020
2014,30  - 34,Tempo indeterminato,Oltre 3 e fino a 6 mesi,90587,2654719,2006323,10852418,643222814
2014,30  - 34,Tempo indeterminato,Oltre 6 e meno di 12 mesi,330577,15775610,13173706,81222493,5180001398
2014,30  - 34,Tempo indeterminato,Anno intero,852189,44313311,41189017,264972824,21892847384
2014,35  - 39,Stagionale,Fino a 3 mesi,12692,134634,103757,515779,31170435
2014,35  - 39,Stagionale,Oltre 3 e fino a 6 mesi,16758,411995,355877,1951972,128580853
2014,35  - 39,Stagionale,Oltre 6 e meno di 12 mesi,14093,549636,499139,2815200,209126747
2014,35  - 39,Stagionale,Anno intero,306,15912,14379,94547,6915597
2014,35  - 39,Tempo determinato,Fino a 3 mesi,108397,994635,754499,3832471,228734811
2014,35  - 39,Tempo determinato,Oltre 3 e fino a 6 mesi,81092,2084361,1696562,9810969,608620040
2014,35  - 39,Tempo determinato,Oltre 6 e meno di 12 mesi,141528,6133232,5348065,32572399,2154733787
2014,35  - 39,Tempo determinato,Anno intero,44289,2303003,2080612,13712433,1014972567
2014,35  - 39,Tempo indeterminato,Fino a 3 mesi,90373,1088844,814394,3503338,237115555
2014,35  - 39,Tempo indeterminato,Oltre 3 e fino a 6 mesi,89237,2663666,2039454,10726592,683020766
2014,35  - 39,Tempo indeterminato,Oltre 6 e meno di 12 mesi,386512,18672853,15837534,96362448,6726918113
2014,35  - 39,Tempo indeterminato,Anno intero,1089252,56640418,52524365,338660900,30819611339
2014,40  - 44,Stagionale,Fino a 3 mesi,11989,129157,101622,497939,30805962
2014,40  - 44,Stagionale,Oltre 3 e fino a 6 mesi,16343,402607,348045,1912759,128132493
2014,40  - 44,Stagionale,Oltre 6 e meno di 12 mesi,14186,548874,501181,2811010,212533899
2014,40  - 44,Stagionale,Anno intero,274,14248,12890,84656,6447663
2014,40  - 44,Tempo determinato,Fino a 3 mesi,96106,873057,669869,3379609,205018871
2014,40  - 44,Tempo determinato,Oltre 3 e fino a 6 mesi,71599,1842951,1506898,8623051,543898059
2014,40  - 44,Tempo determinato,Oltre 6 e meno di 12 mesi,126917,5495266,4798327,29151841,1951626569
2014,40  - 44,Tempo determinato,Anno intero,39537,2055881,1840534,12240550,913147546
2014,40  - 44,Tempo indeterminato,Fino a 3 mesi,77276,895200,678496,2995417,217463318
2014,40  - 44,Tempo indeterminato,Oltre 3 e fino a 6 mesi,74712,2245037,1714474,9010539,613586925
2014,40  - 44,Tempo indeterminato,Oltre 6 e meno di 12 mesi,388810,19009950,16169070,98252842,7305730873
2014,40  - 44,Tempo indeterminato,Anno intero,1260845,65563188,60528308,392083945,39184154698
2014,45  - 49,Stagionale,Fino a 3 mesi,10868,116539,91100,448190,27955862
2014,45  - 49,Stagionale,Oltre 3 e fino a 6 mesi,15427,378277,328787,1808686,121136210
2014,45  - 49,Stagionale,Oltre 6 e meno di 12 mesi,13114,505574,461983,2594115,197211578
2014,45  - 49,Stagionale,Anno intero,236,12272,11079,72861,5501439
2014,45  - 49,Tempo determinato,Fino a 3 mesi,81527,741720,574266,2857216,175584540
2014,45  - 49,Tempo determinato,Oltre 3 e fino a 6 mesi,59620,1533944,1260953,7164084,457812829
2014,45  - 49,Tempo determinato,Oltre 6 e meno di 12 mesi,104102,4501277,3926688,23864886,1612353675
2014,45  - 49,Tempo determinato,Anno intero,31855,1656439,1468350,9864499,738044453
2014,45  - 49,Tempo indeterminato,Fino a 3 mesi,66017,756028,583559,2518015,189238656
2014,45  - 49,Tempo indeterminato,Oltre 3 e fino a 6 mesi,62053,1893734,1454841,7503834,531172535
2014,45  - 49,Tempo indeterminato,Oltre 6 e meno di 12 mesi,359246,17673554,15125206,91402840,7045188033
2014,45  - 49,Tempo indeterminato,Anno intero,1220986,63490673,58590984,379745468,40162751140
2014,50  - 54,Stagionale,Fino a 3 mesi,8572,91942,72767,356281,22824794
2014,50  - 54,Stagionale,Oltre 3 e fino a 6 mesi,12265,301606,263211,1446717,97813932
2014,50  - 54,Stagionale,Oltre 6 e meno di 12 mesi,10282,392620,359486,2016226,154356567
2014,50  - 54,Stagionale,Anno intero,154,8008,7068,47654,3803466
2014,50  - 54,Tempo determinato,Fino a 3 mesi,58642,532149,418688,2042903,129333088
2014,50  - 54,Tempo determinato,Oltre 3 e fino a 6 mesi,42787,1100995,915726,5127741,339263889
2014,50  - 54,Tempo determinato,Oltre 6 e meno di 12 mesi,72550,3128163,2742101,16569002,1149550758
2014,50  - 54,Tempo determinato,Anno intero,21789,1133008,1003407,6749057,526916486
2014,50  - 54,Tempo indeterminato,Fino a 3 mesi,54087,617921,490906,2018325,162143198
2014,50  - 54,Tempo indeterminato,Oltre 3 e fino a 6 mesi,48418,1485851,1164919,5862967,440422118
2014,50  - 54,Tempo indeterminato,Oltre 6 e meno di 12 mesi,295133,14538475,12579894,75316098,6017700603
2014,50  - 54,Tempo indeterminato,Anno intero,1027165,53412071,49737847,319498690,35873589790
2014,55  - 59,Stagionale,Fino a 3 mesi,5492,60126,48018,231075,14968574
2014,55  - 59,Stagionale,Oltre 3 e fino a 6 mesi,8415,205415,179544,990104,67792195
2014,55  - 59,Stagionale,Oltre 6 e meno di 12 mesi,6599,250101,230486,1283377,100225223
2014,55  - 59,Stagionale,Anno intero,93,4836,4199,28749,2661184
2014,55  - 59,Tempo determinato,Fino a 3 mesi,36620,335742,272632,1264535,85157959
2014,55  - 59,Tempo determinato,Oltre 3 e fino a 6 mesi,25607,659502,558224,3048092,214305915
2014,55  - 59,Tempo determinato,Oltre 6 e meno di 12 mesi,40037,1722969,1514483,9100111,677689518
2014,55  - 59,Tempo determinato,Anno intero,14213,739064,668077,4407466,445477465
2014,55  - 59,Tempo indeterminato,Fino a 3 mesi,46085,528733,440780,1723924,153997310
2014,55  - 59,Tempo indeterminato,Oltre 3 e fino a 6 mesi,41020,1225451,1007832,5007405,414857587
2014,55  - 59,Tempo indeterminato,Oltre 6 e meno di 12 mesi,211632,10298697,9076743,53623459,4530620300
2014,55  - 59,Tempo indeterminato,Anno intero,701123,36458106,34280584,218112087,25935004872
2014,60  - 64,Stagionale,Fino a 3 mesi,2990,33574,25024,122509,7636220
2014,60  - 64,Stagionale,Oltre 3 e fino a 6 mesi,4185,102246,86767,490948,33288109
2014,60  - 64,Stagionale,Oltre 6 e meno di 12 mesi,3030,112935,102019,582556,44823713
2014,60  - 64,Stagionale,Anno intero,49,2548,2210,15160,1206645
2014,60  - 64,Tempo determinato,Fino a 3 mesi,19915,183435,150310,655366,47377566
2014,60  - 64,Tempo determinato,Oltre 3 e fino a 6 mesi,12214,320000,268871,1448546,109931730
2014,60  - 64,Tempo determinato,Oltre 6 e meno di 12 mesi,16087,689096,589300,3628408,285370822
2014,60  - 64,Tempo determinato,Anno intero,6380,331756,292936,1980337,252422006
2014,60  - 64,Tempo indeterminato,Fino a 3 mesi,29461,353880,297340,1114951,106073943
2014,60  - 64,Tempo indeterminato,Oltre 3 e fino a 6 mesi,24887,739495,609175,3043544,274776249
2014,60  - 64,Tempo indeterminato,Oltre 6 e meno di 12 mesi,84486,4014380,3421552,20851972,1753042151
2014,60  - 64,Tempo indeterminato,Anno intero,228137,11862997,10895274,70986245,8670289241
2014,65 ed oltre,Stagionale,Fino a 3 mesi,2358,26441,16930,84412,4671904
2014,65 ed oltre,Stagionale,Oltre 3 e fino a 6 mesi,1758,42220,30533,199469,11976112
2014,65 ed oltre,Stagionale,Oltre 6 e meno di 12 mesi,765,28711,23200,149106,10340578
2014,65 ed oltre,Stagionale,Anno intero,18,936,699,5564,473249
2014,65 ed oltre,Tempo determinato,Fino a 3 mesi,11425,98391,78069,294731,20789098
2014,65 ed oltre,Tempo determinato,Oltre 3 e fino a 6 mesi,4143,114652,86878,491659,35051117
2014,65 ed oltre,Tempo determinato,Oltre 6 e meno di 12 mesi,4316,185784,135838,967978,68035696
2014,65 ed oltre,Tempo determinato,Anno intero,1557,80962,62382,483127,59439769
2014,65 ed oltre,Tempo indeterminato,Fino a 3 mesi,16033,224461,171856,566955,41180244
2014,65 ed oltre,Tempo indeterminato,Oltre 3 e fino a 6 mesi,10291,333992,237462,1229501,89159351
2014,65 ed oltre,Tempo indeterminato,Oltre 6 e meno di 12 mesi,19958,930326,651829,4746857,310575214
2014,65 ed oltre,Tempo indeterminato,Anno intero,36206,1882673,1448215,11267263,997715850
2014,Fino a 19,Stagionale,Fino a 3 mesi,16963,154694,107813,620482,29743611
2014,Fino a 19,Stagionale,Oltre 3 e fino a 6 mesi,2687,57306,45273,266374,13955204
2014,Fino a 19,Stagionale,Oltre 6 e meno di 12 mesi,574,23088,20447,117957,7239274
2014,Fino a 19,Stagionale,Anno intero,18,936,884,5592,306508
2014,Fino a 19,Tempo determinato,Fino a 3 mesi,44209,339999,234615,1218356,57710435
2014,Fino a 19,Tempo determinato,Oltre 3 e fino a 6 mesi,8027,193734,142743,881963,43245740
2014,Fino a 19,Tempo determinato,Oltre 6 e meno di 12 mesi,3507,147298,110739,756360,37102485
2014,Fino a 19,Tempo determinato,Anno intero,485,25220,20131,149815,7646212
2014,Fino a 19,Tempo indeterminato,Fino a 3 mesi,22476,232595,168962,875853,37006022
2014,Fino a 19,Tempo indeterminato,Oltre 3 e fino a 6 mesi,12102,300092,225907,1381855,59189099
2014,Fino a 19,Tempo indeterminato,Oltre 6 e meno di 12 mesi,11594,509003,391330,2634988,110017426
2014,Fino a 19,Tempo indeterminato,Anno intero,7214,375124,328078,2237618,100499182
2015,20  - 24,Stagionale,Fino a 3 mesi,34302,340999,249414,1390498,73799285
2015,20  - 24,Stagionale,Oltre 3 e fino a 6 mesi,20675,478149,391995,2249794,129237105
2015,20  - 24,Stagionale,Oltre 6 e meno di 12 mesi,9813,389942,347605,1999631,133744115
2015,20  - 24,Stagionale,Anno intero,353,18356,16137,108956,7642959
2015,20  - 24,Tempo determinato,Fino a 3 mesi,163262,1404127,997115,5134705,266595234
2015,20  - 24,Tempo determinato,Oltre 3 e fino a 6 mesi,72608,1855639,1396849,8373125,461235343
2015,20  - 24,Tempo determinato,Oltre 6 e meno di 12 mesi,79059,3419141,2772944,17755656,1051703858
