anno,eta_decennale,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2014,<20,7717,401280,349092,2393025,108451902,14053.635091356744,270.26490729665073,310.6685400983122,16154.764085112234,129695828.81462128,16806.50885248429,323.20531502846217,371.52334861475276,19319.214127967145,anno_intero
2014,20-29,887870,46168592,41730290,275856336,18346682826,20663.703949902574,397.3844995316296,439.6490612933675,22861.751187255108,21940493354.529163,24711.380443678874,475.2255246278501,525.7690122577429,27339.98863740263,anno_intero
2014,30-39,2034147,105774400,98078882,632337793,54798647223,26939.37420599396,518.070981475669,558.7201455151171,29053.44756678609,65532792311.07473,32216.3502987123,619.5524844487393,668.1641447653811,34744.53552779982,anno_intero
2014,40-49,2553733,132792701,122452145,794091979,81010046939,31722.207035347863,610.048943420467,661.5649479966235,34401.37729582442,96878570004.83937,37936.060662895994,729.5474018925133,791.1545363687942,41140.0358911773,anno_intero
2014,50-59,1764537,91755093,85701181,548843703,62787453263,35582.96213850999,684.2939308338994,732.6322989994735,38096.879547972625,75086472804.3597,42553.07358494591,818.3357495410058,876.142801396864,45559.42567263693,anno_intero
2014,60+,272347,14161872,12701718,84737696,9981546760,36650.1072528796,704.8183149798275,785.8422585039284,40863.797442204275,11936766031.914293,43829.25470783336,842.8805197444442,939.7757084446603,48868.336839122334,anno_intero
2015,<20,7391,384331,332904,2291848,111871854,15136.227032877825,291.08204646515634,336.04839232932017,17474.51640112465,133910609.23799998,18118.063758354754,348.4252096187921,402.2499256181962,20916.996132146203,anno_intero
2015,20-29,872105,45349031,40796805,270926992,18242750570,20918.066712150485,402.27431915799923,447.16125613268,23252.38531889936,21836572432.289997,25038.925854444125,481.522360032125,535.2520235908179,27833.10522672253,anno_intero
2015,30-39,1984723,103204979,95380369,616948527,53810294181,27112.243966034555,521.3924241096934,564.1652967499003,29336.595430994817,64410922134.65699,32453.356027343358,624.1067316593029,675.3058602096306,35115.904730900795,anno_intero
2015,40-49,2613388,135895428,125216034,812633382,83606585729,31991.646754710742,615.2273623877913,667.6987208283565,34720.33348307454,100077083117.61299,38294.001165388756,736.4271527781862,799.2353688315426,41560.23917924021,anno_intero
2015,50-59,1881343,97829331,91181855,585200712,67257379208,35749.66351590327,687.4970780286742,737.6180184972109,38356.136961854965,80507082911.97598,42792.34722853621,822.9340024003229,882.9287681411613,45912.29594334039,anno_intero
2015,60+,315696,16416024,14787172,98231986,11679755220,36996.84259540824,711.4850234137084,789.8572641205499,41072.57773426859,13980666998.339998,44285.22058670366,851.6475730262089,945.4591451522981,49163.875547919495,anno_intero
2016,<20,9293,483236,406657,2882759,142184402,15300.161627031099,294.23387744290574,349.6420865741891,18181.388501857833,170365094.28828833,18332.626093649877,352.5505018009592,418.9405181474518,21784.906943667498,anno_intero
2016,20-29,963425,50097961,44810454,299416657,20059389667,20820.914619197134,400.40331515687836,447.64977536268657,23277.7883188597,24035124555.95496,24947.582381560533,479.76253077355705,536.3731542633993,27891.404021696762,anno_intero
2016,30-39,2059624,107100339,98470677,640366721,55049714617,26728.040951649426,514.0013106494462,559.0467771131501,29070.432409883808,65960468865.41443,32025.490509634,615.8754442916788,669.8488410454863,34832.139734365286,anno_intero
2016,40-49,2727832,141847136,130247709,848421762,86038716003,31541.06118082052,606.5594162084457,660.5775768616398,34350.03399680527,103091434490.0811,37792.44267611829,726.7783996011107,791.5028623657488,41158.148843018935,anno_intero
2016,50-59,2041087,106136451,98458011,635048190,71840393694,35197.124715408994,676.8682485341441,729.6551389200824,37942.067223844286,86079030282.00002,42173.131415760334,811.0223158111818,874.271472760099,45462.116583525145,anno_intero
2016,60+,385858,20064565,18042724,120088817,14070889933,36466.497864499375,701.2805875931026,779.8650543565373,40552.98282653994,16859714964.765768,43694.092035841604,840.2731364854294,934.432902967743,48590.51095432264,anno_intero
2017,<20,9414,489523,414331,2919565,143604627,15254.368706182282,293.356240666935,346.59397196927097,18022.88654240209,170192810.4148515,18078.692417128903,347.67071294883283,410.76533113585873,21359.797219064654,anno_intero
2017,20-29,984918,51215697,45922302,306037809,20719673949,21036.953278343983,404.55710187835575,451.18979333832175,23461.86925359273,24555890808.864357,24931.913934829452,479.4602484637543,534.7269134910605,27805.799501535144,anno_intero
2017,30-39,2037564,105953259,97402780,633462034,54712838615,26852.08347566015,516.3865569722589,561.7174234144036,29209.306017548988,64842839427.876236,31823.70685184673,611.9947610849443,665.7185701257832,34617.36564654073,anno_intero
2017,40-49,2767472,143908427,132096877,860732267,87257054939,31529.516807758126,606.3373546498427,660.5535037667847,34348.78219587281,103412569071.2703,37367.16001869948,718.5998153622393,782.8540039691497,40708.40820639579,anno_intero
2017,50-59,2168311,112752079,104373534,674620144,75910070392,35008.848081294615,673.2476337930763,727.2923267310274,37819.20099001342,89964707187.3505,41490.68431020757,797.8984333171409,861.9494208881582,44821.36988618422,anno_intero
2017,60+,441037,22933867,20603760,137257620,16030518861,36347.33335525137,698.9889171765058,778.0385163193514,40458.00284860627,18998545620.41287,43076.98814478801,828.4056770893835,922.0911921131323,47948.741989882874,anno_intero
2018,<20,10154,528008,451655,3146860,161084824,15864.174118573961,305.0802715110377,356.6545792695752,18546.03812201791,188852629.11655238,18598.840763891312,357.67001469021756,418.1347026304422,21743.004536782995,anno_intero
2018,20-29,1012862,52668751,47525659,314584840,21729145286,21453.214046928406,412.5623804141473,457.2087108986748,23774.852966731087,25474815776.04505,25151.31950457718,483.6798916314733,536.0223574394845,27873.162586853192,anno_intero
