anno,periodo,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,quota_lavoratori,quota_settimane_utili
2014,Fino a 3 mesi,1719495,17580101,13209292,62190496,3830684399,2227.796183763256,217.89888459685187,289.99922168425076,15079.959527581039,4581051866.250759,2664.184464770621,260.5816579922242,346.8052539266116,18033.8732041838,0.12236354539209714,0.024397138363338018
2014,Oltre 3 e fino a 6 mesi,1306380,35681878,28035805,155387326,9751052231,7464.177521854284,273.2774387883956,347.8071070547109,18085.969566844968,11661121451.924438,8926.285959616987,326.80795141792817,415.9367441714065,21628.71069691314,0.09296525341994473,0.051781232007935316
2014,Oltre 6 e meno di 12 mesi,3506121,164018591,139169520,851729250,59338128032,16924.152940528864,361.7768429189835,426.37301639037054,22171.39685229927,70961482034.85037,20239.313484859867,432.64291933132364,509.89241060003917,26514.40535120204,0.2495042998867022,0.2570416367053842
2014,Anno intero,7520351,391053938,361013308,2338260532,227032828913,30189.126666162258,580.5665327758444,628.8766200081466,32701.58424042362,271504790335.53186,36102.675305385594,694.2898765426366,752.0631076999849,39107.28160039922,0.535166901301256,0.6667799929233424
2015,Fino a 3 mesi,1877364,17517763,13069370,65956394,4083127682,2174.9259504283664,233.08499390019148,312.41962558256444,16245.820530293351,4887503835.353999,2603.3863626627544,279.0027376985292,373.9662918223296,19446.247174761138,0.12981063629589926,0.023855890145584185
2015,Oltre 3 e fino a 6 mesi,1375770,36554365,28668955,164168805,10527136812,7651.814483525589,287.98576618688355,367.1963910787819,19094.212336096658,12600982763.963999,9159.221936780128,344.7189621256996,439.5340801213019,22855.772166307695,0.09512783833971958,0.052330253185019354
2015,Oltre 6 e meno di 12 mesi,3534548,163963237,138413207,855369723,59444158754,16818.03691844049,362.5456525599089,429.468834964571,22332.379418157692,71154658028.538,20131.190191373265,433.9671461142109,514.0741954525914,26731.858163534755,0.2443968910122907,0.25264953558511266
2015,Anno intero,7674646,399079124,367695139,2386233447,234708636762,30582.340444367077,588.1255687080239,638.3240132037753,33192.84868659631,280946238204.11395,36607.061511907385,703.9863057435045,764.073843804919,39731.83987785578,0.5306646343520904,0.6711643210842838
2016,Fino a 3 mesi,1707684,16642954,12144991,62466593,3789966521,2219.3605614387675,227.72198499136633,312.0600518353616,16227.122695438804,4541131056.693694,2659.2338258680734,272.85607210677233,373.9097918387667,19443.30917561587,0.11616649821221506,0.02144980189128439
2016,Oltre 3 e fino a 6 mesi,1310731,34950915,27122605,156842563,10011802435,7638.334971096281,286.4532283346516,369.1312997036973,19194.82758459226,11996123638.333336,9152.239199601852,343.2277420586367,442.2924582035293,22999.207826583526,0.08916346956942553,0.047902423643258314
2016,Oltre 6 e meno di 12 mesi,3494780,162801956,136501448,847610904,59458655746,17013.561868272107,365.22077011163185,435.58992682627076,22650.67619496608,71243254182.14415,20385.619175497213,437.6068686923157,521.9230654765227,27139.99940477918,0.23773505790420532,0.24108120108721842
2016,Anno intero,8187119,425729688,390436232,2546224906,247201288316,30193.928818672357,580.6531592318739,633.1412611214832,32923.34557831713,296196138252.5046,36178.311107057874,695.737569169723,758.6287182806963,39448.69335059621,0.5569349743141541,0.6895665733782389
2017,Fino a 3 mesi,1895609,18815187,13674318,68181525,4072920437,2148.6078811611465,216.4698356173659,297.85181513257186,15488.294386893736,4827015607.018811,2546.419439356329,256.5489041920663,352.99863635018664,18355.929090209705,0.12380903115843647,0.02346377451799314
