sezione_ateco,macro_settore,valore_aggiunto_kEUR,occupati,dipendenti,salari_stipendi_kEUR,costi_personale_kEUR,ore_dipendenti_k,va_per_occupato_eur,va_per_dipendente_eur,salario_lordo_medio_eur,quota_salari_su_va
H,Trasporti e magazzinaggio,75414162.0,1193426.0,1078251.0,34108886.0,46579099.0,1729483.0,63191.31810434832,69941.19365528063,31633.53059723571,0.45228754249102443
I,Turismo e ristorazione,46045279.0,1655501.0,1256410.0,20923972.0,28291802.0,1584133.0,27813.501169736533,36648.2907649573,16653.777031383066,0.4544216574298529
J,ICT,56570053.0,665496.0,566989.0,22347792.0,31452008.0,929099.0,85004.34713356654,99772.75220506924,39414.85990028025,0.3950463330836901
L,Immobiliari,22388528.0,289738.0,69280.0,1813824.0,2483870.0,101440.0,77271.63161200809,323160.04618937644,26181.0623556582,0.08101577736597958
M,Servizi professionali,85974171.0,1513099.0,612530.0,21467923.0,29505333.0,961289.0,56819.92453897597,140359.11873704146,35047.95356962108,0.24970200643167587
N,Servizi alle imprese,59951539.0,1543372.0,1383282.0,28568103.0,39233942.0,1994149.0,38844.51642248272,43340.070209834295,20652.407101371955,0.47651992720320324
P,Istruzione (privata),4316734.0,141379.0,92449.0,1739378.0,2363086.0,100915.0,30533.06360916402,46693.138919836885,18814.459864357646,0.4029384252075759
Q,Sanita' e assistenza sociale (privata),40985895.0,1075139.0,718840.0,13955164.0,18770417.0,946279.0,38121.4847568547,57016.714428801955,19413.4494463302,0.340486989487481
R,Cultura e intrattenimento,12641883.0,207452.0,127044.0,4819607.0,6043165.0,175429.0,60938.83404353778,99507.91064513082,37936.51805673625,0.38124122806705296
S,Altri servizi,10558023.0,479715.0,239061.0,3790669.0,5101181.0,312008.0,22008.949063506458,44164.556326627935,15856.492694333245,0.35903208394223046
0010,Totale commercio e servizi (G-S),1073564832.0,18106040.0,13386424.0,382173585.0,529732669.0,20555032.0,59293.18790856532,80198.02988460548,28549.34110857388,0.355985566598739
