anno,tempo_parziale,sesso,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2014,No,Femmine,1755278,91273811,91273811,546009789,53398684757,30421.782052187744,585.0384044663151,585.0384044663151,30421.997032248386,63858600443.63075,36380.90401841233,699.6377136441772,699.6377136441772,36381.16110949722,anno_intero
2014,No,Maschi,4071892,211735384,211735384,1266023375,147633608460,36256.75937868686,697.2552516777262,697.2552516777262,36257.27308724176,176552580978.36758,43358.85651642224,833.8359779221765,833.8359779221765,43359.47085195318,anno_intero
2014,Si,Femmine,1250845,65043594,42431298,388836500,19250925638,15390.336642829447,295.96958676668453,453.696364367642,23592.210947117383,23021862318.920437,18405.048042659513,353.9451143939008,542.5679487561383,28213.533335319193,anno_intero
2014,Si,Maschi,442336,23001149,15572812,137390868,6749610058,15259.01138048904,293.4466472957503,433.4226893640018,22537.979846928094,8071746594.613104,18247.998342013998,350.92797297270255,518.3229974530678,26952.795867559526,anno_intero
2015,No,Femmine,1750253,91012866,91012866,544418409,54364504201,31060.94044746674,597.3276811324675,597.3276811324675,31061.03941888831,65074311528.59699,37179.94571561768,715.0012343155636,715.0012343155636,37180.064184409304,anno_intero
2015,No,Maschi,4147393,215663251,215663251,1289560850,152716449183,36822.27586896154,708.1245806825011,708.1245806825011,36822.47819549006,182801589672.05096,44076.264215146955,847.6251230769537,847.6251230769537,44076.5064000016,anno_intero
2015,Si,Femmine,1290926,67127578,43861076,401280932,20134979153,15597.3147593278,299.9509255793498,459.0625900969689,23871.254685042382,24101570046.140995,18669.985766915375,359.0412579184817,549.4979203460717,28573.891857995728,anno_intero
2015,Si,Maschi,486074,25275429,17157945,150973256,7492704225,15414.739782419962,296.44221765731453,436.6900712760182,22707.883706352946,8968766957.324999,18451.44351955669,354.84133453580546,522.7180153173937,27181.336796504474,anno_intero
2016,No,Femmine,1823693,94832018,94832018,567422857,56820790954,31156.993503840833,599.1730657255443,599.1730657255443,31156.999417728308,68082569341.27929,37332.25347757506,717.928087761238,717.928087761238,37332.26056358437,anno_intero
2016,No,Maschi,4360326,226736905,226736905,1356034771,159252808223,36523.14258681575,702.368272262515,702.368272262515,36523.15015765078,190816427870.80182,43761.96364005852,841.5763982965271,841.5763982965271,43761.97271141941,anno_intero
2016,Si,Femmine,1418298,73751223,48214528,441032774,22124354915,15599.228734017815,299.98627839703755,458.8732034253244,23861.40657811687,26509362195.450455,18690.96776238171,359.4430182595135,549.821045545659,28590.694368374272,anno_intero
