anno,attivita_economica_ateco_2007,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2014,Altre attivita' di servizi,Fino a 3 mesi,61368,677434,459436,2302719,110926680
2014,Altre attivita' di servizi,Oltre 3 e fino a 6 mesi,48469,1405881,971614,5759726,279629967
2014,Altre attivita' di servizi,Oltre 6 e meno di 12 mesi,131250,6212686,4855481,31723513,1683802164
2014,Altre attivita' di servizi,Anno intero,223240,11608324,10241392,69387520,5301550942
2014,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Fino a 3 mesi,69445,761397,505870,2204723,118775822
2014,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 3 e fino a 6 mesi,33205,886544,669435,3753817,232152167
2014,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 6 e meno di 12 mesi,32395,1455205,1122900,7493849,487098035
2014,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Anno intero,55587,2890506,2573836,17294535,1650948917
2014,Attivita' dei servizi di alloggio e di ristorazione,Fino a 3 mesi,331643,3830827,2627594,12059217,568377285
2014,Attivita' dei servizi di alloggio e di ristorazione,Oltre 3 e fino a 6 mesi,266790,7255797,5300373,31076065,1618071290
2014,Attivita' dei servizi di alloggio e di ristorazione,Oltre 6 e meno di 12 mesi,391504,17257547,12388205,88752870,4658632443
2014,Attivita' dei servizi di alloggio e di ristorazione,Anno intero,324827,16890884,13470509,100845734,6038769359
2014,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Fino a 3 mesi,6025,50935,33418,191611,10356455
2014,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 3 e fino a 6 mesi,2414,74385,42208,288127,14241875
2014,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 6 e meno di 12 mesi,4745,221750,166983,1171798,60654296
2014,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Anno intero,31299,1627545,1437947,9746403,565956635
2014,Attivita' finanziarie e assicurative,Fino a 3 mesi,8939,91700,77888,403859,46858892
2014,Attivita' finanziarie e assicurative,Oltre 3 e fino a 6 mesi,10993,279219,243879,1366646,156951538
2014,Attivita' finanziarie e assicurative,Oltre 6 e meno di 12 mesi,50232,2363282,2136889,12766934,1487741634
2014,Attivita' finanziarie e assicurative,Anno intero,454008,23608391,22850952,141155928,22792198349
2014,Attivita' immobiliari,Fino a 3 mesi,3817,41989,27888,159086,10567964
2014,Attivita' immobiliari,Oltre 3 e fino a 6 mesi,3625,94914,67282,436009,28104581
2014,Attivita' immobiliari,Oltre 6 e meno di 12 mesi,7690,342677,257385,1821198,123594573
2014,Attivita' immobiliari,Anno intero,23907,1243164,1064158,7444766,736767894
2014,Attivita' manifatturiere,Fino a 3 mesi,248839,2692514,2238818,9665830,682248571
2014,Attivita' manifatturiere,Oltre 3 e fino a 6 mesi,215181,6135247,5165654,25664174,1759752893
2014,Attivita' manifatturiere,Oltre 6 e meno di 12 mesi,850867,41115567,37902088,213191925,16652552114
2014,Attivita' manifatturiere,Anno intero,2356960,122560802,118686189,732525146,78382063455
2014,"Attivita' professionali, scientifiche e tecniche",Fino a 3 mesi,42851,437218,340033,1427447,96698865
2014,"Attivita' professionali, scientifiche e tecniche",Oltre 3 e fino a 6 mesi,26889,741365,566595,3188896,217974481
2014,"Attivita' professionali, scientifiche e tecniche",Oltre 6 e meno di 12 mesi,71490,3311569,2628122,17368690,1194603459
2014,"Attivita' professionali, scientifiche e tecniche",Anno intero,280861,14604683,12975146,87451757,7942044327
2014,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Fino a 3 mesi,195137,2026531,1406168,7738634,471504991
2014,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 3 e fino a 6 mesi,161063,4333318,3102989,19242784,1141533020
2014,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 6 e meno di 12 mesi,457528,21350370,16732051,111187051,7146101313
2014,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Anno intero,1312700,68260028,60891848,408499531,34714053976
2014,Costruzioni,Fino a 3 mesi,202516,1916882,1784949,7364546,564078234
2014,Costruzioni,Oltre 3 e fino a 6 mesi,132059,3623614,3402829,15495396,1175119227
2014,Costruzioni,Oltre 6 e meno di 12 mesi,337310,16136402,15488607,81098412,6389172083
2014,Costruzioni,Anno intero,298795,15536677,14874547,92669073,8202687125
2014,Estrazione di minerali da cave e miniere,Fino a 3 mesi,1780,17622,16164,67146,6580074
2014,Estrazione di minerali da cave e miniere,Oltre 3 e fino a 6 mesi,1800,50888,47220,220521,24925337
2014,Estrazione di minerali da cave e miniere,Oltre 6 e meno di 12 mesi,9620,469000,455056,2426777,248635242
2014,Estrazione di minerali da cave e miniere,Anno intero,33409,1737268,1718770,10393030,1666941630
2014,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Fino a 3 mesi,6296,61156,48458,265018,18450353
2014,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 3 e fino a 6 mesi,6383,160651,133967,770168,52325155
2014,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 6 e meno di 12 mesi,22551,1064685,977839,5658968,460308203
2014,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Anno intero,118154,6143855,6002629,36781201,3789229173
2014,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Fino a 3 mesi,944,8733,8241,41897,5560720
2014,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 3 e fino a 6 mesi,1830,45803,42306,244798,33202511
2014,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 6 e meno di 12 mesi,8793,411820,401570,2270131,291148947
2014,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Anno intero,71814,3734328,3703324,22361600,3465229566
2014,Istruzione,Fino a 3 mesi,78012,763191,607815,2945622,166607911
2014,Istruzione,Oltre 3 e fino a 6 mesi,82511,2157893,1864691,10642911,640615384
2014,Istruzione,Oltre 6 e meno di 12 mesi,198357,8328018,7556528,45752672,2912466832
2014,Istruzione,Anno intero,115234,5992148,5321205,35838752,2513965153
2014,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Fino a 3 mesi,275910,2502117,1711056,9186911,501976703
2014,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 3 e fino a 6 mesi,169745,4484405,3328639,19937453,1120084018
2014,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 6 e meno di 12 mesi,407853,18981503,14774291,98689460,5576999683
2014,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Anno intero,559763,29107470,24159211,173934839,11909386868
2014,Sanita' e assistenza sociale,Fino a 3 mesi,48528,547765,352450,1978221,109970216
2014,Sanita' e assistenza sociale,Oltre 3 e fino a 6 mesi,48093,1356159,888649,5825745,312963749
2014,Sanita' e assistenza sociale,Oltre 6 e meno di 12 mesi,169557,8050362,6075681,41655704,2363820220
2014,Sanita' e assistenza sociale,Anno intero,392195,20393885,17868351,122027963,8674850491
2014,Servizi di informazione e comunicazione,Fino a 3 mesi,60814,355338,305973,1160064,114587553
2014,Servizi di informazione e comunicazione,Oltre 3 e fino a 6 mesi,21978,585751,490240,2630718,238810806
2014,Servizi di informazione e comunicazione,Oltre 6 e meno di 12 mesi,102423,4971623,4430757,26752579,2699713274
2014,Servizi di informazione e comunicazione,Anno intero,298861,15540364,14657176,93028888,11146480720
2014,Trasporto e magazzinaggio,Fino a 3 mesi,76631,796752,657075,3027945,226557110
2014,Trasporto e magazzinaggio,Oltre 3 e fino a 6 mesi,73352,2010044,1707233,8843372,704594232
2014,Trasporto e magazzinaggio,Oltre 6 e meno di 12 mesi,251956,11974525,10819089,61946719,4901083517
2014,Trasporto e magazzinaggio,Anno intero,568737,29573616,28516113,176873866,17539704333
2015,Altre attivita' di servizi,Fino a 3 mesi,68537,676024,449498,2435979,118306134
2015,Altre attivita' di servizi,Oltre 3 e fino a 6 mesi,49315,1386515,946338,5852815,290613887
2015,Altre attivita' di servizi,Oltre 6 e meno di 12 mesi,127883,6000480,4627416,30800287,1646853556
2015,Altre attivita' di servizi,Anno intero,223738,11634183,10203106,69556194,5329915085
2015,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Fino a 3 mesi,77600,660522,454200,2430631,137430971
2015,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 3 e fino a 6 mesi,36808,902746,697424,4216214,302075236
2015,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 6 e meno di 12 mesi,36422,1605114,1272526,8421986,640886838
2015,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Anno intero,56580,2942118,2644140,17602226,1761718087
2015,Attivita' dei servizi di alloggio e di ristorazione,Fino a 3 mesi,338605,3663637,2481949,12475068,599377427
2015,Attivita' dei servizi di alloggio e di ristorazione,Oltre 3 e fino a 6 mesi,276586,7357292,5383282,32364158,1714832645
2015,Attivita' dei servizi di alloggio e di ristorazione,Oltre 6 e meno di 12 mesi,411343,18057835,13008491,93475305,4956488255
2015,Attivita' dei servizi di alloggio e di ristorazione,Anno intero,336231,17483854,13837980,104367876,6245475906
