anno,presenza_tempo_parziale_nell_anno,sesso,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2014,No,Femmine,Fino a 3 mesi,377117,3862356,3862356,12713569,901078760
2014,No,Femmine,Oltre 3 e fino a 6 mesi,280501,7651435,7651435,33879830,2404344988
2014,No,Femmine,Oltre 6 e meno di 12 mesi,718040,32844389,32844389,173654363,13452490446
2014,No,Femmine,Anno intero,1755278,91273811,91273811,546009789,53398684757
2014,No,Maschi,Fino a 3 mesi,648222,6126464,6126464,22526369,1837270715
2014,No,Maschi,Oltre 3 e fino a 6 mesi,459154,12380779,12380779,54641511,4519776163
2014,No,Maschi,Oltre 6 e meno di 12 mesi,1484129,70671137,70671137,367538018,32088539722
2014,No,Maschi,Anno intero,4071892,211735384,211735384,1266023375,147633608460
2014,Si,Femmine,Fino a 3 mesi,395831,4429236,1824472,15308527,612886869
2014,Si,Femmine,Oltre 3 e fino a 6 mesi,334874,9385418,4654832,39640208,1636536063
2014,Si,Femmine,Oltre 6 e meno di 12 mesi,843771,39326738,22673251,202024652,8863817145
2014,Si,Femmine,Anno intero,1250845,65043594,42431298,388836500,19250925638
2014,Si,Maschi,Fino a 3 mesi,298325,3162045,1396000,11642031,479448055
2014,Si,Maschi,Oltre 3 e fino a 6 mesi,231851,6264246,3348755,27225777,1190395017
2014,Si,Maschi,Oltre 6 e meno di 12 mesi,460181,21176327,12980744,108512217,4933280719
2014,Si,Maschi,Anno intero,442336,23001149,15572812,137390868,6749610058
2015,No,Femmine,Fino a 3 mesi,391707,3653101,3653101,12908414,938582657
2015,No,Femmine,Oltre 3 e fino a 6 mesi,285367,7545536,7545536,34631575,2515090586
2015,No,Femmine,Oltre 6 e meno di 12 mesi,704391,31988267,31988267,170111840,13251604472
2015,No,Femmine,Anno intero,1750253,91012866,91012866,544418409,54364504201
2015,No,Maschi,Fino a 3 mesi,677948,5895744,5895744,23106183,1908535672
2015,No,Maschi,Oltre 3 e fino a 6 mesi,476647,12411078,12411078,56931382,4853713316
2015,No,Maschi,Oltre 6 e meno di 12 mesi,1447770,68281512,68281512,356746391,31256222061
2015,No,Maschi,Anno intero,4147393,215663251,215663251,1289560850,152716449183
2015,Si,Femmine,Fino a 3 mesi,462175,4639046,1986624,17096826,692218159
2015,Si,Femmine,Oltre 3 e fino a 6 mesi,359723,9856287,4996641,42665918,1800615434
2015,Si,Femmine,Oltre 6 e meno di 12 mesi,876187,40552704,23651569,209353609,9333385531
2015,Si,Femmine,Anno intero,1290926,67127578,43861076,401280932,20134979153
2015,Si,Maschi,Fino a 3 mesi,345534,3329872,1533900,12844971,543791194
2015,Si,Maschi,Oltre 3 e fino a 6 mesi,254033,6741464,3715699,29939930,1357717476
2015,Si,Maschi,Oltre 6 e meno di 12 mesi,506200,23140754,14491858,119157883,5602946690
2015,Si,Maschi,Anno intero,486074,25275429,17157945,150973256,7492704225
2016,No,Femmine,Fino a 3 mesi,355533,3384542,3384542,11986196,875913513
2016,No,Femmine,Oltre 3 e fino a 6 mesi,273578,7286773,7286773,33634815,2464697666
2016,No,Femmine,Oltre 6 e meno di 12 mesi,673319,30626090,30626090,162520361,12972288689
2016,No,Femmine,Anno intero,1823693,94832018,94832018,567422857,56820790954
2016,No,Maschi,Fino a 3 mesi,586177,5259756,5259756,20613055,1690789538
2016,No,Maschi,Oltre 3 e fino a 6 mesi,431396,11218456,11218456,51720627,4421276037
2016,No,Maschi,Oltre 6 e meno di 12 mesi,1403860,66483749,66483749,347614887,30975439678
2016,No,Maschi,Anno intero,4360326,226736905,226736905,1356034771,159252808223
2016,Si,Femmine,Fino a 3 mesi,435189,4630315,1959060,16904680,678342113
2016,Si,Femmine,Oltre 3 e fino a 6 mesi,350924,9665999,4877443,41507223,1759013243
2016,Si,Femmine,Oltre 6 e meno di 12 mesi,890413,41444280,24184681,212954866,9599903112
2016,Si,Femmine,Anno intero,1418298,73751223,48214528,441032774,22124354915
2016,Si,Maschi,Fino a 3 mesi,330785,3368341,1541635,12962662,544921357
2016,Si,Maschi,Oltre 3 e fino a 6 mesi,254833,6779687,3739934,29979898,1366815489
2016,Si,Maschi,Oltre 6 e meno di 12 mesi,527188,24247837,15206926,124520790,5911024267
2016,Si,Maschi,Anno intero,584802,30409542,20652781,181734504,9003334224
2017,No,Femmine,Fino a 3 mesi,406303,3978687,3978687,13334481,943964090
2017,No,Femmine,Oltre 3 e fino a 6 mesi,267585,7182176,7182176,32362596,2343230086
2017,No,Femmine,Oltre 6 e meno di 12 mesi,674467,30620872,30620872,162721010,13015850899
2017,No,Femmine,Anno intero,1852400,96324774,96324774,576341460,58284088241
2017,No,Maschi,Fino a 3 mesi,625098,5664276,5664276,21848467,1785517272
2017,No,Maschi,Oltre 3 e fino a 6 mesi,433600,11209024,11209024,51810273,4415922421
2017,No,Maschi,Oltre 6 e meno di 12 mesi,1399855,66084982,66084982,346293267,30844010993
2017,No,Maschi,Anno intero,4459574,231897780,231897780,1386940745,163455728030
2017,Si,Femmine,Fino a 3 mesi,484927,5252031,2228065,18497752,736740861
2017,Si,Femmine,Oltre 3 e fino a 6 mesi,396388,11045302,5623419,46976168,1976989423
2017,Si,Femmine,Oltre 6 e meno di 12 mesi,949127,43962169,25887274,226049405,10223499470
2017,Si,Femmine,Anno intero,1471603,76523183,50336485,457526346,23257473577
2017,Si,Maschi,Fino a 3 mesi,379281,3920193,1803290,14500825,606698214
2017,Si,Maschi,Oltre 3 e fino a 6 mesi,292741,7866813,4398169,34441429,1568300302
2017,Si,Maschi,Oltre 6 e meno di 12 mesi,592661,27177887,17290422,139452683,6687388021
2017,Si,Maschi,Anno intero,625139,32507115,22254545,194220888,9776471535
2018,No,Femmine,Fino a 3 mesi,412341,4064581,4064581,13500497,961044092
2018,No,Femmine,Oltre 3 e fino a 6 mesi,270049,7252497,7252497,32564289,2378643876
2018,No,Femmine,Oltre 6 e meno di 12 mesi,698632,31698997,31698997,169073859,13831952188
2018,No,Femmine,Anno intero,1877629,97636669,97636669,584096788,59952565618
2018,No,Maschi,Fino a 3 mesi,627851,5681601,5681601,21839069,1796049124
2018,No,Maschi,Oltre 3 e fino a 6 mesi,437634,11299126,11299126,52288926,4500861412
2018,No,Maschi,Oltre 6 e meno di 12 mesi,1460739,68907469,68907469,362573544,32829718089
2018,No,Maschi,Anno intero,4520643,235073389,235073389,1405588090,167301362237
2018,Si,Femmine,Fino a 3 mesi,499613,5377048,2298790,19115180,761669801
2018,Si,Femmine,Oltre 3 e fino a 6 mesi,411050,11357859,5818250,48650131,2049334727
2018,Si,Femmine,Oltre 6 e meno di 12 mesi,1002098,46465425,27522647,239133619,10925931458
2018,Si,Femmine,Anno intero,1502809,78145835,51874599,467142281,24145478422
2018,Si,Maschi,Fino a 3 mesi,394637,4087784,1891625,15188280,638200004
2018,Si,Maschi,Oltre 3 e fino a 6 mesi,310431,8316947,4669684,36575847,1667169831
2018,Si,Maschi,Oltre 6 e meno di 12 mesi,641444,29453630,18897944,151223967,7356446125
2018,Si,Maschi,Anno intero,646490,33617322,23230745,200778628,10295032075
2019,No,Femmine,Fino a 3 mesi,424736,4193689,4193689,14255393,989071660
2019,No,Femmine,Oltre 3 e fino a 6 mesi,277083,7484345,7484345,33875257,2451937846
2019,No,Femmine,Oltre 6 e meno di 12 mesi,707168,32036313,32036313,171501658,14025859058
2019,No,Femmine,Anno intero,1913361,99494720,99494720,595188860,62018439203
2019,No,Maschi,Fino a 3 mesi,631753,5722610,5722610,22308741,1853200069
2019,No,Maschi,Oltre 3 e fino a 6 mesi,448205,11569541,11569541,53974742,4721416222
2019,No,Maschi,Oltre 6 e meno di 12 mesi,1485324,69928443,69928443,368373684,33718604506
2019,No,Maschi,Anno intero,4587446,238547167,238547167,1426137433,171303141288
2019,Si,Femmine,Fino a 3 mesi,507568,5418945,2344139,19670233,790652765
2019,Si,Femmine,Oltre 3 e fino a 6 mesi,419995,11550037,5961335,49831906,2130143427
2019,Si,Femmine,Oltre 6 e meno di 12 mesi,1016150,47046542,27950765,242481027,11224809673
2019,Si,Femmine,Anno intero,1536312,79888091,53320623,477544102,25058039890
2019,Si,Maschi,Fino a 3 mesi,400258,4124988,1926548,15619708,666721256
2019,Si,Maschi,Oltre 3 e fino a 6 mesi,317373,8473273,4776741,37459001,1729109149
2019,Si,Maschi,Oltre 6 e meno di 12 mesi,657423,30138921,19316720,154973077,7594717619
2019,Si,Maschi,Anno intero,666898,34678543,24033514,207114783,10783364485
2020,No,Femmine,Fino a 3 mesi,489956,4983185,4983185,18140584,1301298253
2020,No,Femmine,Oltre 3 e fino a 6 mesi,328576,8824919,8824919,38799250,2902497966
2020,No,Femmine,Oltre 6 e meno di 12 mesi,1297464,61981452,61981452,321814935,27100105942
2020,No,Femmine,Anno intero,1227471,63828477,63828477,381089575,43798904568
2020,No,Maschi,Fino a 3 mesi,701639,6731573,6731573,26658334,2229364069
2020,No,Maschi,Oltre 3 e fino a 6 mesi,537840,14617730,14617730,63897602,5528326582
2020,No,Maschi,Oltre 6 e meno di 12 mesi,2992203,146667203,146667203,761046106,71597742548
2020,No,Maschi,Anno intero,2850568,148229516,148229516,884283365,118699183960
2020,Si,Femmine,Fino a 3 mesi,597572,6873425,2910455,25358306,1024220723
2020,Si,Femmine,Oltre 3 e fino a 6 mesi,543018,15432332,7466885,64082410,2710390213
2020,Si,Femmine,Oltre 6 e meno di 12 mesi,1416393,66699182,38037033,334453068,15979247165
2020,Si,Femmine,Anno intero,764462,39751939,27064929,237232739,13406341938
2020,Si,Maschi,Fino a 3 mesi,466337,5072303,2320848,19352280,835125573
2020,Si,Maschi,Oltre 3 e fino a 6 mesi,388389,10749307,5696878,45532832,2089395489
2020,Si,Maschi,Oltre 6 e meno di 12 mesi,776058,35813927,21521717,178459267,8734903361
2020,Si,Maschi,Anno intero,307170,15972792,11404201,95307805,5385942474
2021,No,Femmine,Fino a 3 mesi,464134,4469492,4469492,15374977,1116235242
2021,No,Femmine,Oltre 3 e fino a 6 mesi,330131,8687633,8687633,39730971,2991967156
2021,No,Femmine,Oltre 6 e meno di 12 mesi,954347,44158006,44158006,233178809,19187110852
2021,No,Femmine,Anno intero,1761892,91618360,91618360,547730446,60017472999
2021,No,Maschi,Fino a 3 mesi,676116,6245105,6245105,23933358,2023720280
2021,No,Maschi,Oltre 3 e fino a 6 mesi,510945,13315949,13315949,61007671,5380336370
2021,No,Maschi,Oltre 6 e meno di 12 mesi,1815653,86639144,86639144,452036556,42231047682
2021,No,Maschi,Anno intero,4350019,226200954,226200954,1351375546,166724500494
2021,Si,Femmine,Fino a 3 mesi,561348,6045837,2570967,21668353,894650177
2021,Si,Femmine,Oltre 3 e fino a 6 mesi,465716,12783499,6600132,54776609,2421805398
2021,Si,Femmine,Oltre 6 e meno di 12 mesi,1158866,54212280,32029314,276731939,13140795529
