anno,eta_decennale,sesso,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2014,<20,Femmine,2018,104935,82998,625965,23779567,11783.72993062438,226.61235050269215,286.50771102918145,14898.400973517435,28437589.32801213,14091.96696135388,271.00194718646907,342.6298143089247,17816.750344064083,anno_intero
2014,<20,Maschi,5699,296345,266094,1767060,84672335,14857.40217582032,285.72216504412086,318.2046006298526,16546.639232752335,101258239.48660916,17767.72056266172,341.6903929089715,380.5355982720736,19787.85111014783,anno_intero
2014,20-29,Femmine,357787,18604759,15876196,111190736,6626732818,18521.446609295475,356.1848244312114,417.4005421701773,21704.828192849218,7924799743.609484,22149.490461110898,425.95551727434275,499.1623776633574,25956.443638494584,anno_intero
2014,20-29,Maschi,530083,27563833,25854094,164665600,11719950008,22109.650767898613,425.1930422013513,453.31118576423523,23572.181659740232,14015693610.919682,26440.56423412877,508.4812990602461,542.1073200600138,28189.580643120713,anno_intero
2014,30-39,Femmine,828994,43107464,37496168,257726906,19091089970,23029.225748316636,442.87202722015843,509.1477606458345,26475.683553583396,22830717497.54701,27540.26868414851,529.6233036939266,608.8813528237607,31661.830346835563,anno_intero
2014,30-39,Maschi,1205153,62666936,60582714,374610887,35707557253,29629.06556511912,569.7989966032486,589.4017434247003,30648.890658084412,42702074813.52772,35432.90753417012,681.4131588231427,704.855758253546,36652.49942918439,anno_intero
2014,40-49,Femmine,1065687,55415378,46900204,331453187,26913000634,25254.132436634773,485.65942533135836,573.8354706090404,29839.4444716701,32184810581.884106,30200.997649294874,580.7920426327166,686.2403110631268,35684.49617528259,anno_intero
2014,40-49,Maschi,1488046,77377323,75551941,462638792,54097046305,36354.41801194318,699.1330819883754,716.024573147631,37233.277803676814,64693759422.95526,43475.64485436288,836.0816440102906,856.2818978132576,44526.6586862894,anno_intero
2014,50-59,Femmine,666843,34675632,29796797,207463311,17962781904,26937.0480068022,518.0232015381869,602.8427117183098,31347.821009352112,21481392616.38363,32213.568435724195,619.4953452148653,720.9295890556166,37488.33863089206,anno_intero
2014,50-59,Maschi,1097694,57079461,55904384,341380392,44824671359,40835.306887894076,785.3029894413334,801.8095925893755,41694.09881464753,53605080187.97607,48834.265458293536,939.1308055269839,958.8707781482051,49861.280463706666,anno_intero
2014,60+,Femmine,84794,4409237,3552748,26386184,2032225502,23966.619123994624,460.9018526334602,572.0150998607276,29744.785192757834,2430304733.7989497,28661.281857194495,551.1848725298618,684.0633599115248,35571.294715399294,anno_intero
2014,60+,Maschi,187553,9752635,9148970,58351512,7949321258,42384.39938577362,815.0947162484805,868.8760874721416,45181.556548551365,9506461298.115343,50686.799454635984,974.7582369395903,1039.0744857743923,54031.8732602684,anno_intero
2015,<20,Femmine,1838,95575,75706,569910,22597054,12294.371055495103,236.4326863719592,298.48432092568623,15521.184688135683,27048673.637999997,14716.362153427637,283.0099255872351,357.28573214804635,18578.85807169841,anno_intero
2015,<20,Maschi,5553,288756,257198,1721938,89274800,16076.859355303439,309.1703722173738,347.1053429653419,18049.47783419778,106861935.59999998,19244.000648298213,370.07693554419643,415.4850955295142,21605.22496753474,anno_intero
2015,20-29,Femmine,346007,17992169,15253642,107514988,6449778357,18640.600788423355,358.47697723381765,422.8353043161758,21987.43582444114,7720384693.328999,22312.79914374275,429.09694174887966,506.13385926646237,26318.960681856042,anno_intero
2015,20-29,Maschi,526098,27356862,25543163,163412004,11792972213,22415.922913601647,431.0791278985141,461.6880146362453,24007.77676108476,14116187738.960999,26831.85972758117,516.0017160945214,552.6405535195856,28737.308783018452,anno_intero
2015,30-39,Femmine,799259,41561248,35989035,248459091,18504743177,23152.373857535542,445.24031561804884,514.1772536273895,26737.217188624254,22150177582.868996,27713.39150747004,532.9526577948044,615.4701725919851,32004.448974783227,anno_intero
2015,30-39,Maschi,1185464,61643731,59391334,368489436,35305551004,29782.05243179042,572.7354660606121,594.4562720884499,30911.72614859939,42260744551.787994,35649.116760853125,685.5643528745526,711.5641576898744,37001.33619987347,anno_intero
2015,40-49,Femmine,1084730,56405699,47754889,337350934,27808515917,25636.348139168273,493.00897622064747,582.3176746782932,30280.519083271247,33286793552.648994,30686.70872258442,590.131744536115,697.0342565899168,36245.78134267568,anno_intero
2015,40-49,Maschi,1528658,79489729,77461145,475282448,55798069812,36501.34288506651,701.9532021803723,720.3362384070103,37457.48439716454,66790289564.96399,43692.1074334246,840.2379830099055,862.2424773731913,44836.60882340595,anno_intero
2015,50-59,Femmine,711025,36973148,31663484,221209727,19310287023,27158.379836152035,522.278682437319,609.8598316912946,31712.71124794732,23114413566.531,32508.58066387398,625.1675828774709,730.0022185344795,37960.11536379294,anno_intero
2015,50-59,Maschi,1170318,60856183,59518371,363990985,47947092185,40969.2854292594,787.8754437326443,805.5847527312197,41890.407142023425,57392669345.44499,49040.234658823494,943.086906147975,964.2849490192699,50142.817349002034,anno_intero
2015,60+,Femmine,98320,5112605,4137188,30594691,2403561826,24446.31637510171,470.1246871213403,580.9650965825097,30210.1850222905,2877063505.7219996,29262.240700996743,562.7392504842443,695.415220609264,36161.59147168173,anno_intero
2015,60+,Maschi,217376,11303419,10649984,67637295,9276193394,42673.493826365375,820.6537680324865,871.0053831066789,45292.279921547306,11103603492.617998,51080.17211015935,982.3225603348861,1042.5934435786944,54214.85906609212,anno_intero
2016,<20,Femmine,2367,123084,93016,734244,29293307,12375.710604140262,237.99443469500503,314.9276146039391,16376.235959404834,35099187.66666667,14828.554147303199,285.16450283275384,377.34570038129647,19621.976419827417,anno_intero
2016,<20,Maschi,6926,360152,313641,2148515,112891095,16299.609442679757,313.4540277438415,359.93730092685587,18716.739648196504,135265906.62162164,19530.162665553227,375.580051260639,431.27622543488144,22426.363722613834,anno_intero
2016,20-29,Femmine,380710,19796826,16683083,118347395,7108933199,18672.830235612408,359.09459420414163,426.11627593053396,22158.046348387765,8517910950.153154,22373.751543571627,430.2664957581157,510.5717540428921,26549.731210230388,anno_intero
2016,20-29,Maschi,582715,30301135,28127371,181069262,12950456468,22224.340317307775,427.39179466379727,460.42185983183424,23941.93671125538,15517213605.801804,26629.16452434175,512.1000782908562,551.6766428615672,28687.1854288015,anno_intero
2016,30-39,Femmine,825544,42928243,36958029,256703667,18936600397,22938.32963112808,441.122186086209,512.3812310716029,26643.82401572335,22689800475.68469,27484.66523369401,528.551808553746,613.9342678605693,31924.5819287496,anno_intero
2016,30-39,Maschi,1234080,64172096,61512648,383663054,36113114220,29263.18732983275,562.7541637411999,587.0843703558331,30528.387258503324,43270668389.72974,35063.09833214195,674.2910250232396,703.4434347506831,36579.05860703552,anno_intero
2016,40-49,Femmine,1133072,58919652,49724801,352483572,28890809394,25497.77012758236,490.3424988660829,581.0140777436193,30212.7320426682,34616915760.37839,30551.38222494103,587.5274986413427,696.1700210801926,36200.841096170014,anno_intero
2016,40-49,Maschi,1594760,82927484,80522908,495938190,57147906609,35834.80060259851,689.1310799806732,709.7099201757592,36904.91584913948,68474518729.70271,42937.193514825245,825.7156183552212,850.3731475979819,44219.403675095054,anno_intero
2016,50-59,Femmine,778199,40466311,34440874,242182951,20951849258,26923.51089888319,517.760298387466,608.3425541988278,31633.812818339044,25104468029.85586,32259.702248211393,620.3794566264233,728.9149523283253,37903.57752107291,anno_intero
2016,50-59,Maschi,1262888,65670140,64017137,392865239,50888544436,40295.37412343771,774.9114656371983,794.9206543866527,41335.87402810594,60974562252.14416,48281.84467042537,928.4975218896161,952.47249579662,49528.569781424245,anno_intero
2016,60+,Femmine,122099,6349125,5146742,38003802,3027660314,24796.7658539382,476.86260925718113,588.2673570969752,30589.902569042708,3627737132.9909916,29711.440167331362,571.3759192000459,704.8608873324118,36652.766141285414,anno_intero
2016,60+,Maschi,263759,13715440,12895982,82085015,11043229619,41868.63621336144,805.1677247685819,856.3310354341376,44529.213842575155,13231977831.774776,50166.92447186552,964.7505170650578,1026.054303718381,53354.82379335583,anno_intero
2017,<20,Femmine,2397,124643,95561,743488,28891264,12053.093032957864,231.79211026692232,302.33321124726615,15721.32698485784,34240438.621782176,14284.705307376795,274.70807523713466,358.3097562999778,18632.107327598846,anno_intero
2017,<20,Maschi,7017,364880,318770,2176077,114713363,16347.921191392334,314.3865462617847,359.8624807855193,18712.849000847003,135952371.7930693,19374.714520887745,372.59474839144184,426.4904846537293,22177.50520199392,anno_intero
2017,20-29,Femmine,387468,20148320,17044814,120417640,7313193964,18874.317270071337,362.96792804561375,429.05683593848545,22310.955468801243,8667220965.255445,22368.86908146078,430.1709008619798,508.4960718993733,26441.795738767414,anno_intero
2017,20-29,Maschi,597450,31067377,28877488,185620169,13406479985,22439.501188383965,431.5291884796068,464.25367694724696,24141.191201256843,15888669843.60891,26594.14150742139,511.42617684167254,550.2095557483709,28610.896898915285,anno_intero
2017,30-39,Femmine,806363,41930844,36098752,250704290,18613616703,23083.42111803245,443.91228335399114,515.6304767267301,26812.784789789963,22059900191.575245,27357.282255727565,526.1019833413143,611.0986937048474,31777.132072652064,anno_intero
2017,30-39,Maschi,1231201,64022415,61304028,382757744,36099221912,29320.331864577758,563.8528617203834,588.8556280836881,30620.49266035178,42782939236.30099,34748.947764257005,668.2493816626722,697.8813730853213,36289.83140043671,anno_intero
2017,40-49,Femmine,1149377,59767529,50482044,357527228,29457034671,25628.69682532363,492.86017280386477,583.5150944165415,30342.784909660157,34910960892.26436,30373.81198011127,584.1125018279466,691.5520475411882,35960.706472141785,anno_intero
2017,40-49,Maschi,1618095,84140898,81614833,503205039,57800020268,35721.03014223516,686.9432302469603,708.2048463910966,36826.65201233702,68501608179.005936,42334.725822035136,814.1297491144668,839.3279219110323,43645.051939373676,anno_intero
2017,50-59,Femmine,835013,43420625,36875947,259848261,22502678495,26948.895999223965,518.2486086969038,610.2264572351186,31731.775776226164,26669015998.5297,31938.44407036741,614.201568920984,723.208979515284,37606.86693479477,anno_intero
2017,50-59,Maschi,1333298,69331454,67497587,414771883,53407391897,40056.605422793706,770.319801702125,791.2489063794236,41144.943131730026,63295691188.820786,47473.0264268159,912.9433689479639,937.7474662734356,48762.868246218655,anno_intero
2017,60+,Femmine,143385,7455996,6064139,44626899,3626146721,25289.582041357186,486.33968164682494,597.9656338682211,31094.212961147496,4297522401.026732,29971.91059752926,576.3847514170786,708.6780829111491,36851.26031137975,anno_intero
2017,60+,Maschi,297652,15477871,14539621,92630721,12404372140,41674.07623667907,801.4262517112334,853.1427428541638,44363.42262841652,14701023219.386137,49389.96955970777,949.8091319785607,1011.1008546499346,52577.2444417966,anno_intero
2018,<20,Femmine,2482,129064,98951,769335,30239432,12183.493956486704,234.2979607016674,305.6000646784772,15891.203363280816,35452105.8805093,14283.68488336394,274.68624775699885,358.2794098140423,18630.5293103302,anno_intero
2018,<20,Maschi,7672,398944,352704,2377525,130845392,17054.9259645464,327.9793454720462,370.9779078207222,19290.851206677555,153400523.23604307,19994.854436397687,384.51643146918633,434.9270868378104,22616.20851556614,anno_intero
2018,20-29,Femmine,393150,20443761,17459080,122140728,7577220128,19273.10219509093,370.6372877280262,433.9988205564096,22567.9386689333,8883381482.092066,22595.399929014537,434.5277506468632,508.8115457453695,26458.200378759215,anno_intero
2018,20-29,Maschi,619712,32224990,30066579,192444112,14151925158,22836.293565398122,439.1599549914523,470.68624461732077,24475.68472010068,16591434293.952986,26772.81429753335,514.8623566354245,551.8231486845572,28694.803731596974,anno_intero
2018,30-39,Femmine,789894,41074434,35431949,245528753,18474967745,23389.1734144075,449.79238776607366,521.421154252621,27113.900021136295,21659683046.782562,27420.99958574513,527.3276083800099,611.3037430366184,31787.794637904153,anno_intero
2018,30-39,Maschi,1219627,63420564,60753690,378985903,36174943812,29660.66167115028,570.3976995852638,595.436158890102,30962.680262285303,42410781334.93046,34773.56711103514,668.7228662130859,698.0774556233614,36300.02769241479,anno_intero
2018,40-49,Femmine,1149524,59775194,50631820,357513203,29808505169,25931.1725279333,498.67684526460926,588.730667177281,30613.994693218614,34946895873.940254,30401.188556254805,584.638769619723,690.2160711177329,35891.23569812211,anno_intero
2018,40-49,Maschi,1614473,83952540,81411453,501975800,58001798447,35926.14955282622,690.8879522525465,712.4525642233655,37047.533339615,68000149599.47012,42119.09991648675,809.9832309953948,835.265151200165,43433.78786240857,anno_intero
2018,50-59,Femmine,880028,45761364,38874871,273824333,23960080814,27226.49826369161,523.5875577047922,616.3385291747978,32049.603517089487,28090320014.06268,31919.8025677168,613.8435911583116,722.5829769071821,37574.314799173466,anno_intero
2018,50-59,Maschi,1382149,71871707,69910964,429915115,55532495746,40178.37132320755,772.6614277576572,794.3317123477227,41305.24904208158,65105188450.501465,47104.31975894166,905.8528198099075,931.2586284820999,48425.448681069196,anno_intero
2018,60+,Femmine,165360,8598687,7014596,51462717,4247030752,25683.543492985,493.91619348395864,605.4562161527193,31483.723239941406,4979133996.2233095,30110.873223411403,579.0574765918692,709.824770553188,36910.88806876578,anno_intero
2018,60+,Maschi,323500,16821966,15808744,100668263,13604385757,42053.74268006183,808.7274553402378,860.5608236176131,44749.16282811588,15949510040.283054,49302.967667026445,948.1359099336578,1008.9043152500321,52463.024393001666,anno_intero
2019,<20,Femmine,2992,155579,118646,927081,36213302,12103.376336898396,232.7647176032755,305.221431822396,15871.514454764594,42248852.33333333,14120.60572638146,271.5588372038214,356.09167045946197,18516.766863892026,anno_intero
2019,<20,Maschi,8619,448188,396137,2670271,145969392,16935.76888270101,325.68786312886556,368.4820958405804,19161.06898371018,170297623.99999997,19758.397029817843,379.9691736503431,429.8957784806771,22354.58048099521,anno_intero
2019,20-29,Femmine,407329,21181087,18192172,126543742,8002416168,19646.07520701939,377.80951317559857,439.8823938120198,22873.88447822503,9336152195.999998,22920.42107485595,440.7777653715316,513.1961261140231,26686.198557929198,anno_intero
2019,20-29,Maschi,652464,33928095,31725501,202615037,15153186165,23224.555170860003,446.62649538678784,477.6342591090997,24836.981473673182,17678717192.499996,27095.314366003335,521.064244617919,557.2399689606162,28976.478385952043,anno_intero
2019,30-39,Femmine,786472,40896522,35325716,244460174,18689621045,23763.87340553764,456.9978113297752,529.0655975663734,27511.411073451418,21804557885.833332,27724.518973127244,533.164113218071,617.2431971607689,32096.646252359984,anno_intero
2019,30-39,Maschi,1223752,63635080,60956001,380191485,36778577820,30053.94705790062,577.9607383223216,603.3627077996799,31374.860805583357,42908340789.99999,35062.938234217385,674.2875280427085,703.9231590996264,36604.00427318058,anno_intero
2019,40-49,Femmine,1140837,59323465,50336602,354785391,29944379689,26247.72836873278,504.76450910276395,594.8828188482012,30933.90658010646,34935109637.166664,30622.34976352157,588.8919272865579,694.0299553229013,36089.557676790864,anno_intero
2019,40-49,Maschi,1598591,83126689,80560771,496957459,57828227752,36174.49851275279,695.6637927922283,717.8211806339341,37326.70139296458,67466265710.66666,42203.58159821158,811.6077582575996,837.458044072923,43547.818291792,anno_intero
2019,50-59,Femmine,924341,48065694,40851034,287596623,25450042566,27533.17505768975,529.4845543268344,622.9962885639566,32395.80700532574,29691716326.999996,32122.037567304706,617.7319800479734,726.8290033246159,37795.10817288003,anno_intero
2019,50-59,Maschi,1434599,74599104,72527623,446164124,57841639694,40319.02970377088,775.3664131676434,797.5118623975861,41470.61684467448,67481912976.33333,47038.86798773269,904.5941486955838,930.4305061305171,48382.386318786885,anno_intero
2019,60+,Femmine,187702,9760464,7991174,58419951,4953806323,26391.867550692055,507.53799440272513,619.9097057578774,32235.304699409626,5779440710.166666,30790.51214247406,592.1276601365125,723.2279900508569,37607.85548264456,anno_intero
2019,60+,Maschi,336319,17488554,16414647,104653840,14338904950,42634.83463616388,819.9022600725023,873.5433025151257,45424.251730786535,16728722441.666664,49740.64040885786,956.5526367512525,1019.1338529343132,52994.96035258428,anno_intero
2020,<20,Femmine,493,25636,18995,152714,6655942,13500.896551724138,259.63262599469493,350.4049486707028,18221.057330876545,7788037.706744868,15797.236727677218,303.7930139937926,410.0046173595614,21320.24010269719,anno_intero
2020,<20,Maschi,2769,143988,129677,855764,53677217,19385.054893463344,372.7895171819874,413.930126390956,21524.366572329713,62807066.22580645,22682.219655401394,436.19653183464214,484.3346640175702,25185.402528913655,anno_intero
2020,20-29,Femmine,188317,9792474,8833275,58408014,4221136542,22415.05834311294,431.0592544846175,477.86766991857496,24849.118835765898,4939101115.1261,26227.590260709865,504.37725084857004,559.1472149487139,29075.65517733312,anno_intero
2020,20-29,Maschi,347993,18095616,17281128,107841426,8795306911,25274.37882658559,486.04628386234543,508.95444504548544,26465.631142365244,10291282866.536657,29573.24677949458,568.7169127890787,595.5214767541017,30967.116791213295,anno_intero
2020,30-39,Femmine,422584,21974358,19714832,131100374,11349763140,26858.004893701607,516.5003291563739,575.696670405307,29936.226861075964,13280221386.686218,31426.228599961705,604.3508250246135,673.6157521751247,35028.01911310648,anno_intero
2020,30-39,Maschi,719196,37398181,36303823,222962367,23731900572,32997.820582984335,634.5736593980333,653.7025197594204,33992.53102748986,27768411519.730206,38610.35311616056,742.5070090903674,764.8894586041313,39774.251847414824,anno_intero
2020,40-49,Femmine,656081,34116179,29740550,203606543,19368472046,29521.464645371532,567.7210230958162,651.2479441705012,33864.893096866064,22662816264.967743,34542.710831387805,664.2835431531691,762.0173892200294,39624.90423944152,anno_intero
2020,40-49,Maschi,945860,49184707,48060381,293383270,38310786725,40503.654584187934,778.9166401865523,797.1386395168195,41451.209254874615,44826990918.695015,47392.83923487093,911.4009954088984,932.7223377337566,48501.561562155344,anno_intero
