anno,eta_decennale,tipologia_contrattuale,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2014,<20,Stagionale,18,936,884,5592,306508,17028.222222222223,327.46581196581195,346.72850678733033,18029.88235294118,366547.8277947762,20363.768210820897,391.6109271311711,414.64686402124005,21561.636929104483,anno_intero
2014,<20,Tempo determinato,485,25220,20131,149815,7646212,15765.38556701031,303.1804916732752,379.8227609160002,19750.78356763201,9143977.96944403,18853.56282359594,362.56851583838346,454.2237330209146,23619.634117087557,anno_intero
2014,<20,Tempo indeterminato,7214,375124,328078,2237618,100499182,13931.131411144996,267.9092300146085,306.32709904352015,15929.009150263048,120185303.01738247,16660.008735428677,320.38819968165853,366.3314913446878,19049.237549923764,anno_intero
2014,20-29,Stagionale,743,38636,34347,229426,14428740,19419.56931359354,373.453256030645,420.0873438728273,21844.54188138702,17255090.584309705,23223.540490322615,446.6065478908195,502.37547920661785,26123.52491874413,anno_intero
2014,20-29,Tempo determinato,67825,3526845,3148345,20986519,1377450227,20308.886502027275,390.5616002404415,437.51565568576507,22750.814095659785,1647269854.6278443,24287.060149323173,467.06613265619677,523.2177079156968,27207.320811616235,anno_intero
2014,20-29,Tempo indeterminato,819302,42603111,38547599,254640391,16954803859,20694.20538336291,397.9710274913961,439.84072416546616,22871.71765660424,20275968409.31701,24747.856601493724,475.92694367594447,525.9982187040238,27351.90737260924,anno_intero
2014,30-39,Stagionale,666,34631,31443,205661,14676827,22037.277777777777,423.8060408304698,466.7756575390389,24272.334192030023,17551773.708254665,26354.014576958958,506.8226071512421,558.2092582849813,29026.881430819027,anno_intero
2014,30-39,Tempo determinato,92040,4786040,4334056,28498408,2071511673,22506.64573011734,432.8237275492892,477.961446044998,24853.995194339896,2477286413.371503,26915.323917552185,517.606708964301,571.5861570250829,29722.480165304314,anno_intero
2014,30-39,Tempo indeterminato,1941441,100953729,93713382,603633724,52712458723,27151.203010032237,522.1447414092054,562.4859288826008,29249.26830189524,63037954123.99497,32469.672848155038,624.4242263105999,672.6675825656891,34978.71429341584,anno_intero
2014,40-49,Stagionale,510,26520,23969,157517,11949102,23429.61176470588,450.56945701357466,498.52317576870126,25923.205139972466,14289732.67320336,28019.083672947763,538.8285321720724,596.1755881848788,31001.1305856137,anno_intero
2014,40-49,Tempo determinato,71392,3712320,3308884,22105049,1651191999,23128.529793254147,444.7870870506853,499.0177954258898,25948.92536214627,1974633094.4235198,27659.02474259749,531.9134919466856,596.7670956200096,31031.8889722405,anno_intero
2014,40-49,Tempo indeterminato,2481831,129053861,119119292,771829413,79346905838,31971.115615043895,614.835582780433,666.1129738581724,34637.87464062496,94889647177.74265,38233.72630035754,735.2716644234506,796.593444979027,41422.8591389094,anno_intero
2014,50-59,Stagionale,247,12844,11267,76403,6464650,26172.67206477733,503.32061663033323,573.7685275583563,29835.963433034525,7730967.5928638065,31299.463938719866,601.9127680523051,686.160254980368,35680.33325897914,anno_intero
2014,50-59,Tempo determinato,36002,1872072,1671484,11156523,972393951,27009.442558746738,519.4212354012025,581.7548663343472,30251.253049386054,1162869779.9073107,32300.14387832095,621.1672306980237,695.7109849135921,36176.9712155068,anno_intero
2014,50-59,Tempo indeterminato,1728288,89870177,84018431,537610777,61808594662,35762.90216792571,687.7542331089434,735.6551881098566,38254.06978171254,73915872056.85951,42768.26087831398,822.4738675752193,879.7578242904765,45747.40686310478,anno_intero
2014,60+,Stagionale,67,3484,2909,20724,1679894,25073.044776119405,482.1739380022962,577.481608800275,30029.0436576143,2008957.3408376868,29984.43792295055,576.6238062105875,690.6006671838044,35911.234693557824,anno_intero
2014,60+,Tempo determinato,7937,412718,355318,2463464,311861775,39292.14753685272,755.6292068676432,877.6976539325336,45640.278004491745,372950318.42063904,46988.82681373807,903.6444216647662,1049.6240506268723,54580.450632597356,anno_intero
2014,60+,Tempo indeterminato,264343,13745670,12343489,82253508,9668005091,36573.71328539057,703.3491340182036,783.2473534022674,40728.86237691791,11561806756.152815,43737.89643059516,841.1235506274206,936.6725045206275,48706.97023507264,anno_intero
2015,<20,Stagionale,25,1300,1163,7709,510725,20429,392.86538461538464,439.1444539982803,22835.511607910576,611337.825,24453.512999999995,470.25986538461535,525.6559114359414,27334.107394668954,anno_intero
2015,<20,Tempo determinato,525,27299,23055,162589,13850178,26381.29142857143,507.3511117623356,600.7450878334417,31238.74456733897,16578663.065999998,31578.405839999996,607.2992807795157,719.0918701366297,37392.77724710474,anno_intero
