anno,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2014,7520351,391053938,361013308,2338260532,227032828913,30189.126666162258,580.5665327758444,628.8766200081466,32701.58424042362,271504790335.53186,36102.675305385594,694.2898765426366,752.0631076999849,39107.28160039922,anno_intero
2015,7674646,399079124,367695139,2386233447,234708636762,30582.340444367077,588.1255687080239,638.3240132037753,33192.84868659631,280946238204.11395,36607.061511907385,703.9863057435045,764.073843804919,39731.83987785578,anno_intero
2016,8187119,425729688,390436232,2546224906,247201288316,30193.928818672357,580.6531592318739,633.1412611214832,32923.34557831713,296196138252.5046,36178.311107057874,695.737569169723,758.6287182806963,39448.69335059621,anno_intero
2017,8408716,437252852,400813584,2615029439,254773761383,30298.771106432898,582.6691814991294,635.6415340029993,33053.35976815596,301944744926.1891,35908.54357861404,690.5495151034237,753.3296200015743,39173.14024008187,anno_intero
2018,8547571,444473215,407815401,2657605787,261694438352,30616.234524638636,588.77437271895,641.6982725770084,33368.31017400444,306805330761.3555,35893.86163172619,690.2673106215309,752.3142333738286,39120.34013543909,anno_intero
2019,8704017,452608521,415396024,2705985178,269162984866,30923.995767241722,594.6927032467424,647.96716702806,33694.29268545912,314023482343.6666,36077.99506178201,693.8081537878661,755.9616948660698,39310.00813303563,anno_intero
2020,5149671,267782724,250527123,1597913484,181290372940,35204.26313447985,677.0054850140369,723.6357116510694,37629.05700585561,212125685639.47217,41192.0850165908,792.1559780662778,846.7174455975857,44029.307171074455,anno_intero
2021,7866526,409059034,380254352,2444042687,256577529740,32616.370903750907,627.238389606132,674.7523819004181,35087.12385882174,294744052877.9079,37468.13432993266,720.5416049506143,775.1234175957778,40306.417714980445,anno_intero
2022,9092579,472813770,436834560,2824437899,291619072223,32072.20660089948,616.7736447756164,667.5732621132357,34713.80962988826,310007130951.09326,34094.521581950874,655.6643452898871,709.667135656788,36902.69105415297,anno_intero
2023,9510822,494562249,456755644,2955823961,312713281820,32879.73235331289,632.3031781182311,684.6402139258513,35601.29112414427,315347766081.3311,33156.73094095664,637.630079366068,690.4080337567347,35901.217755350204,anno_intero
2024,9637295,501138721,462739807,2995160875,326881350296,33918.37131643267,652.2771771531101,706.4042153952837,36733.01920055475,326881350296,33918.37131643267,652.2771771531101,706.4042153952837,36733.01920055475,anno_intero
2014,14052347,608334508,541427925,3407567604,299952693575,21345.38049587019,493.07196884349685,554.0029978597797,28808.155888708545,358708445688.55743,25526.586106118604,589.6565803374702,662.5229862101357,34451.19528292706,complessivo
2015,14462328,617114489,547846671,3471728369,308763060010,21349.471538053902,500.3335126847103,563.5939330367858,29306.88451791286,369589382831.97,25555.317431050516,598.8992146835982,674.6219378450324,35080.340767941685,complessivo
2016,14700314,640125513,566205276,3613144966,320461713018,21799.650879430195,500.62324733180884,565.9815028251344,29431.038146906987,383976647129.6757,26120.30240508303,599.8458729291044,678.1580168985846,35264.216878726394,complessivo
2017,15310749,661217264,582784240,3723317795,329921873435,21548.382344652113,498.96137230167665,566.1132384688372,29437.888400379532,391006418318.5099,25538.033333216412,591.343329351591,670.928263809107,34888.26971807356,complessivo
2018,15714090,678436179,597818612,3819332995,341391459079,21725.181609561863,503.2034989381072,571.0619445869645,29695.221118522153,400240525482.4319,25470.168840984865,589.9457279421296,669.5016137811914,34814.08391662195,complessivo
2019,15997053,690296168,608607209,3890309605,351059228116,21945.24379684183,508.5631999568046,576.8239727111087,29994.846580977654,409569099468.6666,25602.7844296488,593.3237332829386,672.9613014962933,34993.98767780726,complessivo
2020,15685116,652229262,572287000,3495508458,323322990824,20613.36306495916,495.7198483130921,564.966512997849,29378.258675888148,378316344101.9824,24119.448278353975,580.0358342431782,661.0605240062808,34375.147248326604,complessivo
2021,16274677,691530495,612701760,3842522087,356882758084,21928.715272444424,516.0766743684962,582.4738582177404,30288.6406273225,409969924593.61615,25190.66428130132,592.8443178686084,669.1182421176921,34794.14859011999,complessivo
2022,16984162,738136907,657441563,4152817254,388227166879,22858.187932910674,525.9555012048734,590.5120526719726,30706.626738942574,412706855021.45917,24299.512394044476,559.1196580304028,627.7468268635446,32642.83499690432,complessivo
2023,17388446,759336187,677061834,4280738105,411592126543,23670.437630999342,542.0420277467956,607.9092128282629,31611.27906706967,415059625502.9242,23869.85159587718,546.6085149224215,613.0306046802281,31877.591443371857,complessivo
2024,17731002,774989036,691357743,4371221574,434164376042,24486.172639425567,560.2200236055985,627.9880140750806,32655.376731904194,434164376042,24486.172639425567,560.2200236055985,627.9880140750806,32655.376731904194,complessivo
