codice,branca,valore_aggiunto_mln_eur_2020_2014,valore_aggiunto_mln_eur_2020_2024,occupati_migliaia_2014,occupati_migliaia_2024,produttivita_kEUR_per_occupato_2014,produttivita_kEUR_per_occupato_2024,produttivita_var_pct,occupati_var_pct
L,Attivita' immobiliari,210996.2,228970.7,179.3,180.0,1176.7774679308422,1272.0594444444446,8.096855957068838,0.3904071388733943
K,Attivita' finanziarie e assicurative,83193.0,74806.3,657.9,628.8,126.45234838121296,118.96676208651401,-5.919689424930508,-4.423164614683084
J,Servizi di informazione e comunicazione (ICT),52975.8,69395.4,583.4,686.3,90.80527939664039,101.11525571907329,11.353939320420569,17.63798423037366
O,Pubblica amministrazione e difesa,111957.6,107961.1,1328.0,1213.1,84.305421686747,88.99604319511995,5.563843243441524,-8.65210843373495
B,Industria estrattiva,2082.2,1571.3,22.7,18.5,91.72687224669603,84.93513513513513,-7.404304698512753,-18.502202643171806
C,Industria manifatturiera,255413.4,286474.0,3804.2,3954.7,67.13984543399401,72.43887020507245,7.892518573472107,3.956153724830447
M,"Attivita' professionali, scientifiche e tecniche",96264.7,136441.2,1617.3,1943.1,59.521857416682124,70.21831094642582,17.970631284005954,20.144685587089594
H,Trasporti e magazzinaggio,76956.7,85011.1,1087.9,1215.6,70.73876275392958,69.93344850279698,-1.1384341763708061,11.738211232650041
F,Costruzioni,67921.6,99837.8,1549.0,1840.2,43.84867656552615,54.25377676339529,23.72956497859193,18.799225306649458
R,Attivita' artistiche e di intrattenimento,17012.4,20546.8,342.0,383.8,49.74385964912281,53.535174570088586,7.621674208049978,12.222222222222223
G,Commercio all'ingrosso e al dettaglio,167569.4,199048.0,3644.8,3783.9,45.97492317822651,52.60392716509421,14.418738583139511,3.816395961369623
Q,Sanita' e assistenza sociale,102396.9,109792.9,1815.9,2145.0,56.38906327440938,51.185501165501165,-9.227963379327331,18.123244672063432
N,Attivita' amministrative e di supporto,49436.3,62933.8,1229.3,1582.4,40.21500040673554,39.771107178968656,-1.1038001324812585,28.723663873749295
P,Istruzione,69993.5,68998.0,1492.0,1755.1,46.91253351206434,39.31285966611589,-16.19966622351374,17.634048257372648
S,Altre attivita' di servizi,28053.7,28095.9,722.1,766.7,38.850159257720534,36.645232815964526,-5.675463071152875,6.176429857360488
I,Servizi di alloggio e di ristorazione,61140.5,65948.3,1454.4,1895.0,42.03829757975797,34.801213720316625,-17.215454183677757,30.294279427942783
A,"Agricoltura, silvicoltura e pesca",33242.9,32165.4,903.2,945.3,36.805690876882196,34.026658203744844,-7.550551577562892,4.66120460584587
T,Lavoro domestico (famiglie come datori di lavoro),17943.5,16845.5,1422.2,1268.8,12.616720573758965,13.27671815889029,5.231134202211218,-10.786106032906773
__TOT__,TOTALE economia (somma branche disponibili),1543244.6,1735000.1,24145.4,26544.6,63.91464212645059,65.3616969176405,2.264042702964719,9.936468229973405
