anno,settore,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2014,Altre attivita' di servizi,223240,11608324,10241392,69387520,5301550942,23748.212426088514,456.7025301843746,517.6592148801648,26918.27917376857,6340036742.053876,28400.092913697703,546.1629725405559,619.060059614345,32191.123099945944,anno_intero
2014,"Attivita' artistiche, sportive, di intrattenimento e divertimento",55587,2890506,2573836,17294535,1650948917,29700.27015309335,571.1625981748524,641.4351640897089,33354.628532664865,1974342396.6959693,35518.059918613515,683.0438673007319,767.0816620390614,39888.24642603119,anno_intero
2014,Attivita' dei servizi di alloggio e di ristorazione,324827,16890884,13470509,100845734,6038769359,18590.7247827305,357.5164780599997,448.2955587647059,23311.369055764706,7221664005.817475,22232.33907839396,427.5480197375979,536.1092150131428,27877.679180683426,anno_intero
2014,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",31299,1627545,1437947,9746403,565956635,18082.25933735902,347.73639745752035,393.58657516584407,20466.50190862389,676818142.3822249,21624.273695077314,415.8521837382222,470.68364994135726,24475.549796950578,anno_intero
2014,Attivita' finanziarie e assicurative,454008,23608391,22850952,141155928,22792198349,50202.195443692624,965.4278577900544,997.4288313677259,51866.299231121746,27256811553.02189,60035.9719498817,1154.5391447058755,1192.8085776479636,62026.046037694105,anno_intero
2014,Attivita' immobiliari,23907,1243164,1064158,7444766,736767894,30818.08231898607,592.6554292112706,692.348217088064,36002.107288579326,881088490.788599,36854.83292711754,708.7467870599527,827.9677367351455,43054.322310227566,anno_intero
2014,Attivita' manifatturiere,2356960,122560802,118686189,732525146,78382063455,33255.576443808975,639.5361500245405,660.4143592056865,34341.5466786957,93735808192.6167,39769.79167767663,764.810662650663,789.7785663386386,41068.4854496092,anno_intero
2014,"Attivita' professionali, scientifiche e tecniche",280861,14604683,12975146,87451757,7942044327,28277.490740971512,543.801212734299,612.0967214550033,31829.02951566017,9497758937.16208,33816.581644165904,650.3228407738861,731.9963056417307,38063.80789337,anno_intero
2014,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",1312700,68260028,60891848,408499531,34714053976,26444.773349584826,508.5561051337395,570.0936187057421,29644.86817269859,41513960741.16634,31624.86534712146,608.173801820977,681.7654925034685,35451.80561018037,anno_intero
2014,Costruzioni,298795,15536677,14874547,92669073,8202687125,27452.558192071487,527.9563400204561,551.4579452402819,28675.81315249466,9809457331.452776,32830.0585065104,631.3742205912356,659.4794000417476,34292.92880217087,anno_intero
2014,Estrazione di minerali da cave e miniere,33409,1737268,1718770,10393030,1666941630,49894.98727887695,959.518986132249,969.8456628868319,50431.97447011526,1993467816.6220245,59668.58680660973,1147.4728232040331,1159.8223244657659,60310.760872219835,anno_intero
2014,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",118154,6143855,6002629,36781201,3789229173,32070.257232086937,616.7510745289399,631.2615977099367,32825.60308091671,4531476249.819731,38352.288113984556,737.5623691997502,754.915262932247,39255.59367247685,anno_intero
2014,"Fornitura di energia elettrica, gas, vapore e aria condizionata",71814,3734328,3703324,22361600,3465229566,48252.841590776174,927.9392613610802,935.7079115950967,48656.81140294503,4144010499.652652,57704.77204518133,1109.7071547150254,1118.9975545355069,58187.87283584636,anno_intero
2014,Istruzione,115234,5992148,5321205,35838752,2513965153,21816.175373587655,419.5432344127682,472.4428307122165,24567.02719703526,3006409183.3946004,26089.60188307791,501.7247877379865,564.9865365823343,29379.299902281386,anno_intero
2014,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",559763,29107470,24159211,173934839,11909386868,21275.76647259644,409.1522508826772,492.9542967276539,25633.623429838004,14242238006.293581,25443.335851590014,489.29838307120406,589.5158582080177,30654.82462681692,anno_intero
2014,Sanita' e assistenza sociale,392195,20393885,17868351,122027963,8674850491,22118.717706753017,425.36527449281976,485.4869087248174,25245.319253690504,10374109660.826136,26451.40723575297,508.68726879778603,580.5857328875023,30190.458110150124,anno_intero
2014,Servizi di informazione e comunicazione,298861,15540364,14657176,93028888,11146480720,37296.538256915424,717.2599509252165,760.479421138151,39544.92989918385,13329891211.558434,44602.31081191067,857.7592655846694,909.4447123755923,47291.125043530796,anno_intero
2014,Trasporto e magazzinaggio,568737,29573616,28516113,176873866,17539704333,30839.74549396294,593.0862270274964,615.0804751334798,31984.18470694095,20975441174.206783,36880.73955836667,709.2619710152044,735.5645271221497,38249.35541035178,anno_intero
2015,Altre attivita' di servizi,223738,11634183,10203106,69556194,5329915085,23822.127153188103,458.12542960687483,522.3816242818608,27163.84446265676,6379908356.744999,28515.086202366154,548.3761392394291,625.2908042653874,32515.121821800138,anno_intero
2015,"Attivita' artistiche, sportive, di intrattenimento e divertimento",56580,2942118,2644140,17602226,1761718087,31136.763644397313,598.7924641363807,666.2726205874121,34646.17627054543,2108776550.1389997,37270.70608234358,716.7545795712475,797.5283268431322,41471.47299584287,anno_intero
2015,Attivita' dei servizi di alloggio e di ristorazione,336231,17483854,13837980,104367876,6245475906,18574.95562871954,357.2139132481889,451.3285830735411,23469.08631982414,7475834659.481999,22234.22188757729,427.585054158082,540.2403139390286,28092.49632482949,anno_intero
2015,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",30457,1583761,1395044,9482702,550135471,18062.693994812358,347.36015787735647,394.3499065262458,20506.19513936478,658512158.787,21621.04471179039,415.7901089791956,472.03683811191615,24545.915581819638,anno_intero
