settore,tipologia,w_base,w_fin,s_base,s_fin,contrib_comp,contrib_wage
Attivita' manifatturiere,Tempo indeterminato,37659.62653749785,37659.36553822342,0.2840694322749523,0.24946084461358478,-1303.3419699092221,-0.06962550757598757
Attivita' finanziarie e assicurative,Tempo indeterminato,60493.144262953705,61312.86639417113,0.04557422368747196,0.03308280886089044,-760.7647037445778,32.23845517789089
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Tempo indeterminato,33641.53075754938,32795.03748236995,0.1387508006906116,0.13034547478944045,-279.2105039059595,-113.89409378484714
"Attivita' professionali, scientifiche e tecniche",Tempo indeterminato,36350.49288076401,38072.711089227414,0.02776744701917541,0.03385888319720137,226.67209857370565,53.06699400971129
Istruzione,Tempo determinato,23976.144423074435,23698.034542486716,0.018062903099250422,0.027882835262851277,234.07860169858864,-6.388981904699343
Costruzioni,Tempo indeterminato,29126.58089359288,29430.81985046799,0.05755494872274937,0.06401463291057588,189.1311578333152,18.493101351933177
Trasporto e magazzinaggio,Tempo indeterminato,35502.378123323535,33713.73368614737,0.06944388314575956,0.06785429050399538,-55.01271101193051,-122.78880726654086
Altre attivita' di servizi,Tempo indeterminato,28429.506968997128,27013.677938054134,0.027082046454579106,0.022073958379240886,-138.8321765958877,-34.798249344448244
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Tempo indeterminato,28447.40382593975,27780.897296338997,0.056432031006631675,0.06308366770713572,187.00511567597107,-39.828996791261105
Attivita' manifatturiere,Tempo determinato,26591.278014943313,23855.013578517017,0.017566643132662846,0.015002962120590475,-64.66409994381016,-44.559526281460066
"Fornitura di energia elettrica, gas, vapore e aria condizionata",Tempo indeterminato,56989.657706611644,53066.34572022183,0.007593269336350087,0.006187032770925465,-77.38238813165536,-27.032212216773516
Attivita' dei servizi di alloggio e di ristorazione,Tempo determinato,19749.69659542954,16511.39578897062,0.011218930183092128,0.01967281075109854,153.27347214158291,-50.01837479005483
Costruzioni,Tempo determinato,24598.49204233939,22530.37341505103,0.008073048808083533,0.012995808779119463,116.00204617698974,-21.786448415890074
Attivita' dei servizi di alloggio e di ristorazione,Stagionale,23221.510316390802,21678.400732235375,0.009467365532981928,0.01345457850308499,89.51275384477805,-17.685535764764598
Estrazione di minerali da cave e miniere,Tempo indeterminato,54919.68705681761,56045.222676423946,0.003920100780470099,0.0025819642916242403,-74.24309734776877,3.6591529198202113
Servizi di informazione e comunicazione,Tempo indeterminato,45297.01465534423,43593.24943231765,0.034402577730398044,0.0372753098312383,127.67895754839702,-61.06114604376278
Attivita' dei servizi di alloggio e di ristorazione,Tempo indeterminato,24890.875017615355,23844.8419463765,0.04171662060787309,0.045720792761037445,97.57310036585797,-45.73121302373148
Trasporto e magazzinaggio,Tempo determinato,28902.334295403343,25725.01649031391,0.00713590836137103,0.009907631886919163,75.7059566555714,-27.07637194632542
"Attivita' artistiche, sportive, di intrattenimento e divertimento",Tempo determinato,25594.647587642678,37730.13292074135,0.0018238845264419567,0.0021669982284902196,10.863799935812665,24.215649569297923
Attivita' finanziarie e assicurative,Tempo determinato,47157.70287580455,37350.47928867102,0.0011659927022196752,5.594339617005894e-4,-25.629588268620886,-8.460822538133968
"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Tempo indeterminato,24227.89607827708,22206.55095162237,0.0029534827255684342,0.001897671671546381,-24.513001230784667,-4.902928649628806
Istruzione,Tempo indeterminato,27523.678362469105,26686.566010277507,0.010248034550460758,0.009497802093749898,-20.335142407330885,-8.264741879613116
"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo indeterminato,38118.0798630441,34738.37956827613,0.012462303453776285,0.012939146363011505,17.37054303590426,-42.92464371666577
Attivita' immobiliari,Tempo indeterminato,40828.3396343012,37773.57798432201,0.0023551260656550148,0.003080697406988316,28.51564939895705,-8.302572540143778
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Tempo determinato,25238.200450906115,22085.57028007702,0.012354117307179785,0.014962190175288714,61.7119212300423,-43.05910756243739
Servizi di informazione e comunicazione,Tempo determinato,31070.79891560065,30240.572297051018,0.002195189724581564,0.0017063958787726947,-14.984310463423611,-1.6196001112273695
Sanita' e assistenza sociale,Tempo determinato,26075.353444550856,22809.714003291356,0.005285322219541184,0.006736968032299793,35.48190173354117,-19.63023261034075
"Attivita' artistiche, sportive, di intrattenimento e divertimento",Tempo indeterminato,35412.57342318361,31931.155411663636,0.006165919589994101,0.00637934420698126,7.186404766532173,-21.83765367102974
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Stagionale,22185.661600058113,20788.596283989777,6.624704577248462e-4,0.0013403176749849973,14.564990560260986,-1.3990129178210948
"Attivita' artistiche, sportive, di intrattenimento e divertimento",Stagionale,20659.799515260434,20867.976341123227,0.001008699372256418,0.0015254866438242426,10.730512989550345,0.2637794004867739
Altre attivita' di servizi,Tempo determinato,22452.088139487747,20655.049787599375,0.003161949996013966,0.00311178840188903,-1.0811613782930862,-5.637074255373197
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Stagionale,22876.15847616087,22830.61677772083,5.922025627651557e-4,8.804587898582595e-4,6.587631293638191,-0.033533749612738424
Servizi di informazione e comunicazione,Stagionale,34165.85107526986,38208.08617818059,1.2761070833368203e-4,2.831153661733571e-4,5.627242174553963,0.8301256780265408
