anno,tipologia_contrattuale,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2014,Stagionale,2251,117051,104819,695323,49505721,21992.768103065304,422.94146141425534,472.29720756733036,24559.45479350118,59203069.727264,26300.786196030207,505.78867098328084,564.8123882813612,29370.244190630783,anno_intero
2014,Tempo determinato,275681,14335215,12838218,85359778,6392055837,23186.421396469108,445.8988467909271,497.89276338818985,25890.423696185873,7644153438.720262,27728.256349622432,533.243026959851,595.4216884866935,30961.927801308062,anno_intero
2014,Tempo indeterminato,7242419,376601672,348070271,2252205431,220591267355,30458.230510413716,585.7416038105109,633.7549791921184,32955.258917990155,263801433827.08435,36424.492124397155,700.4786580636433,757.8970564454911,39410.64693516553,anno_intero
2015,Stagionale,2233,116113,102652,689680,50547216,22636.460367218988,435.3277927536107,492.41335775240617,25605.49460312512,60505017.55199999,27095.843059561124,521.0873679260719,589.4187892296301,30649.777039940764,anno_intero
2015,Tempo determinato,232524,12091141,10742821,71999882,5549423800,23866.025872598097,458.9660975750758,516.570442717048,26861.663021286495,6642660288.599999,28567.63296949992,549.3824187973656,618.3348199323063,32153.41063647993,anno_intero
2015,Tempo indeterminato,7439889,386871870,356849666,2313543885,229108665746,30794.634939580417,592.2081275798108,642.03133020727,33385.62917077804,274243072897.96198,36861.178022677756,708.8731287130335,768.511502258102,39962.59811742131,anno_intero
2016,Stagionale,2559,133067,115266,790809,60337490,23578.542399374757,453.4369152381883,523.4630333315982,27220.07773324311,72296271.80180182,28251.76701907066,543.3072948349464,627.2124633612844,32615.048094786795,anno_intero
2016,Tempo determinato,281289,14627002,12932625,87136603,6594773451,23444.83236457878,450.8629622803087,509.93309177371185,26516.520772233016,7901845666.5135145,28091.5558962971,540.2231890385682,611.0009117648981,31772.0474117747,anno_intero
2016,Tempo indeterminato,7903271,410969619,377388340,2458297494,240546177375,30436.28105059285,585.3137707850857,637.3969513075047,33144.641467990245,288221996314.1892,36468.69711467432,701.321905535283,763.7278785936769,39713.8496868712,anno_intero
2017,Stagionale,3301,171652,152150,1020097,78944898,23915.449257800665,459.91248572693587,518.862293789024,26980.839277029245,93561428.61980197,28343.35916988851,545.0645994209328,614.9288768964967,31976.301598617825,anno_intero
2017,Tempo determinato,428301,22271568,19590593,132700298,9587983826,22386.087882120286,430.50331373166,489.41774381204283,25449.722678226226,11363184791.803959,26530.838806829684,510.2103629077198,580.0327122208072,30161.701035481972,anno_intero
2017,Tempo indeterminato,7977114,414809632,381070842,2481309044,245106832659,30726.25421411804,590.8899257647903,643.205424410299,33446.68206933555,290487998705.7653,36415.17454881118,700.2923179608455,762.293953484285,39639.28558118282,anno_intero
2018,Stagionale,3834,199365,176843,1183844,90757094,23671.646844027127,455.2308278785143,513.2071611542442,26686.7723800207,106401803.6415279,27752.165790695857,533.7035269055647,601.6738216470424,31287.0387256462,anno_intero
2018,Tempo determinato,497894,25890386,22675153,154209539,10931757237,21955.993117008842,422.232300321826,482.10290960330013,25069.351299371607,12816173763.6523,25740.76764060684,495.0167125222583,565.2078186044566,29390.806567431744,anno_intero
2018,Tempo indeterminato,8045843,418383464,384963405,2502212404,250671924021,31155.45804473192,599.1439566574265,651.157800365466,33860.20561900423,293882755194.06165,36526.03651277581,702.424403642448,763.4043947477597,39697.0285268835,anno_intero
2019,Stagionale,4266,221823,197895,1316216,100027245,23447.54922644163,450.93270310112115,505.4561509891609,26283.719851436366,116698452.49999999,27355.474097515234,526.0881536179746,589.6988428206877,30664.339826675758,anno_intero
2019,Tempo determinato,349541,18176082,16044141,108104561,7928185134,22681.702959023405,436.1877952575258,494.1483083450837,25695.712033944354,9249549322.999998,26461.986785527304,508.88576113378,576.5063597359309,29978.330706268407,anno_intero
2019,Tempo indeterminato,8350210,434210616,399153987,2596564401,261134772487,31272.838945008567,601.4011699958069,654.2206291102386,34019.47271373241,304657234568.1666,36484.978769176654,701.6346983284412,763.2574006286117,39689.38483268781,anno_intero
2020,Stagionale,1280,66558,60400,394666,32783088,25611.7875,492.54917515550346,542.7663576158941,28223.850596026492,38359097.102639295,29968.04461143695,576.3258677039469,635.0843891165447,33024.38823406032,anno_intero
2020,Tempo determinato,208779,10856474,9775340,64559550,5071495859,24291.216353177282,467.14023899472335,518.8050603866463,26977.863140105612,5934096327.686217,28422.86019037459,546.5951770055561,607.0475633263105,31566.473292968152,anno_intero
2020,Tempo indeterminato,4939612,256859692,240691380,1532959268,176186093993,35668.00266761843,685.9234807188043,732.0000159249576,38064.00082809779,206153230214.6833,41734.701068562325,802.5908176152578,856.5044174605808,44538.2297079502,anno_intero
2021,Stagionale,3078,160056,141130,948959,73288948,23810.574398960365,457.89566151846856,519.3009849075321,27003.65121519167,84190854.85220729,27352.454467903608,526.008739767377,596.5482523361957,31020.509121482177,anno_intero
2021,Tempo determinato,393766,20475779,18409429,121764248,9232893272,23447.665039642834,450.91780254123665,501.5306706144987,26079.594871953934,10606308298.06526,26935.561470683755,517.9929075257776,576.1345611569626,29958.997180162052,anno_intero
2021,Tempo indeterminato,7469682,388423199,361703791,2321329480,247271347520,33103.329903468446,636.6029324628471,683.6294052555286,35548.72907328748,284053553724.9904,38027.52964918592,731.2991460249789,785.3209194730017,40836.68781259608,anno_intero
