"","categoria","ripartizione_geografica","totale_pop","totale_str","perc"
"1","Altri comuni","Centro",6821010,674466,9.88806643004482
"2","Altri comuni","Nord-est",8362401,820485,9.81159597584474
"3","Altri comuni","Nord-ovest",11537173,1119870,9.70662397105426
"4","Altri comuni","Sud-Isole",14712542,637035,4.32987718913564
"5","Capoluoghi Provincia","Centro",1522543,181990,11.9530285844144
"6","Capoluoghi Provincia","Nord-est",2247058,334594,14.8903143577068
"7","Capoluoghi Provincia","Nord-ovest",1546770,225449,14.5754701733289
"8","Capoluoghi Provincia","Sud-Isole",2793524,140038,5.01295138327074
"9","Capoluoghi Regione","Centro",3380322,444840,13.1596930706601
"10","Capoluoghi Regione","Nord-est",959173,137394,14.3242147141339
"11","Capoluoghi Regione","Nord-ovest",2813899,469472,16.6840387661391
"12","Capoluoghi Regione","Sud-Isole",2269766,120348,5.30222058132865
"13","Altri comuni","Italia",41433126,3251856,7.84844474442986
"14","Capoluoghi Provincia","Italia",8109895,882071,10.876478672042
"15","Capoluoghi Regione","Italia",9423160,1172054,12.4380144240361
