DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_316(1.0),A,001001,FJAN,9,2020-01-01,269.0,,,,,,,,
IT1:29_316(1.0),A,001002,FJAN,9,2020-01-01,278.0,,,,,,,,
IT1:29_316(1.0),A,001003,FJAN,9,2020-01-01,2.0,,,,,,,,
IT1:29_316(1.0),A,001004,FJAN,9,2020-01-01,114.0,,,,,,,,
IT1:29_316(1.0),A,001006,FJAN,9,2020-01-01,319.0,,,,,,,,
IT1:29_316(1.0),A,001007,FJAN,9,2020-01-01,11.0,,,,,,,,
IT1:29_316(1.0),A,001008,FJAN,9,2020-01-01,915.0,,,,,,,,
IT1:29_316(1.0),A,001009,FJAN,9,2020-01-01,173.0,,,,,,,,
IT1:29_316(1.0),A,001010,FJAN,9,2020-01-01,38.0,,,,,,,,
IT1:29_316(1.0),A,001011,FJAN,9,2020-01-01,16.0,,,,,,,,
IT1:29_316(1.0),A,001012,FJAN,9,2020-01-01,44.0,,,,,,,,
IT1:29_316(1.0),A,001013,FJAN,9,2020-01-01,736.0,,,,,,,,
IT1:29_316(1.0),A,001014,FJAN,9,2020-01-01,73.0,,,,,,,,
IT1:29_316(1.0),A,001015,FJAN,9,2020-01-01,26.0,,,,,,,,
IT1:29_316(1.0),A,001016,FJAN,9,2020-01-01,124.0,,,,,,,,
IT1:29_316(1.0),A,001017,FJAN,9,2020-01-01,22.0,,,,,,,,
IT1:29_316(1.0),A,001018,FJAN,9,2020-01-01,144.0,,,,,,,,
IT1:29_316(1.0),A,001019,FJAN,9,2020-01-01,1.0,,,,,,,,
IT1:29_316(1.0),A,001020,FJAN,9,2020-01-01,406.0,,,,,,,,
IT1:29_316(1.0),A,001021,FJAN,9,2020-01-01,85.0,,,,,,,,
IT1:29_316(1.0),A,001022,FJAN,9,2020-01-01,358.0,,,,,,,,
IT1:29_316(1.0),A,001023,FJAN,9,2020-01-01,21.0,,,,,,,,
IT1:29_316(1.0),A,001024,FJAN,9,2020-01-01,1101.0,,,,,,,,
IT1:29_316(1.0),A,001025,FJAN,9,2020-01-01,370.0,,,,,,,,
IT1:29_316(1.0),A,001026,FJAN,9,2020-01-01,22.0,,,,,,,,
IT1:29_316(1.0),A,001027,FJAN,9,2020-01-01,123.0,,,,,,,,
IT1:29_316(1.0),A,001028,FJAN,9,2020-01-01,497.0,,,,,,,,
IT1:29_316(1.0),A,001029,FJAN,9,2020-01-01,84.0,,,,,,,,
IT1:29_316(1.0),A,001030,FJAN,9,2020-01-01,268.0,,,,,,,,
IT1:29_316(1.0),A,001031,FJAN,9,2020-01-01,73.0,,,,,,,,
IT1:29_316(1.0),A,001032,FJAN,9,2020-01-01,125.0,,,,,,,,
IT1:29_316(1.0),A,001033,FJAN,9,2020-01-01,182.0,,,,,,,,
IT1:29_316(1.0),A,001034,FJAN,9,2020-01-01,476.0,,,,,,,,
IT1:29_316(1.0),A,001035,FJAN,9,2020-01-01,190.0,,,,,,,,
IT1:29_316(1.0),A,001036,FJAN,9,2020-01-01,17.0,,,,,,,,
IT1:29_316(1.0),A,001037,FJAN,9,2020-01-01,21.0,,,,,,,,
IT1:29_316(1.0),A,001038,FJAN,9,2020-01-01,326.0,,,,,,,,
IT1:29_316(1.0),A,001039,FJAN,9,2020-01-01,93.0,,,,,,,,
IT1:29_316(1.0),A,001040,FJAN,9,2020-01-01,67.0,,,,,,,,
IT1:29_316(1.0),A,001041,FJAN,9,2020-01-01,65.0,,,,,,,,
IT1:29_316(1.0),A,001042,FJAN,9,2020-01-01,53.0,,,,,,,,
IT1:29_316(1.0),A,001043,FJAN,9,2020-01-01,112.0,,,,,,,,
IT1:29_316(1.0),A,001044,FJAN,9,2020-01-01,395.0,,,,,,,,
IT1:29_316(1.0),A,001045,FJAN,9,2020-01-01,333.0,,,,,,,,
IT1:29_316(1.0),A,001046,FJAN,9,2020-01-01,226.0,,,,,,,,
IT1:29_316(1.0),A,001047,FJAN,9,2020-01-01,685.0,,,,,,,,
IT1:29_316(1.0),A,001048,FJAN,9,2020-01-01,220.0,,,,,,,,
IT1:29_316(1.0),A,001049,FJAN,9,2020-01-01,63.0,,,,,,,,
IT1:29_316(1.0),A,001050,FJAN,9,2020-01-01,83.0,,,,,,,,
