CNTR_ID,paese,anno,tasso_occupazione
MT,Malta,2025,83.6
NL,Netherlands,2025,83.4
CZ,Czechia,2025,82.9
CH,Switzerland,2025,82.4
SE,Sweden,2025,81.8
EE,Estonia,2025,81.7
CY,Cyprus,2025,81.3
DE,Germany,2025,81.1
HU,Hungary,2025,81.1
IE,Ireland,2025,80.2
LT,Lithuania,2025,80
DK,Denmark,2025,79.8
PT,Portugal,2025,79.6
NO,Norway,2025,79.5
PL,Poland,2025,78.8
SI,Slovenia,2025,78.3
LV,Latvia,2025,78.2
SK,Slovakia,2025,78.1
AT,Austria,2025,77.6
BG,Bulgaria,2025,77
FI,Finland,2025,76.3
FR,France,2025,75.5
HR,Croatia,2025,74.4
LU,Luxembourg,2025,73.9
BE,Belgium,2025,72.8
ES,Spain,2025,72.4
RS,Serbia,2025,71.6
EL,Greece,2025,71
RO,Romania,2025,69
IT,Italy,2025,67.6
MK,North Macedonia,2025,63.7
BA,Bosnia and Herzegovina,2025,59.5
