id,lon,lat,paese,t_2026,media_1991_2020,anomalia
eu_-2425_6550,-24.25,65.5,Islanda,8.3,7.23,1.06
eu_-2400_6475,-24,64.75,Islanda,8.98,8.15,0.83
eu_-2400_6500,-24,65,Islanda,9.36,8.43,0.92
eu_-2400_6550,-24,65.5,Islanda,8.46,7.41,1.05
eu_-2400_6575,-24,65.75,Islanda,8.13,7.05,1.08
eu_-2375_6475,-23.75,64.75,Islanda,8.92,8.1,0.82
eu_-2375_6500,-23.75,65,Islanda,9.02,8.16,0.86
eu_-2375_6550,-23.75,65.5,Islanda,8.34,7.26,1.08
eu_-2375_6575,-23.75,65.75,Islanda,8.39,7.19,1.2
eu_-2375_6600,-23.75,66,Islanda,7.46,6.42,1.04
eu_-2350_6475,-23.5,64.75,Islanda,8.83,8,0.83
eu_-2350_6500,-23.5,65,Islanda,8.83,7.96,0.87
eu_-2350_6550,-23.5,65.5,Islanda,8.41,7.19,1.22
eu_-2350_6575,-23.5,65.75,Islanda,8.54,7.19,1.35
eu_-2350_6600,-23.5,66,Islanda,7,5.95,1.06
eu_-2350_6625,-23.5,66.25,Islanda,7.03,6.17,0.86
eu_-2325_6475,-23.25,64.75,Islanda,8.74,7.94,0.81
eu_-2325_6500,-23.25,65,Islanda,8.74,7.93,0.82
eu_-2325_6550,-23.25,65.5,Islanda,8.54,7.15,1.39
eu_-2325_6575,-23.25,65.75,Islanda,7.8,6.28,1.52
eu_-2325_6600,-23.25,66,Islanda,6.77,5.57,1.2
eu_-2325_6625,-23.25,66.25,Islanda,7.03,6.17,0.86
eu_-2300_6475,-23,64.75,Islanda,8.69,7.95,0.75
eu_-2300_6500,-23,65,Islanda,8.66,7.93,0.73
eu_-2300_6550,-23,65.5,Islanda,8.46,7.04,1.42
eu_-2300_6575,-23,65.75,Islanda,7.14,5.56,1.58
eu_-2300_6600,-23,66,Islanda,7.2,5.78,1.42
eu_-2300_6625,-23,66.25,Islanda,6.82,5.94,0.89
eu_-2300_6650,-23,66.5,Islanda,6.32,5.65,0.67
eu_-2275_6375,-22.75,63.75,Islanda,10.21,9.28,0.93
eu_-2275_6400,-22.75,64,Islanda,10.26,9.29,0.97
eu_-2275_6475,-22.75,64.75,Islanda,9.06,8.34,0.72
eu_-2275_6500,-22.75,65,Islanda,8.67,7.98,0.69
eu_-2275_6550,-22.75,65.5,Islanda,8.41,7.11,1.31
eu_-2275_6575,-22.75,65.75,Islanda,7.4,5.87,1.54
eu_-2275_6600,-22.75,66,Islanda,8.15,6.6,1.55
eu_-2275_6625,-22.75,66.25,Islanda,6.68,5.58,1.1
eu_-2275_6650,-22.75,66.5,Islanda,6.11,5.36,0.75
eu_-2250_6375,-22.5,63.75,Islanda,10.18,9.29,0.89
eu_-2250_6400,-22.5,64,Islanda,10.16,9.27,0.89
eu_-2250_6475,-22.5,64.75,Islanda,9.87,9.09,0.78
eu_-2250_6500,-22.5,65,Islanda,9.05,8.36,0.68
eu_-2250_6525,-22.5,65.25,Islanda,8.81,7.96,0.86
eu_-2250_6550,-22.5,65.5,Islanda,8.04,6.85,1.18
eu_-2250_6575,-22.5,65.75,Islanda,7.57,6.14,1.43
eu_-2250_6600,-22.5,66,Islanda,7.8,6.38,1.41
eu_-2250_6625,-22.5,66.25,Islanda,6.09,5.1,1
eu_-2250_6650,-22.5,66.5,Islanda,6.11,5.49,0.62
eu_-2225_6375,-22.25,63.75,Islanda,10.08,9.26,0.82
eu_-2225_6400,-22.25,64,Islanda,10.12,9.3,0.82
eu_-2225_6450,-22.25,64.5,Islanda,10.67,9.62,1.04
eu_-2225_6475,-22.25,64.75,Islanda,10.11,9.25,0.87
eu_-2225_6500,-22.25,65,Islanda,9.08,8.39,0.69
eu_-2225_6525,-22.25,65.25,Islanda,8.01,7.2,0.81
eu_-2225_6550,-22.25,65.5,Islanda,8,6.85,1.15
eu_-2225_6575,-22.25,65.75,Islanda,7.1,5.77,1.33
eu_-2225_6600,-22.25,66,Islanda,6.48,5.36,1.12
eu_-2225_6625,-22.25,66.25,Islanda,4.85,4.25,0.6
eu_-2225_6650,-22.25,66.5,Islanda,5.76,4.96,0.8
eu_-2200_6375,-22,63.75,Islanda,9.88,9.13,0.75
eu_-2200_6400,-22,64,Islanda,9.97,9.21,0.76
eu_-2200_6425,-22,64.25,Islanda,10.7,9.79,0.91
eu_-2200_6450,-22,64.5,Islanda,10.41,9.44,0.97
eu_-2200_6475,-22,64.75,Islanda,9.51,8.69,0.82
eu_-2200_6500,-22,65,Islanda,8.95,8.23,0.73
eu_-2200_6525,-22,65.25,Islanda,7.89,7.03,0.86
eu_-2200_6550,-22,65.5,Islanda,7.91,6.88,1.03
eu_-2200_6575,-22,65.75,Islanda,6.83,5.61,1.22
eu_-2200_6600,-22,66,Islanda,6.08,4.94,1.13
eu_-2200_6625,-22,66.25,Islanda,5.99,5,1
eu_-2175_6375,-21.75,63.75,Islanda,9.64,8.97,0.67
eu_-2175_6400,-21.75,64,Islanda,9.56,8.89,0.67
eu_-2175_6425,-21.75,64.25,Islanda,10.12,9.27,0.84
eu_-2175_6450,-21.75,64.5,Islanda,10.03,9.11,0.92
eu_-2175_6475,-21.75,64.75,Islanda,9.4,8.56,0.84
eu_-2175_6500,-21.75,65,Islanda,8.88,8.1,0.78
eu_-2175_6525,-21.75,65.25,Islanda,8.09,7.26,0.84
eu_-2175_6550,-21.75,65.5,Islanda,7.39,6.6,0.79
eu_-2175_6575,-21.75,65.75,Islanda,6.97,6.05,0.92
eu_-2175_6600,-21.75,66,Islanda,6.19,5.28,0.91
eu_-2175_6625,-21.75,66.25,Islanda,6.11,5.2,0.91
eu_-2150_6375,-21.5,63.75,Islanda,9.55,8.95,0.6
eu_-2150_6400,-21.5,64,Islanda,9.4,8.83,0.57
eu_-2150_6425,-21.5,64.25,Islanda,9.54,8.77,0.77
eu_-2150_6450,-21.5,64.5,Islanda,9.72,8.83,0.89
eu_-2150_6475,-21.5,64.75,Islanda,9.73,8.88,0.85
eu_-2150_6500,-21.5,65,Islanda,8.23,7.52,0.7
eu_-2150_6525,-21.5,65.25,Islanda,8.2,7.49,0.72
eu_-2150_6550,-21.5,65.5,Islanda,7.27,6.66,0.61
eu_-2150_6575,-21.5,65.75,Islanda,7,6.36,0.64
eu_-2150_6600,-21.5,66,Islanda,6.19,5.59,0.6
eu_-2125_6375,-21.25,63.75,Islanda,9.72,9.16,0.56
eu_-2125_6400,-21.25,64,Islanda,9.69,9.13,0.56
eu_-2125_6425,-21.25,64.25,Islanda,9.22,8.57,0.65
eu_-2125_6450,-21.25,64.5,Islanda,9.31,8.44,0.87
eu_-2125_6475,-21.25,64.75,Islanda,9.6,8.75,0.85
eu_-2125_6500,-21.25,65,Islanda,8.01,7.32,0.69
eu_-2125_6525,-21.25,65.25,Islanda,8.33,7.72,0.61
eu_-2125_6550,-21.25,65.5,Islanda,7.67,7.12,0.55
eu_-2125_6575,-21.25,65.75,Islanda,7.16,6.57,0.59
eu_-2125_6600,-21.25,66,Islanda,6.59,5.97,0.62
eu_-2100_6375,-21,63.75,Islanda,9.98,9.49,0.49
eu_-2100_6400,-21,64,Islanda,10.06,9.53,0.53
eu_-2100_6425,-21,64.25,Islanda,8.96,8.4,0.56
eu_-2100_6450,-21,64.5,Islanda,8.32,7.28,1.04
eu_-2100_6475,-21,64.75,Islanda,8.75,7.78,0.97
eu_-2100_6500,-21,65,Islanda,8.28,7.38,0.9
eu_-2100_6525,-21,65.25,Islanda,8.59,8.03,0.56
eu_-2100_6550,-21,65.5,Islanda,7.67,7.1,0.57
eu_-2075_6375,-20.75,63.75,Islanda,10.14,9.7,0.44
