id,lon,lat,regione,t_2026,media_1991_2020,anomalia
it_675_4450,6.75,44.5,Piemonte,13.8,10.28,3.52
it_675_4475,6.75,44.75,Piemonte,13.06,9.54,3.52
it_675_4500,6.75,45,Piemonte,12.44,9.1,3.35
it_675_4525,6.75,45.25,Piemonte,11.67,8.5,3.18
it_675_4575,6.75,45.75,Valle d'Aosta,10.44,6.99,3.45
it_700_4425,7,44.25,Piemonte,13.94,10.61,3.33
it_700_4450,7,44.5,Piemonte,13.67,10.33,3.34
it_700_4475,7,44.75,Piemonte,13.78,9.9,3.87
it_700_4500,7,45,Piemonte,14.06,10.34,3.72
it_700_4525,7,45.25,Piemonte,13.41,10.22,3.2
it_700_4550,7,45.5,Valle d'Aosta,9.95,6.56,3.39
it_700_4575,7,45.75,Valle d'Aosta,11.42,7.83,3.59
it_700_4600,7,46,Valle d'Aosta,8.83,5.64,3.19
it_725_4400,7.25,44,Piemonte,14.66,11.51,3.15
it_725_4425,7.25,44.25,Piemonte,15.16,11.56,3.59
it_725_4450,7.25,44.5,Piemonte,17.83,14.01,3.81
it_725_4475,7.25,44.75,Piemonte,19.26,15.19,4.07
it_725_4500,7.25,45,Piemonte,19.33,15.12,4.21
it_725_4525,7.25,45.25,Piemonte,14.96,11.4,3.56
it_725_4550,7.25,45.5,Piemonte,10.01,7.24,2.77
it_725_4575,7.25,45.75,Valle d'Aosta,15.23,11.01,4.22
it_725_4600,7.25,46,Valle d'Aosta,10.28,6.33,3.95
it_750_4375,7.5,43.75,Liguria,22.64,19.12,3.52
it_750_4400,7.5,44,Liguria,19.93,16.29,3.63
it_750_4425,7.5,44.25,Piemonte,18.22,14.3,3.92
it_750_4450,7.5,44.5,Piemonte,21.96,18.01,3.95
it_750_4475,7.5,44.75,Piemonte,23.91,19.43,4.48
it_750_4500,7.5,45,Piemonte,23.69,19,4.68
it_750_4525,7.5,45.25,Piemonte,21.29,17.03,4.26
it_750_4550,7.5,45.5,Piemonte,13.79,10.32,3.47
it_750_4575,7.5,45.75,Valle d'Aosta,16.3,12.27,4.03
it_750_4600,7.5,46,Valle d'Aosta,9.47,5.97,3.5
it_775_4375,7.75,43.75,Liguria,22.92,19.73,3.19
it_775_4400,7.75,44,Liguria,20.24,16.72,3.52
it_775_4425,7.75,44.25,Piemonte,18.57,14.85,3.72
it_775_4450,7.75,44.5,Piemonte,22.87,18.91,3.96
it_775_4475,7.75,44.75,Piemonte,24.19,19.51,4.68
it_775_4500,7.75,45,Piemonte,24.82,19.9,4.92
it_775_4525,7.75,45.25,Piemonte,24.55,19.44,5.11
it_775_4550,7.75,45.5,Piemonte,19.55,15.21,4.35
it_775_4575,7.75,45.75,Valle d'Aosta,15.12,11.95,3.18
it_775_4600,7.75,46,Valle d'Aosta,9.5,6.39,3.11
it_800_4375,8,43.75,Liguria,21.97,18.61,3.36
it_800_4400,8,44,Liguria,21.91,18.47,3.44
it_800_4425,8,44.25,Piemonte,20.12,16.63,3.49
it_800_4450,8,44.5,Piemonte,23.02,19.13,3.9
it_800_4475,8,44.75,Piemonte,25.17,20.52,4.65
it_800_4500,8,45,Piemonte,25.84,20.86,4.98
it_800_4525,8,45.25,Piemonte,25.32,20.4,4.92
it_800_4550,8,45.5,Piemonte,22.5,17.9,4.6
it_800_4575,8,45.75,Valle d'Aosta,15.54,12.56,2.98
it_800_4600,8,46,Piemonte,11.83,8.97,2.87
it_800_4625,8,46.25,Piemonte,13.8,9.77,4.03
it_825_3900,8.25,39,Sardegna,25.95,22.93,3.02
it_825_3925,8.25,39.25,Sardegna,25.57,22.53,3.04
it_825_3950,8.25,39.5,Sardegna,25.3,22.2,3.1
it_825_4000,8.25,40,Sardegna,24.5,21.36,3.14
it_825_4050,8.25,40.5,Sardegna,24.98,22.08,2.89
it_825_4075,8.25,40.75,Sardegna,24.1,21.45,2.66
it_825_4100,8.25,41,Sardegna,23.97,21.22,2.76
it_825_4400,8.25,44,Liguria,22.83,19.54,3.29
it_825_4425,8.25,44.25,Liguria,21.45,18.06,3.38
it_825_4450,8.25,44.5,Liguria,22.7,18.82,3.88
it_825_4475,8.25,44.75,Piemonte,24.69,20.32,4.37
it_825_4500,8.25,45,Piemonte,25.51,20.88,4.63
it_825_4525,8.25,45.25,Piemonte,25.73,20.93,4.8
it_825_4550,8.25,45.5,Piemonte,24.11,19.75,4.36
it_825_4575,8.25,45.75,Piemonte,20.14,16.82,3.32
it_825_4600,8.25,46,Piemonte,17.1,13.87,3.23
it_825_4625,8.25,46.25,Piemonte,14.17,10.42,3.75
it_825_4650,8.25,46.5,Piemonte,10.77,7.28,3.5
it_850_3875,8.5,38.75,Sardegna,25.54,22.62,2.93
it_850_3900,8.5,39,Sardegna,25.93,22.99,2.94
it_850_3925,8.5,39.25,Sardegna,25.97,22.87,3.1
it_850_3950,8.5,39.5,Sardegna,24.82,21.73,3.09
it_850_3975,8.5,39.75,Sardegna,25.11,22.01,3.1
it_850_4000,8.5,40,Sardegna,24.68,21.54,3.14
it_850_4025,8.5,40.25,Sardegna,23.7,20.52,3.18
it_850_4050,8.5,40.5,Sardegna,23.95,20.92,3.03
it_850_4075,8.5,40.75,Sardegna,23.84,20.98,2.86
it_850_4425,8.5,44.25,Liguria,22.69,19.27,3.42
it_850_4450,8.5,44.5,Liguria,22.64,18.82,3.82
it_850_4475,8.5,44.75,Piemonte,24.86,20.61,4.24
it_850_4500,8.5,45,Piemonte,25.55,21.03,4.51
