anno,media,media_massime,media_minime
1961,18.61,23.07,13.71
1962,17.26,21.8,12.29
1963,17.82,22.15,13.12
1964,19.46,24.03,14.56
1965,18.29,22.97,13.11
1966,19.01,23.63,13.92
1967,16.78,21.26,11.82
1968,17.23,21.36,12.78
1969,16.63,21.01,11.89
1970,18.58,23.12,13.64
1971,17.1,21.42,12.59
1972,17.66,21.91,13.07
1973,18.49,23.03,13.62
1974,17.13,21.57,12.38
1975,16.59,21.09,11.7
1976,18.14,22.82,12.96
1977,16.95,21.37,12.16
1978,17.07,21.62,12.06
1979,19.04,23.67,13.97
1980,16.55,20.92,11.82
1981,18.6,23.25,13.58
1982,19.86,24.7,14.53
1983,17.9,22.49,12.82
1984,16.84,21.42,11.78
1985,17.76,22.31,12.78
1986,17.53,21.98,12.62
1987,17.57,22.22,12.37
1988,17.62,22.06,12.74
1989,17.09,21.57,12.12
1990,18.51,23.15,13.43
1991,17.87,22.51,12.77
1992,17.1,21.29,12.71
1993,19.41,24.13,14.24
1994,18.63,23.25,13.48
1995,17.28,21.86,12.13
1996,18.97,23.65,13.72
1997,19.2,23.75,14.37
1998,19.75,24.66,14.29
1999,19.31,23.99,14.23
2000,19.85,24.66,14.56
2001,18.8,23.71,13.34
2002,20.4,25.12,15.17
2003,22.74,27.87,17
2004,18.79,23.43,13.64
2005,19.76,24.48,14.52
2006,19.49,24.69,13.65
2007,19.54,24.14,14.58
2008,19.22,23.69,14.29
2009,18.99,23.51,14.04
2010,18.6,22.94,13.82
2011,19.08,23.48,14.33
2012,20.88,25.83,15.39
2013,18.15,22.73,13.01
2014,19.2,23.9,13.95
2015,19.68,24.25,14.58
2016,18.98,23.39,14.24
2017,21.67,26.53,16.37
2018,19.47,23.72,14.81
2019,21.7,26.77,15.99
2020,18.6,22.91,13.85
2021,21.27,26.24,15.77
2022,22.69,27.78,17.06
2023,19.76,24,15.09
2024,20.41,25.05,15.41
2025,22.82,27.76,17.3
2026,22.63,27.59,17.06
