anno,notti,media_1961_1990,media_1991_2020
1961,2.5,0.8,
1962,1.3,0.8,
1963,1.3,0.8,
1964,1.2,0.8,
1965,2.5,0.8,
1966,1.8,0.8,
1967,0.2,0.8,
1968,0.4,0.8,
1969,0.1,0.8,
1970,0.9,0.8,
1971,0.5,0.8,
1972,0.7,0.8,
1973,0.4,0.8,
1974,0.4,0.8,
1975,0.4,0.8,
1976,0.6,0.8,
1977,0.1,0.8,
1978,0.3,0.8,
1979,1.2,0.8,
1980,0.1,0.8,
1981,1.2,0.8,
1982,2.3,0.8,
1983,0.1,0.8,
1984,0.2,0.8,
1985,0.4,0.8,
1986,0.9,0.8,
1987,0.6,0.8,
1988,0.4,0.8,
1989,0.2,0.8,
1990,1.3,0.8,
1991,0.6,,2.9
1992,0.1,,2.9
1993,1.3,,2.9
1994,1.4,,2.9
1995,0.4,,2.9
1996,1.3,,2.9
1997,2.3,,2.9
1998,2.4,,2.9
1999,1.9,,2.9
2000,1.5,,2.9
2001,1.5,,2.9
2002,6.1,,2.9
2003,11.4,,2.9
2004,1.3,,2.9
2005,4.7,,2.9
2006,5.5,,2.9
2007,3.2,,2.9
2008,3.6,,2.9
2009,1.6,,2.9
2010,1.4,,2.9
2011,1.9,,2.9
2012,5.4,,2.9
2013,2,,2.9
2014,2.4,,2.9
2015,1.7,,2.9
2016,2.7,,2.9
2017,7.9,,2.9
2018,1.8,,2.9
2019,7.3,,2.9
2020,1.7,,2.9
2021,6.1,,
2022,9.8,,
2023,3.9,,
2024,5.1,,
2025,11.1,,
2026,11.2,,
