ilon,ilat,lon,lat,regione,cod_reg,area_kmq,pop
66,451,6.6,45.1,Piemonte,1,4.971974874065876,0
67,449,6.7,44.9,Piemonte,1,0.027795773183722516,32
67,450,6.7,45,Piemonte,1,22.807488001517548,18
67,451,6.7,45.1,Piemonte,1,72.59362714715279,3110
68,449,6.8,44.9,Piemonte,1,57.91692714157588,520
68,450,6.8,45,Piemonte,1,84.60188766049791,3494
68,451,6.8,45.1,Piemonte,1,83.60396547292399,2
68,452,6.8,45.2,Piemonte,1,2.256854448176049,0
68,457,6.8,45.7,Valle d'Aosta,2,14.548142481428929,0
68,458,6.8,45.8,Valle d'Aosta,2,32.242731108653786,0
69,443,6.9,44.3,Piemonte,1,5.307899601798158,0
69,444,6.9,44.4,Piemonte,1,38.70582771661246,2
69,445,6.9,44.5,Piemonte,1,66.19292411418955,12
69,446,6.9,44.6,Piemonte,1,13.306760204770514,0
69,447,6.9,44.7,Piemonte,1,0.11088706857848167,0
69,448,6.9,44.8,Piemonte,1,1.07355241930449,0
69,449,6.9,44.9,Piemonte,1,84.812437937212,252
69,450,6.9,45,Piemonte,1,87.6127901655755,2864
69,451,6.9,45.1,Piemonte,1,81.06006610635973,845
69,452,6.9,45.2,Piemonte,1,10.465487961432814,0
69,456,6.9,45.6,Valle d'Aosta,2,0.24363654959721584,0
69,457,6.9,45.7,Valle d'Aosta,2,70.42038836925936,170
69,458,6.9,45.8,Valle d'Aosta,2,80.97108840961933,1
69,459,6.9,45.9,Valle d'Aosta,2,0.25266804421702027,0
70,442,7,44.2,Piemonte,1,8.386968060953844,0
70,443,7,44.3,Piemonte,1,71.05547086302519,80
70,444,7,44.4,Piemonte,1,88.50859077924895,100
70,445,7,44.5,Piemonte,1,88.35906314672017,163
70,446,7,44.6,Piemonte,1,86.15270292252684,258
70,447,7,44.7,Piemonte,1,36.25006620650708,2
70,448,7,44.8,Piemonte,1,33.334484073740356,0
70,449,7,44.9,Piemonte,1,87.32904468270635,206
70,450,7,45,Piemonte,1,87.60730199297643,226
70,451,7,45.1,Piemonte,1,87.45612812571883,5623
70,452,7,45.2,Piemonte,1,53.98471840533471,1612
70,455,7,45.5,Valle d'Aosta,2,23.97603894508044,0
70,456,7,45.6,Valle d'Aosta,2,53.98681423280399,2
70,457,7,45.7,Valle d'Aosta,2,85.82643826922727,810
70,458,7,45.8,Valle d'Aosta,2,86.39029421145582,5060
70,459,7,45.9,Valle d'Aosta,2,34.25924561118135,0
71,442,7.1,44.2,Piemonte,1,26.910657322687985,0
71,443,7.1,44.3,Piemonte,1,88.65243012885713,164
71,444,7.1,44.4,Piemonte,1,88.50320593660236,29
71,445,7.1,44.5,Piemonte,1,88.35370585100246,406
71,446,7.1,44.6,Piemonte,1,88.20393029169107,196
71,447,7.1,44.7,Piemonte,1,81.86313372471547,39
71,448,7.1,44.8,Piemonte,1,87.90355443558717,821
71,449,7.1,44.9,Piemonte,1,87.75295498313928,671
71,450,7.1,45,Piemonte,1,87.6020817457049,1280
71,451,7.1,45.1,Piemonte,1,87.45093514794516,9588
71,452,7.1,45.2,Piemonte,1,72.7657493614564,10
71,453,7.1,45.3,Piemonte,1,20.08889919788902,0
71,454,7.1,45.4,Piemonte,1,7.472877050165588,0
71,455,7.1,45.5,Valle d'Aosta,2,76.65169950321322,0
71,456,7.1,45.6,Valle d'Aosta,2,86.69111668953705,312
71,457,7.1,45.7,Valle d'Aosta,2,86.53833890503645,2197
71,458,7.1,45.8,Valle d'Aosta,2,86.38529076134563,769
71,459,7.1,45.9,Valle d'Aosta,2,25.46257552109647,0
72,442,7.2,44.2,Piemonte,1,56.997380678784964,0
72,443,7.2,44.3,Piemonte,1,88.64729546575785,738
72,444,7.2,44.4,Piemonte,1,88.49809744709205,53
72,445,7.2,44.5,Piemonte,1,88.3486234926188,197
72,446,7.2,44.6,Piemonte,1,88.19887402160525,950
72,447,7.2,44.7,Piemonte,1,88.04884945428229,513
72,448,7.2,44.8,Piemonte,1,87.89855021195436,10671
72,449,7.2,44.9,Piemonte,1,87.74797671686483,8682
72,450,7.2,45,Piemonte,1,87.59712939233923,4478
72,451,7.2,45.1,Piemonte,1,87.44600866265107,8340
72,452,7.2,45.2,Piemonte,1,87.29461495313191,271
72,453,7.2,45.3,Piemonte,1,87.14294869008111,105
72,454,7.2,45.4,Piemonte,1,76.99427499251227,155
