regione,peso,stat,n_anni_6190,n_anni_9120,media_1961_1990,media_1991_2020,t_2003,t_2026,mese,giorni,vs_1961_1990,vs_1991_2020,vs_2003
Abruzzo,area,max,30,30,17.32912830369507,18.06084017146517,20.87901839063196,18.56217363526287,5,1-31,1.2330453315677978,0.5013334637976996,-2.3168447553690896
Abruzzo,area,mean,30,30,12.765184052611394,13.412523089361459,16.049926057406406,14.13542237003605,5,1-31,1.370238317424656,0.7228992806745911,-1.914503687370356
Abruzzo,area,min,30,30,7.714129693546698,8.253131734491268,10.807849127762394,9.24231854862327,5,1-31,1.5281888550765723,0.9891868141320028,-1.5655305791391232
Abruzzo,pop,max,30,30,19.033277247519912,19.87594716552761,22.45398410072277,20.610265573465046,5,1-31,1.576988325945134,0.7343184079374367,-1.8437185272577246
Abruzzo,pop,mean,30,30,14.734390724635638,15.511498189599811,17.921515906064027,16.352845542111503,5,1-31,1.6184548174758646,0.8413473525116917,-1.5686703639525241
Abruzzo,pop,min,30,30,9.79435392719834,10.507588335982085,12.859974067185625,11.525504423600841,5,1-31,1.7311504964025008,1.0179160876187563,-1.334469643584784
Basilicata,area,max,30,30,20.367076023344936,21.035817639461484,23.839520278800002,21.410574961224082,5,1-31,1.0434989378791464,0.3747573217625977,-2.42894531757592
Basilicata,area,mean,30,30,15.22276408774517,15.87685220473899,18.20177723638773,16.342199200488874,5,1-31,1.1194351127437034,0.4653469957498846,-1.8595780358988563
Basilicata,area,min,30,30,9.78763013027008,10.443971370879385,12.196243655385556,10.928136546113567,5,1-31,1.1405064158434879,0.4841651752341818,-1.2681071092719893
Basilicata,pop,max,30,30,20.273326263507176,20.93713515076876,23.71447108854936,21.351066283594037,5,1-31,1.0777400200868605,0.41393113282527594,-2.363404804955323
Basilicata,pop,mean,30,30,15.211641855699117,15.86940593781423,18.190979948044493,16.371609069103037,5,1-31,1.1599672134039203,0.5022031312888071,-1.8193708789414558
Basilicata,pop,min,30,30,9.886935472502792,10.55632023940605,12.344448164834226,11.103205057550609,5,1-31,1.216269585047817,0.5468848181445587,-1.2412431072836174
Calabria,area,max,30,30,19.463239931945655,20.023280594882024,22.249287865641712,20.54440816236109,5,1-31,1.081168230415436,0.5211275674790663,-1.7048797032806213
Calabria,area,mean,30,30,15.61100275136018,16.159513585851638,18.04261231009137,16.77296744148659,5,1-31,1.1619646901264087,0.6134538556349511,-1.2696448686047823
Calabria,area,min,30,30,11.672996121741727,12.197776111622739,13.722395812318487,12.959276939876412,5,1-31,1.286280818134685,0.7615008282536735,-0.7631188724420745
Calabria,pop,max,30,30,19.892313800477396,20.495770482595656,22.729263256984694,21.026289906242837,5,1-31,1.1339761057654414,0.5305194236471813,-1.702973350741857
Calabria,pop,mean,30,30,16.153867463571398,16.74336815341484,18.631838208858806,17.380242024528382,5,1-31,1.2263745609569838,0.6368738711135435,-1.251596184330424
Calabria,pop,min,30,30,12.342665736101758,12.895742412614721,14.402559506801401,13.697985113921952,5,1-31,1.3553193778201944,0.8022427013072306,-0.704574392879449
Campania,area,max,30,30,19.388252083906057,20.240322413672423,23.494352075326614,20.973976997968663,5,1-31,1.585724914062606,0.7336545842962394,-2.5203750773579507
Campania,area,mean,30,30,15.01178664903172,15.787435386232515,18.436446288740942,16.50640158395939,5,1-31,1.4946149349276716,0.7189661977268766,-1.930044704781551
