peso,stat,giorno,t_2026,clim_1961_1990,clim_1991_2020,t_2003,vs_1961_1990,vs_1991_2020,vs_2003
area,max,1,25.178387912414667,20.300526024166107,21.458303155941625,23.668323008343055,4.87786188824856,3.7200847564730424,1.510064904071612
area,max,2,23.480267884608505,20.400785597431558,21.921020768532188,23.704576762798553,3.0794822871769476,1.5592471160763175,-0.22430887819004752
area,max,3,23.12433069918884,20.64974934368806,22.064954264880498,23.8864985705753,2.474581355500778,1.0593764343083407,-0.7621678713864597
area,max,4,23.43467912999004,20.472217454711,22.142678887707838,24.65002358897066,2.962461675279041,1.292000242282203,-1.2153444589806206
area,max,5,23.084487432447172,20.506140122207384,22.148855550330293,25.658861061527464,2.5783473102397885,0.9356318821168799,-2.5743736290802914
area,max,6,23.835023568253785,20.488199685614365,22.280483296354475,26.13111538447409,3.34682388263942,1.5545402718993095,-2.2960918162203043
area,max,7,25.1110000581072,20.702627620377278,22.703956219835906,26.466810517545984,4.408372437729923,2.4070438382712958,-1.355810459438782
area,max,8,25.897409656165003,20.811273080129098,22.97188961614076,26.808809171291617,5.086136576035905,2.9255200400242423,-0.9113995151266145
area,max,9,25.97347360543162,20.97032386294732,23.22661010161269,27.40793025963259,5.0031497424843,2.7468635038189326,-1.434456654200968
area,max,10,24.909040965362323,21.49546811472502,23.533715887217728,28.55389268871791,3.4135728506373013,1.375325078144595,-3.644851723355586
area,max,11,23.69489123299957,21.775984257742504,23.293668003010318,29.60903654716271,1.918906975257066,0.4012232299892524,-5.9141453141631395
area,max,12,23.76343041640317,21.74658188261886,23.242412914267526,30.276696460137988,2.0168485337843123,0.5210175021356456,-6.513266043734816
area,max,13,26.76989236873305,22.15322920741347,23.389017808018533,30.59348758645791,4.616663161319579,3.380874560714517,-3.8235952177248613
area,max,14,27.02761338922103,22.62136059108849,23.50239570857399,30.345029727831115,4.406252798132542,3.5252176806470423,-3.3174163386100837
area,max,15,26.656922714240665,22.53534837788378,23.857871582241987,29.998108001096732,4.121574336356886,2.7990511319986773,-3.341185286856067
area,max,16,26.670879709406723,22.033526805639557,24.371961911349263,28.663447764398036,4.637352903767166,2.2989177980574595,-1.9925680549913132
area,max,17,28.330701458219536,22.008117830717133,24.3147270649782,27.08667782034441,6.322583627502404,4.015974393241336,1.2440236378751273
area,max,18,29.49839952330583,21.98876765409247,24.53521052648046,26.5410875689106,7.5096318692133615,4.963188996825373,2.95731195439523
area,max,19,30.0083371968879,22.056016935444354,24.637223974655136,26.225942888818,7.952320261443546,5.371113222232765,3.7823943080699003
area,max,20,30.746544539415748,22.73079076328567,24.683277653711396,27.889591666205668,8.01575377613008,6.063266885704351,2.85695287321008
area,max,21,31.010595665423025,23.28348613300511,25.11975361437929,28.534652257402417,7.727109532417916,5.890842051043734,2.4759434080206084
area,max,22,31.068693406702415,23.501668638316207,25.545005287182025,28.73556737564999,7.567024768386208,5.52368811952039,2.3331260310524264
area,max,23,30.702328644741367,23.85054756287241,25.49766125102035,29.371635815678538,6.851781081868957,5.204667393721017,1.33069282906283
area,max,24,30.04014914394028,23.798725586181344,25.441677666727003,30.181346629559016,6.241423557758935,4.598471477213277,-0.14119748561873635
area,max,25,30.1192843957145,24.1695054531499,25.464510497651784,30.675296334133407,5.949778942564603,4.654773898062718,-0.5560119384189051
area,max,26,30.52019211754024,24.42285729762299,25.690714794229972,30.216985108657223,6.097334819917251,4.829477323310268,0.30320700888301744
area,max,27,31.42201410652921,24.298135998420612,25.979464847370075,29.068756396687224,7.123878108108599,5.4425492591591365,2.353257709841987
area,max,28,32.21112812026703,24.379283271174693,26.0242038618791,27.63099523659979,7.8318448490923345,6.186924258387926,4.580132883667236
area,max,29,32.15191794753471,24.354343072108158,25.769554199039113,28.093600655815756,7.797574875426555,6.3823637484955995,4.058317291718957
area,max,30,31.14578635771561,24.456897528260463,26.051307143266502,29.33991578510966,6.6888888294551485,5.094479214449109,1.8058705726059507
area,mean,1,20.50272747841884,15.902870723882483,16.95665900775541,18.847056173252746,4.599856754536358,3.546068470663432,1.655671305166095
area,mean,2,19.491034059872433,15.96475290560526,17.312769405145435,18.95166331503472,3.5262811542671724,2.1782646547269984,0.539370744837715
area,mean,3,18.934609964478547,16.125569050864943,17.496888089519327,19.254009841318275,2.809040913613604,1.4377218749592195,-0.3193998768397286
area,mean,4,18.76544945627124,16.1123087700645,17.591144273881085,19.89455662947941,2.65314068620674,1.1743051823901567,-1.129107173208169
area,mean,5,18.667883142551293,16.145163468607475,17.694651506025387,20.71573963533666,2.5227196739438185,0.9732316365259059,-2.0478564927853675
area,mean,6,19.316643232468643,16.230325137286556,17.810151766994416,21.129051785119607,3.0863180951820866,1.5064914654742267,-1.8124085526509646
area,mean,7,20.08417010741879,16.376165300495263,18.111633771815377,21.3740607783302,3.708004806923526,1.9725363356034116,-1.2898906709114115
area,mean,8,20.975633178899184,16.50293737358782,18.389129027490142,21.64584539477305,4.472695805311364,2.5865041514090414,-0.6702122158738675
area,mean,9,21.06009256740258,16.607146051903648,18.575108784095622,22.21835275075746,4.452946515498933,2.4849837833069586,-1.15826018335488
