citta,m6190,m9120,a2003,a2026
Bari,5.700000000000001,11.933333333333334,23,20
Palermo,2.9666666666666663,6.7,19,19
Napoli,1.733333333333333,6.033333333333334,24,17
Ancona,2.7,8.266666666666667,21,16
Roma,0.30000000000000004,2.566666666666667,12,14
Venezia,1.5666666666666669,6.033333333333334,22,14
Bologna,0.6333333333333333,3.5,15,13
Milano,0.1,2.4,18,13
Cagliari,0.9333333333333331,4.9,18,12
Firenze,0.2666666666666667,1.5333333333333334,11,12
Genova,0.06666666666666668,0.6666666666666666,4,10
Torino,0.06666666666666668,0.8333333333333334,6,10
