anno,giorni_sopra,episodi_3g,giorni_ondata,striscia_max
1961,1,0,0,1
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,5,1,5,5
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,0
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,3,1,3,3
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,1,0,0,1
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,2,0,0,2
1997,0,0,0,0
1998,3,1,3,3
1999,0,0,0,0
2000,0,0,0,0
2001,1,0,0,1
2002,9,1,9,9
2003,15,2,14,7
2004,1,0,0,1
2005,7,1,6,6
2006,13,1,13,13
2007,4,0,0,2
2008,5,1,5,5
2009,0,0,0,0
2010,0,0,0,0
2011,0,0,0,0
2012,9,2,9,6
2013,3,1,3,3
2014,2,0,0,2
2015,0,0,0,0
2016,2,0,0,2
2017,6,1,3,3
2018,0,0,0,0
2019,8,1,7,7
2020,0,0,0,0
2021,10,2,10,6
2022,14,2,10,6
2023,2,0,0,2
2024,5,1,3,3
2025,12,2,12,8
2026,14,1,14,14
