ilon,ilat,lon,lat,regione,trend_dec,n
66,451,6.6,45.1,Piemonte,0.8450536137954154,66
67,449,6.7,44.9,Piemonte,0.867818512021994,66
67,450,6.7,45,Piemonte,0.873556030826958,66
67,451,6.7,45.1,Piemonte,0.8677192555182367,66
68,449,6.8,44.9,Piemonte,0.7768947018644577,66
68,450,6.8,45,Piemonte,0.8268681213579222,66
68,451,6.8,45.1,Piemonte,0.8323322624175843,66
68,452,6.8,45.2,Piemonte,0.826803419944435,66
68,457,6.8,45.7,Valle d'Aosta,0.8638670902446627,66
68,458,6.8,45.8,Valle d'Aosta,0.831805865356982,66
69,443,6.9,44.3,Piemonte,0.6116121150438394,66
69,444,6.9,44.4,Piemonte,0.6151140506826979,66
69,445,6.9,44.5,Piemonte,0.6449341125385643,66
69,446,6.9,44.6,Piemonte,0.6760960669420691,66
69,447,6.9,44.7,Piemonte,0.7060974543666066,66
69,448,6.9,44.8,Piemonte,0.6955733721529077,66
69,449,6.9,44.9,Piemonte,0.711544651267333,66
69,450,6.9,45,Piemonte,0.7603750760658484,66
69,451,6.9,45.1,Piemonte,0.7664376592977301,66
69,452,6.9,45.2,Piemonte,0.7582205492067497,66
69,456,6.9,45.6,Valle d'Aosta,0.9186176436261155,66
69,457,6.9,45.7,Valle d'Aosta,0.8755503035408438,66
69,458,6.9,45.8,Valle d'Aosta,0.8307233304970447,66
69,459,6.9,45.9,Valle d'Aosta,0.8269750334280891,66
70,442,7,44.2,Piemonte,0.5816326608920948,66
70,443,7,44.3,Piemonte,0.5863329956945134,66
70,444,7,44.4,Piemonte,0.5885409128316298,66
70,445,7,44.5,Piemonte,0.6077853411285736,66
70,446,7,44.6,Piemonte,0.6192950805611686,66
70,447,7,44.7,Piemonte,0.6411697947408983,66
70,448,7,44.8,Piemonte,0.6277593550404303,66
70,449,7,44.9,Piemonte,0.642865315409789,66
70,450,7,45,Piemonte,0.675899739348335,66
70,451,7,45.1,Piemonte,0.6813421856726756,66
70,452,7,45.2,Piemonte,0.7075351013056892,66
70,455,7,45.5,Valle d'Aosta,0.8590708252267394,66
70,456,7,45.6,Valle d'Aosta,0.890293251356739,66
70,457,7,45.7,Valle d'Aosta,0.9037180598608383,66
70,458,7,45.8,Valle d'Aosta,0.861203669312782,66
70,459,7,45.9,Valle d'Aosta,0.8175609244663691,66
71,442,7.1,44.2,Piemonte,0.5643621149560689,66
71,443,7.1,44.3,Piemonte,0.5813941938490098,66
71,444,7.1,44.4,Piemonte,0.5826190986310799,66
71,445,7.1,44.5,Piemonte,0.5836651029990366,66
71,446,7.1,44.6,Piemonte,0.576977912582452,66
71,447,7.1,44.7,Piemonte,0.5835008863712696,66
71,448,7.1,44.8,Piemonte,0.5786377709083516,66
71,449,7.1,44.9,Piemonte,0.5825991192420764,66
71,450,7.1,45,Piemonte,0.594342105003125,66
71,451,7.1,45.1,Piemonte,0.6213683136375275,66
71,452,7.1,45.2,Piemonte,0.6665027620487441,66
71,453,7.1,45.3,Piemonte,0.711781246392917,66
71,454,7.1,45.4,Piemonte,0.7673862022094918,66
71,455,7.1,45.5,Valle d'Aosta,0.7816843948565105,66
71,456,7.1,45.6,Valle d'Aosta,0.8604006199607296,66
