regione,trend_dec
Valle d'Aosta,0.804585301309223
Trentino-Alto Adige,0.6643827638632808
Lombardia,0.6601894628291988
Piemonte,0.6414691885520527
Emilia-Romagna,0.617005714792599
Umbria,0.6038214982375396
Veneto,0.5906968139807716
Marche,0.5763515855588582
Sardegna,0.5706780052112492
Toscana,0.562468781148704
Friuli-Venezia Giulia,0.5571718502504693
Lazio,0.5448660374453915
Molise,0.5425369292391515
Puglia,0.5263385139988913
Abruzzo,0.5240445359390303
Basilicata,0.5231967914641046
Campania,0.5213291028661139
Liguria,0.5174675805267491
Sicilia,0.4169221795065816
Calabria,0.4104946965238281
