"admin","variazione_media","2025","1991-2020","n_tile"
"Spain",2.31696505424788,24.1678954959321,21.8509304416843,5554
"Kosovo",2.21159730102573,21.5586430699896,19.3470457689639,157
"Bulgaria",2.16564726341811,23.1759000831098,21.0102528196917,1324
"Portugal",2.07461751164098,23.8931867576185,21.8185692459776,1081
"France",1.90989113704069,20.5702039629384,18.6603128258977,6848
"Albania",1.90523264069977,22.7761560208892,20.8709233801894,374
"Republic of Serbia",1.90072356113776,22.8527690514447,20.9520454903069,964
"Montenegro",1.79094350366059,19.6272517195992,17.8363082159386,184
"North Macedonia",1.76172765427388,22.4186279871279,20.656900332854,313
"Greece",1.6609827432641,24.8096504516771,23.148667708413,1574
"Bosnia and Herzegovina",1.64193917854973,20.7879944609559,19.1460552824062,640
"United Kingdom",1.63258301004672,15.9475852390034,14.3150022289567,3713
"Switzerland",1.61072379252496,15.4761105771616,13.8653867846367,617
"Romania",1.56436642628796,21.726007565642,20.161641139354,2926
"Belgium",1.5257445915714,18.8101750066434,17.284430415072,440
"Italy",1.50695512952688,22.5268379502143,21.0198828206874,3835
"Luxembourg",1.39389635427886,18.2924511696097,16.8985548153308,41
"Slovenia",1.37626284860574,20.446115689411,19.0698528408053,269
"Croatia",1.36286260710272,22.6626004430828,21.2997378359801,804
"Ireland",1.35120291335097,15.7569182317885,14.4057153184376,873
"Hungary",1.29430639665522,22.8848829474927,21.5905765508375,1196
"Austria",1.24598021628152,16.8709248365249,15.6249446202434,1136
"Norway",1.23218457561083,11.8027904490369,10.570605873426,6616
"Netherlands",1.22226449407048,18.6175800042518,17.3953155101813,596
"Finland",1.16920302770234,15.2436170092736,14.0744139815713,6669
"Moldova",1.16498086524955,22.8328979393848,21.6679170741353,452
"Iceland",1.14015830913133,8.39791807057347,7.25775976144214,2235
"Sweden",1.12892150493862,14.462936963438,13.3340154584993,8243
"Germany",0.95808236066643,18.656853206408,17.6987708457416,4804
"Slovakia",0.951268074266838,19.2412472314043,18.2899791571375,660
"Ukraine",0.748619350223301,21.150572966823,20.4019536165997,7384
"Czechia",0.716520895293553,18.4308640041505,17.7143431088569,1114
"Denmark",0.66308524702041,16.8331631134198,16.1700778663994,713
"Poland",0.39898937478633,18.6385325010006,18.2395431262143,4249
"Estonia",0.11680494463271,16.624031839509,16.5072268948763,772
"Belarus",-0.00824949518073601,17.9864525364629,17.9947020316436,2995
"Latvia",-0.121717092388382,16.7833906709845,16.9051077633729,1048
"Lithuania",-0.128360677834399,17.2101560252935,17.3385167031279,979
