"day","1961-1990","1991-2020","2025"
1,15.8424401415016,16.8976977597497,19.6868289092207
2,15.9004302887409,17.2597656322257,19.5176503323419
3,16.0613191321477,17.4432229629338,19.6923370870269
4,16.0506311084794,17.5389109651763,19.6660205485278
5,16.0747836629182,17.6450922717228,19.7749885658043
6,16.172380632664,17.7497005164979,20.5930430100684
7,16.3108679689938,18.0382073870308,21.4447810191296
8,16.4398704646619,18.3332881783762,21.6929169964098
9,16.5406737671778,18.5140914191281,21.1558942543864
10,16.8524674925904,18.7925762692523,21.4459812515382
11,17.1086289124453,18.7532732842021,22.3689961273778
12,17.2461422300349,18.6663960341198,23.130850198992
13,17.5233254168587,18.7340048909556,23.9544866834032
14,17.9071832117682,18.8445132020916,24.5104043679005
15,17.9614245528814,19.1740834164477,24.605984621478
16,17.5934908472022,19.5966396398547,23.4363265755591
17,17.5390644119825,19.6628027702522,21.4670121794354
18,17.4601652928039,19.7659871617192,21.8328830221835
19,17.5475118500818,19.8570482665186,22.8038777889184
20,18.0062971932323,19.9354306769808,23.2195876537981
21,18.5543384469535,20.2037487250727,22.8128177711152
22,18.8187019255467,20.5685989891965,22.9193841077724
23,19.127504295269,20.6176582381979,23.5832790438374
24,19.1807965192821,20.6031522550185,24.1058465949395
25,19.3819888549453,20.6730022607136,25.1429860445509
26,19.6463677996737,20.8405103856653,25.4064264835879
27,19.6766671614071,21.0876797923292,25.2105140087559
28,19.6582007358073,21.1811801598596,25.7562383886176
29,19.709185824945,21.0817695971107,25.9815164359872
30,19.7030467268418,21.2196881626279,26.0161069892379
