anno,mese,giorno,Tmax,Tmin,Tmed,data_generica
2005,5,1,27.9,18.1,22,2024-05-01
2005,5,2,27.6,17.8,22.1,2024-05-02
2005,5,3,24.6,16.1,20.6,2024-05-03
2005,5,4,24.6,12.8,19,2024-05-04
2005,5,5,23.4,12.9,18.6,2024-05-05
2005,5,6,25.5,11.6,19.1,2024-05-06
2005,5,7,26.1,12.5,20.1,2024-05-07
2005,5,8,24.5,13.1,20,2024-05-08
2005,5,9,21.1,12.9,16.7,2024-05-09
2005,5,10,17,11.6,14,2024-05-10
2005,5,11,19.9,12.2,15.9,2024-05-11
2005,5,12,19.6,13.7,16.4,2024-05-12
2005,5,13,21.1,14.8,18,2024-05-13
2005,5,14,18.3,12.7,16.1,2024-05-14
2005,5,15,24.3,10.1,17.4,2024-05-15
2005,5,16,19.2,13.5,16.4,2024-05-16
2005,5,17,19.8,11.9,15.1,2024-05-17
2005,5,18,22.5,12,16.5,2024-05-18
2005,5,19,25.2,12.2,19.2,2024-05-19
2005,5,20,25.7,13.7,19.8,2024-05-20
2005,5,21,25.2,15.8,20.7,2024-05-21
2005,5,22,24.3,16.6,19.6,2024-05-22
2005,5,23,22.9,14.9,17.6,2024-05-23
2005,5,24,26.1,11.7,19.4,2024-05-24
2005,5,25,29.1,14.2,22.1,2024-05-25
2005,5,26,30,17.2,23.7,2024-05-26
2005,5,27,31,20.1,25.2,2024-05-27
2005,5,28,33,19.5,26.3,2024-05-28
2005,5,29,32.1,20.9,26.7,2024-05-29
2005,5,30,30.7,19.7,25.9,2024-05-30
2005,5,31,30.9,19.3,25.4,2024-05-31
2006,5,1,18.7,10.4,14.5,2024-05-01
2006,5,2,19.9,12.8,16.1,2024-05-02
2006,5,3,23.2,13.3,18,2024-05-03
2006,5,4,24.9,11.6,19.2,2024-05-04
2006,5,5,18.7,14.4,16.7,2024-05-05
2006,5,6,15.7,11.5,13.5,2024-05-06
2006,5,7,23.4,11.5,16.9,2024-05-07
2006,5,8,17.3,12.5,15.1,2024-05-08
2006,5,9,20.4,10.2,14.5,2024-05-09
2006,5,10,15.1,10,11.6,2024-05-10
2006,5,11,22.5,10,15.8,2024-05-11
2006,5,12,23.6,11.8,18.3,2024-05-12
2006,5,13,24.3,15.1,19.1,2024-05-13
2006,5,14,26.4,12.6,19.5,2024-05-14
2006,5,15,22.6,15.7,19.3,2024-05-15
2006,5,16,25.6,15.3,20.4,2024-05-16
2006,5,17,27.3,14.6,19.2,2024-05-17
2006,5,18,24,17.9,20.8,2024-05-18
2006,5,19,27.5,15.9,21.8,2024-05-19
2006,5,20,25.8,16.8,20.8,2024-05-20
2006,5,21,25.4,15.8,19.8,2024-05-21
2006,5,22,22.2,15.7,19.4,2024-05-22
2006,5,23,24.3,16,19.6,2024-05-23
2006,5,24,25.7,15,20.6,2024-05-24
2006,5,25,24.5,14.1,19,2024-05-25
2006,5,26,27.6,14.6,20.9,2024-05-26
2006,5,27,31.4,15.6,24.1,2024-05-27
2006,5,28,31.4,17.6,25.3,2024-05-28
2006,5,29,29.2,18.2,23.6,2024-05-29
2006,5,30,21.7,14.6,18.1,2024-05-30
2006,5,31,16.5,10.9,13.7,2024-05-31
2007,5,1,21.3,14.6,17.3,2024-05-01
2007,5,2,15.8,10.3,13.1,2024-05-02
2007,5,3,17.4,10.2,12.9,2024-05-03
2007,5,4,12.9,11.1,11.8,2024-05-04
