CNTR_ID,paese,anno,mai_usato_internet
HR,Croatia,2025,10.33
PT,Portugal,2025,9.56
EL,Greece,2025,9.14
LT,Lithuania,2025,8.9
BA,Bosnia and Herzegovina,2025,8.74
PL,Poland,2025,8.06
BG,Bulgaria,2025,6.99
MK,North Macedonia,2025,6.86
AL,Albania,2025,6.43
IT,Italy,2025,6.34
SI,Slovenia,2025,6.31
CY,Cyprus,2025,6.1
RS,Serbia,2025,5.15
RO,Romania,2025,4.91
HU,Hungary,2025,4.49
SK,Slovakia,2025,4.3
LV,Latvia,2025,4.28
ME,Montenegro,2025,3.78
EE,Estonia,2025,3.57
AT,Austria,2025,3.55
CZ,Czechia,2025,3.48
DE,Germany,2025,3.37
MT,Malta,2025,3.35
FR,France,2025,3.3
ES,Spain,2025,2.75
BE,Belgium,2025,2.63
XK,Kosovo,2025,1.26
FI,Finland,2025,1.24
LU,Luxembourg,2025,0.87
CH,Switzerland,2025,0.62
NO,Norway,2025,0.53
SE,Sweden,2025,0.34
NL,Netherlands,2025,0.25
IE,Ireland,2025,0.2
