paese,giorni_estate,settimane
Albania,,
Austria,,
Belgio (fiamminga),63,9.0
Belgio (francese),,
Belgio (tedesca),63,9.0
Bulgaria,,
Cechia,,
Cipro,70,10.0
Croazia,70,10.0
Danimarca,47,6.7
Estonia,81,11.6
Finlandia,,
Francia,,
Germania,82,11.7
Grecia,86,12.3
Irlanda,70,10.0
Islanda,90,12.9
Italia,,
Lettonia,93,13.3
Liechtenstein,,
Lituania,67,9.6
Lussemburgo,,
Macedonia del Nord,75,10.7
Malta,89,12.7
Montenegro,,
Norvegia,55,7.9
Paesi Bassi,,
Polonia,,
Portogallo,,
Romania,,
Serbia,101,14.4
Slovacchia,63,9.0
Slovenia,68,9.7
Spagna,89,12.7
Svezia,67,9.6
Svizzera,77,11.0
Turchia,,
Ungheria,71,10.1
