geo,y2000,y2025,var_pct
IE,53.657,189.559,253.2791620850961
TR,47.824,157.606,229.55419872867176
MT,59.088,179.915,204.48652856756024
LT,53.783,137.432,155.53055798300574
PL,58.988,142.368,141.3507832101444
RO,57.649,134.352,133.0517441759614
SK,54.367,121.21,122.94774403590414
BG,59.836,132.474,121.39514673440739
RS,64.473,139.624,116.56197167806677
CY,78.029,166.152,112.93621602224815
LV,56.944,118.482,108.06757516156225
EE,59.967,118.888,98.25570730568481
IS,69.064,130.599,89.09851731727095
MK,66.106,124.349,88.10546697727895
HR,77.805,139.957,79.88175567122933
CZ,68.024,120.964,77.82547336234269
LU,67.207,118.123,75.75996547978636
SI,75.19,131.559,74.96874584386222
HU,73.21,126.946,73.39980876929381
SE,73.513,116.221,58.09584699304884
CH,76.231,120.161,57.627474387060396
NO,75.783,117.369,54.87510391512609
ES,81.081,121.787,50.204116870783544
BE,79.775,116.934,46.579755562519566
NL,83.483,120.819,44.722877711629906
DK,87.178,123.899,42.12186560829567
EU27_2020,83.238,116.781,40.29770056945146
AT,81.417,111.819,37.34109583993514
FR,82.943,112.314,35.41106543047634
EA21,85.149,115.152,35.235880632773146
EA20,85.234,115.061,34.99425112044492
EA19,85.259,114.953,34.827994698506906
EA,85.422,115.061,34.6971506169371
EA12,85.714,114.59,33.688778962596544
FI,84.06,108.811,29.44444444444445
DE,84.259,107.613,27.716920447667313
PT,97.306,124.048,27.482375187552677
EL,99.984,117.333,17.351776284205478
IT,100.62,110.832,10.149075730471058
LI,NA,NA,NA
UK,77.211,NA,NA
BA,65.102,NA,NA
ME,NA,136.405,NA
MD,NA,121.653,NA
AL,53.644,NA,NA
UA,NA,NA,NA
XK,NA,147.777,NA
