anno,Italia,Spagna,Francia,Germania,Unione europea
2000,100,100,100,100,100
2001,102.01,103.92,101.9,101.64,102.12
2002,102.28,106.78,102.99,101.4,103.18
2003,102.35,109.92,103.98,100.87,104.11
2004,103.86,113.34,106.97,102.04,106.74
2005,104.65,117.37,108.99,102.94,108.81
2006,106.53,122.11,111.94,106.92,112.66
2007,108.09,126.43,114.78,110.01,116.18
2008,106.98,127.4,115.21,110.99,116.89
2009,101.31,122.6,111.96,104.84,111.91
2010,102.86,122.71,114.2,109.17,114.29
2011,103.57,121.93,116.98,113.27,116.48
2012,100.34,118.44,117.2,113.8,115.56
2013,98.51,116.74,118.11,114.25,115.51
2014,98.51,118.52,119.29,116.74,117.39
2015,99.38,123.33,120.56,118.68,120.14
2016,100.61,126.93,121.6,121.32,122.44
2017,102.23,130.61,124.14,124.71,125.89
2018,103.07,133.73,126.18,126.13,128.46
2019,103.51,136.36,128.74,127.36,130.87
2020,94.33,121.44,119.16,122.1,123.59
2021,102.76,129.55,127.36,126.87,131.44
2022,107.71,137.81,130.82,129.17,136.11
2023,108.71,141.2,132.7,128.05,136.68
2024,109.56,146.08,134.28,127.41,138.17
2025,110.15,150.2,135.41,127.72,140.3
