sezione,zecchi,busetto,martini,sitran,gasparinetti,brugnaro,visman,baretta,callegari,totale
1,31,2,26,3,27,155,13,150,3,410
2,32,1,25,6,42,172,8,137,4,427
3,36,2,28,9,57,163,5,159,2,461
4,26,3,11,8,47,146,6,212,1,460
5,38,2,38,9,55,152,10,155,0,459
6,45,2,26,6,43,165,17,135,1,440
7,29,6,26,7,52,149,11,153,4,437
8,24,2,17,4,48,123,18,138,3,377
9,26,4,20,6,34,196,15,128,6,435
10,23,6,18,3,46,150,18,174,3,441
11,24,4,19,3,49,157,15,178,4,453
12,31,4,31,4,36,174,24,165,5,474
13,32,2,34,4,25,209,19,195,4,524
14,30,1,35,1,42,189,8,168,1,475
15,48,5,22,4,51,181,17,177,4,509
16,32,8,33,1,58,207,9,129,4,481
17,35,7,18,2,52,169,19,146,4,452
18,28,3,27,2,74,141,21,178,2,476
19,27,1,25,7,43,123,11,138,3,378
20,30,3,46,6,53,176,6,189,2,511
21,33,1,30,4,55,164,13,179,4,483
22,67,4,35,9,43,159,10,181,0,508
23,23,3,38,6,64,151,4,165,7,461
24,38,3,44,7,56,167,10,194,3,522
25,36,1,33,4,31,182,12,196,1,496
26,44,5,48,4,51,162,10,187,5,516
27,27,1,38,6,54,134,11,184,2,457
28,41,6,40,2,42,205,12,171,2,521
29,30,6,40,3,35,196,14,178,6,508
30,20,4,22,3,31,166,25,112,2,385
31,31,3,39,0,54,166,16,175,7,491
32,34,1,31,4,43,148,24,182,2,469
33,24,2,28,6,37,191,12,115,0,415
34,32,0,38,8,33,148,18,185,3,465
35,30,3,61,4,57,152,9,190,9,515
36,26,2,36,2,39,111,20,201,7,444
37,25,6,42,1,47,127,11,250,5,514
38,18,1,53,1,45,126,20,190,4,458
39,45,3,47,10,45,130,10,189,8,487
40,27,2,41,10,44,147,10,160,8,449
41,25,2,72,8,54,106,10,248,7,532
42,31,4,59,5,59,141,11,226,8,544
43,28,4,92,4,51,125,7,197,3,511
44,32,3,59,6,45,119,9,200,0,473
45,25,3,45,5,49,139,10,260,1,537
46,35,3,36,1,38,157,14,193,5,482
47,21,4,62,2,31,139,18,139,0,416
48,19,3,41,2,38,172,12,183,1,471
49,32,3,42,10,43,124,16,212,6,488
50,24,1,53,6,33,150,6,173,1,447
51,18,1,26,4,37,129,6,191,1,413
52,24,5,29,2,49,175,27,130,2,443
53,29,7,31,1,34,181,16,149,6,454
54,34,6,46,2,54,197,13,224,2,578
55,21,2,48,5,49,161,15,179,1,481
56,25,4,27,2,36,161,20,86,0,361
57,23,6,21,1,40,196,17,114,6,424
58,46,1,32,7,30,256,22,135,6,535
59,41,1,21,3,33,223,20,181,0,523
60,26,7,25,5,48,256,11,173,4,555
61,33,1,35,8,48,205,18,182,3,533
62,41,1,22,9,30,241,9,178,1,532
63,32,2,36,7,31,254,7,195,1,565
64,31,2,22,15,39,225,10,161,2,507
65,34,5,14,4,15,235,20,126,3,456
66,43,2,24,7,25,223,13,126,4,467
67,32,1,12,6,20,229,9,120,5,434
68,23,0,17,0,20,209,0,108,5,382
69,35,5,14,7,28,237,25,172,3,526
70,34,4,14,4,24,241,22,137,2,482
71,42,4,14,8,23,243,15,204,6,559
72,36,2,7,4,23,257,23,104,1,457
73,31,4,13,6,15,339,16,89,4,517
74,20,4,18,4,19,246,16,86,4,417
75,4,3,4,0,4,457,8,69,1,550
76,3,3,3,0,6,424,9,58,1,507
77,7,5,4,1,1,350,7,38,0,413
78,2,1,0,0,1,338,5,23,0,370
79,25,4,25,2,39,324,33,78,1,531
80,19,2,19,2,52,255,29,50,0,428
81,20,2,3,2,18,216,19,61,0,341
82,26,1,28,4,22,247,35,71,0,434
83,44,3,17,1,27,281,53,75,0,501
84,8,1,7,0,9,221,10,34,1,291
85,8,0,2,9,22,269,12,57,0,379
86,20,2,14,1,26,320,15,82,8,488
87,22,0,2,2,14,248,7,79,0,374
88,12,3,8,6,7,342,16,160,2,556
89,13,2,13,0,10,335,24,98,5,500
90,11,2,6,3,9,311,23,114,3,482
91,17,3,9,1,8,441,32,122,8,641
92,8,11,9,0,7,320,25,103,4,487
93,10,2,2,2,9,320,21,150,2,518
94,11,5,12,1,14,300,28,90,6,467
95,7,8,10,0,9,315,22,111,0,482
96,10,3,13,1,16,299,21,165,3,531
97,12,2,7,2,17,427,28,172,2,669
98,15,6,10,0,13,389,26,158,4,621
99,6,3,7,0,4,338,12,73,4,447
100,19,2,4,2,5,396,28,97,0,553
101,16,4,6,2,10,340,22,113,0,513
102,11,5,10,1,12,380,11,101,4,535
103,7,5,21,1,3,342,16,106,0,501
104,7,5,4,1,12,305,33,123,2,492
105,13,5,8,0,6,403,35,158,5,633
106,17,1,8,0,10,350,21,138,5,550
107,8,1,10,1,6,302,30,123,1,482
108,12,2,8,0,4,287,14,105,0,432
109,2,1,12,2,4,258,18,134,1,432
110,12,1,5,2,11,258,26,90,1,406
111,12,5,8,0,11,345,16,178,5,580
112,16,6,13,3,12,252,19,138,3,462
113,15,2,10,3,8,287,19,152,3,499
114,10,3,10,3,19,271,25,163,7,511
115,11,1,13,1,25,348,22,167,2,590
116,17,0,8,1,10,259,35,105,2,437
117,11,0,8,3,12,292,33,168,2,529
118,17,4,13,0,19,313,29,129,1,525
119,19,3,13,0,11,290,25,133,2,496
120,12,3,12,0,18,292,16,148,3,504
121,14,3,18,0,9,292,17,129,0,482
122,11,2,5,2,14,295,29,169,3,530
123,19,4,23,1,10,396,27,162,1,643
124,9,5,7,3,11,285,27,89,2,438
125,14,4,10,1,13,305,26,145,0,518
126,13,7,7,2,12,248,36,140,7,472
127,5,6,11,2,8,268,24,104,4,432
128,9,4,9,0,11,318,26,119,0,496
129,9,3,8,0,11,274,26,144,2,477
130,8,1,9,0,7,294,22,156,1,498
131,8,1,10,2,7,326,22,141,2,519
132,10,0,16,1,17,334,24,167,1,570
133,7,5,18,0,19,331,15,187,0,582
134,11,1,15,0,12,328,25,236,3,631
135,6,5,15,1,10,259,14,180,1,491
136,9,2,8,2,6,278,19,168,4,496
137,15,3,16,1,9,257,8,126,1,436
138,14,5,11,0,11,286,10,163,1,501
139,6,1,12,1,10,328,20,178,2,558
140,18,1,12,2,27,270,14,173,0,517
141,13,3,20,2,14,310,11,197,1,571
142,12,4,13,1,17,315,30,167,0,559
143,12,3,10,0,17,276,19,146,3,486
144,9,2,8,2,16,268,11,143,1,460
145,12,9,18,2,21,243,21,141,5,472
146,19,6,14,0,20,311,33,213,0,616
147,8,3,15,0,5,386,21,125,0,563
148,12,2,23,1,19,427,27,140,0,651
149,12,5,28,1,14,356,23,134,1,574
150,11,1,25,0,3,336,23,111,0,510
151,19,5,3,2,10,322,12,126,0,499
152,9,3,19,1,2,306,26,147,1,514
153,7,8,17,1,13,228,12,155,1,442
154,9,3,12,4,15,334,10,172,2,561
155,15,3,9,2,18,334,21,160,2,564
156,12,0,6,4,8,314,6,159,1,510
157,13,1,10,7,17,309,27,144,3,531
158,14,3,7,2,13,316,12,134,1,502
159,10,1,1,1,8,346,14,148,0,529
160,15,0,11,1,7,302,10,166,1,513
161,22,1,11,1,17,276,13,148,3,492
162,27,6,10,0,11,362,19,153,1,589
163,21,4,14,0,22,305,22,146,5,539
164,8,2,15,0,19,302,30,120,4,500
165,13,1,5,0,12,230,13,101,0,375
166,15,3,21,1,7,274,17,127,2,467
167,18,3,15,1,15,304,21,117,4,498
168,14,2,9,3,10,290,17,134,2,481
169,9,8,10,0,15,215,21,139,2,419
170,15,4,20,5,11,262,16,196,0,529
171,14,8,16,1,24,303,18,173,3,560
172,14,5,11,0,21,315,22,167,1,556
173,16,3,21,2,12,191,14,160,2,421
174,19,2,8,0,9,228,20,141,0,427
175,9,5,25,1,13,241,10,140,2,446
176,7,0,7,2,8,250,19,120,0,413
177,8,4,10,0,9,220,15,137,1,404
178,17,5,21,1,10,225,17,162,3,461
179,19,4,9,1,14,208,11,147,2,415
180,13,2,8,0,12,236,19,101,3,394
181,10,2,9,2,10,239,20,143,2,437
182,11,1,8,5,8,241,17,168,1,460
183,7,0,16,1,10,280,9,149,1,473
184,9,6,11,5,8,223,14,140,3,419
185,10,3,11,1,12,296,13,153,4,503
186,12,1,7,1,13,209,17,126,0,386
187,15,3,22,1,15,260,22,195,1,534
188,14,3,7,2,10,236,16,120,2,410
189,13,4,22,0,6,249,17,182,2,495
190,14,2,16,1,5,242,17,100,1,398
191,8,2,11,1,9,240,12,121,0,404
192,9,2,12,0,12,240,18,77,0,370
193,5,0,4,4,11,254,13,115,1,407
194,10,1,11,0,4,268,21,104,1,420
195,5,1,12,3,13,254,14,96,4,402
196,4,1,7,0,3,294,23,115,0,447
197,6,1,5,0,7,287,15,121,1,443
198,13,3,6,1,4,341,18,119,3,508
199,16,3,8,0,6,331,22,154,1,541
200,5,1,15,3,6,295,30,164,1,520
201,13,6,10,2,7,422,30,143,1,634
202,14,4,7,0,1,401,21,123,1,572
203,3,2,12,1,7,399,22,157,2,605
204,7,3,7,3,4,342,27,176,2,571
205,9,3,6,0,7,322,21,169,1,538
206,18,4,8,1,7,347,9,126,3,523
207,8,3,12,0,13,298,22,163,0,519
208,5,4,7,0,4,345,26,151,2,544
209,16,7,6,1,12,245,34,86,4,411
210,7,3,7,1,3,221,18,104,2,366
211,10,3,20,0,5,277,43,159,3,520
212,2,0,1,0,1,75,8,45,0,132
213,9,3,7,4,6,332,35,155,2,553
214,9,1,17,2,12,352,35,130,6,564
215,9,7,12,2,12,321,24,134,6,527
216,9,5,11,4,11,388,31,171,3,633
217,15,2,6,1,11,447,15,143,3,643
218,10,6,4,2,13,348,26,191,5,605
219,5,3,9,2,8,306,21,132,2,488
220,14,4,7,1,6,344,37,140,0,553
221,11,2,10,0,7,322,18,128,0,498
222,10,0,7,1,15,285,23,151,2,494
223,13,4,6,3,6,321,28,114,1,496
224,9,2,10,1,5,342,25,123,2,519
225,5,2,13,6,5,315,19,120,0,485
226,9,3,12,0,14,351,31,141,0,561
227,13,3,9,6,7,391,22,139,4,594
228,7,5,8,1,13,409,28,117,1,589
229,13,2,8,1,4,251,31,136,0,446
230,8,4,8,0,5,312,28,128,1,494
231,11,4,8,0,8,205,20,109,2,367
232,13,6,12,0,10,252,14,139,4,450
233,4,7,9,1,6,210,11,107,1,356
234,7,3,10,1,4,199,21,138,3,386
235,7,9,7,0,3,238,11,109,0,384
236,7,2,7,0,21,260,19,156,8,480
237,12,4,16,0,10,257,45,130,0,474
238,7,4,4,0,10,203,23,114,1,366
239,9,7,6,0,7,298,25,136,2,490
240,7,4,9,2,14,248,21,116,1,422
241,10,5,4,3,5,221,26,125,1,400
242,8,2,4,3,3,262,20,111,0,413
243,4,2,6,3,7,373,15,130,1,541
244,9,1,9,0,8,335,27,149,0,538
245,9,3,5,0,10,346,24,143,1,541
246,14,7,3,1,13,389,36,154,2,619
247,6,2,7,2,7,281,25,190,1,521
248,16,5,7,1,13,233,27,120,0,422
249,6,4,11,1,11,230,23,95,1,382
250,3,2,1,6,4,167,14,77,0,274
251,10,4,7,3,7,208,14,111,0,364
252,5,5,4,1,2,246,24,83,1,371
253,4,1,3,1,7,162,15,61,0,254
254,6,4,7,0,8,296,22,99,0,442
255,1,1,2,0,0,18,1,17,0,40
256,0,0,0,0,0,47,2,12,0,61
257,0,0,0,0,0,20,0,3,0,23
