"sezione","del_zotto","coro","venturini","boldrin","agirmo","vernier","martella","martini_2026","totale","scrutinata"
1,2,1,183,13,3,18,162,5,387,1
2,2,1,185,15,2,30,146,11,392,1
3,0,2,141,15,5,32,181,13,389,1
4,4,0,156,15,6,30,221,17,449,1
5,1,2,167,13,5,25,204,11,428,1
6,2,1,150,7,3,27,202,15,407,1
7,1,3,133,16,9,21,204,16,403,1
8,0,1,118,12,8,25,139,11,314,1
9,0,4,159,3,9,13,144,9,341,1
10,1,3,137,14,8,20,187,26,396,1
11,1,4,131,11,5,9,182,14,357,1
12,0,2,144,14,4,16,185,16,381,1
13,1,6,163,6,8,15,220,19,438,1
14,2,3,160,5,5,14,202,11,402,1
15,4,8,166,11,7,32,205,15,448,1
16,3,1,143,10,8,16,227,14,422,1
17,1,2,174,11,4,18,191,10,411,1
18,0,1,135,12,7,25,214,14,408,1
19,0,2,199,29,3,26,195,4,458,1
20,3,2,161,19,8,19,238,13,463,1
21,1,1,172,13,6,20,233,24,470,1
22,2,3,175,27,6,19,215,16,463,1
23,0,3,132,18,9,24,213,22,421,1
24,1,4,162,20,4,19,254,14,478,1
25,0,3,151,23,3,11,225,10,426,1
26,2,0,156,33,8,16,225,27,467,1
27,3,2,130,16,2,19,260,23,455,1
28,1,1,198,0,0,23,256,10,489,1
29,1,4,139,15,10,12,226,25,432,1
30,5,3,145,7,10,11,161,16,358,1
31,2,1,159,8,7,21,252,19,469,1
32,2,3,123,11,3,14,263,19,438,1
33,2,2,157,15,1,17,147,17,358,1
34,0,0,137,15,5,8,213,13,391,1
35,1,1,155,17,2,13,256,25,470,1
36,0,1,99,18,9,19,252,17,415,1
37,3,3,121,13,4,22,298,23,487,1
38,1,1,124,17,4,16,254,22,439,1
39,2,1,153,19,7,28,229,13,452,1
40,1,4,146,12,6,20,181,16,386,1
41,2,0,122,12,9,14,270,25,454,1
42,1,1,148,33,10,11,274,14,492,1
43,1,1,149,15,8,20,307,33,534,1
44,0,1,113,24,2,13,256,20,429,1
45,2,3,131,34,4,24,275,21,494,1
46,0,2,143,26,2,10,225,15,423,1
47,0,1,90,14,6,10,189,15,325,1
48,0,3,123,14,4,16,258,12,430,1
49,2,1,124,20,4,20,266,22,459,1
50,1,1,119,14,5,40,224,12,416,1
51,0,0,103,11,1,67,192,4,378,1
52,3,1,154,8,5,8,172,15,366,1
53,4,3,171,5,7,16,205,9,420,1
54,0,4,187,8,0,16,312,23,550,1
55,1,5,135,11,1,18,254,5,430,1
56,0,1,171,5,6,5,125,10,323,1
57,2,2,187,4,5,4,129,13,346,1
58,11,1,212,8,9,11,201,9,462,1
59,8,6,196,11,5,23,220,15,484,1
60,1,1,217,19,5,37,224,12,516,1
61,2,6,182,23,10,15,230,14,482,1
62,1,0,225,16,7,23,201,11,484,1
63,3,2,273,14,5,14,228,18,557,1
64,4,2,219,11,4,29,201,12,482,1
65,6,1,210,9,12,16,176,13,443,1
66,7,5,218,21,8,16,143,10,428,1
67,5,2,188,7,2,10,125,9,348,1
68,2,1,175,9,5,13,160,17,382,1
69,4,2,220,17,9,25,166,14,457,1
70,0,2,224,12,10,17,183,10,458,1
71,7,2,216,11,7,16,237,21,517,1
72,1,1,211,8,7,9,149,17,403,1
73,2,3,269,8,3,26,128,11,450,1
74,2,2,192,6,9,16,145,9,381,1
75,2,7,373,0,0,1,88,4,475,1
76,1,1,299,8,1,2,84,1,397,1
77,1,3,209,4,1,1,64,0,283,1
78,1,1,216,1,3,0,59,0,281,1
79,0,0,276,15,10,15,131,8,455,1
80,0,3,237,17,2,6,74,19,358,1
81,0,1,165,5,4,8,91,2,276,1
82,2,2,241,15,1,12,100,11,384,1
83,5,2,258,13,10,14,112,13,427,1
84,0,0,189,3,0,3,38,4,237,1
85,0,3,195,0,4,3,60,2,267,1
86,1,1,270,5,5,3,76,6,367,1
87,1,1,187,3,1,2,52,4,251,1
88,0,2,288,17,10,3,172,9,501,1
89,1,2,292,19,7,4,106,4,435,1
90,1,3,225,8,6,5,134,7,389,1
91,0,0,366,22,8,4,172,13,585,1
92,0,5,279,11,5,3,133,2,438,1
93,3,7,284,14,9,7,146,6,476,1
94,1,3,235,20,8,3,145,8,423,1
95,0,3,255,15,7,3,125,7,415,1
96,4,2,212,15,6,2,166,7,414,1
97,2,2,381,26,7,3,202,9,632,1
98,0,3,450,25,7,6,176,4,671,1
99,0,1,232,10,12,5,86,4,350,1
100,1,0,352,8,3,0,121,5,490,1
101,3,1,244,14,4,4,111,3,384,1
102,0,3,323,23,7,2,125,5,488,1
103,2,3,268,5,3,1,138,2,422,1
104,2,1,284,10,9,3,142,2,453,1
105,3,6,338,22,3,8,182,6,568,1
106,2,4,296,21,4,4,139,5,475,1
107,0,3,257,11,4,2,131,1,409,1
108,1,3,211,11,2,0,102,1,331,1
109,3,7,207,19,8,1,132,2,379,1
110,2,4,200,11,8,2,95,4,326,1
111,0,4,311,20,8,3,214,19,579,1
112,0,2,200,16,11,7,174,11,421,1
113,3,7,251,21,9,0,173,8,472,1
114,1,4,231,16,14,4,186,7,463,1
115,1,3,318,18,3,0,208,13,564,1
116,4,1,215,11,8,1,130,9,379,1
117,1,1,242,13,5,4,184,6,456,1
118,5,2,260,24,6,1,173,13,484,1
119,2,5,271,6,8,8,153,4,457,1
120,0,5,237,16,2,1,190,8,459,1
121,1,2,212,17,4,2,149,8,395,1
122,1,5,216,13,3,5,181,6,430,1
123,2,4,368,42,9,4,181,8,618,1
124,8,6,311,6,5,1,122,7,466,1
125,2,4,214,10,2,7,165,6,410,1
126,1,3,203,18,6,5,161,8,405,1
127,1,1,203,15,2,5,140,7,374,1
128,2,7,240,18,3,2,153,6,431,1
129,3,3,226,20,4,2,181,8,447,1
130,1,2,226,21,6,9,167,7,439,1
131,4,2,317,17,10,4,157,4,515,1
